company_id,batch,label_type,from_snapshot,to_snapshot,added,removed
29475,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence,
29499,W24,tag,2024-08-22,2024-09-01,B2B|Hardware|Procurement|Supply Chain,
29572,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
29574,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
29582,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
29605,S24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29637,S24,tag,2024-08-22,2024-09-01,AI|B2B|Market Research|Sales,Artificial Intelligence|Conversational AI|Developer Tools|Infrastructure
29641,S24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29646,S24,tag,2024-08-22,2024-09-01,,API
29655,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
29655,S24,industry,2024-08-22,2024-09-01,Fintech,B2B
29665,S24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29670,S24,tag,2024-08-22,2024-09-01,AI Assistant|Email|Generative AI|Productivity,Developer Tools|Infrastructure|Web Development
29675,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence,ClimateTech
29675,S24,industry,2024-08-22,2024-09-01,B2B,Industrials
29678,S24,tag,2024-08-22,2024-09-01,,Artificial Intelligence|Enterprise Software
29680,S24,tag,2024-08-22,2024-09-01,Industrial,GovTech
29684,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence|Customer Service,AI|Customer Success
29687,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
29689,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
29694,S24,tag,2024-08-22,2024-09-01,AI-powered Drug Discovery|Artificial Intelligence,AI
29694,S24,industry,2024-08-22,2024-09-01,Healthcare,B2B
29698,S24,tag,2024-08-22,2024-09-01,Machine Learning,Grocery
29702,S24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29705,S24,tag,2024-08-22,2024-09-01,AI Assistant|Artificial Intelligence|SaaS|Workflow Automation,AI|Generative AI|Procurement
29708,S24,tag,2024-08-22,2024-09-01,SaaS,
29711,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
29714,S24,tag,2024-08-22,2024-09-01,Synthetic Biology,Drug discovery
29716,S24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29719,S24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29721,S24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29729,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
29757,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
29759,S24,tag,2024-08-22,2024-09-01,,Marketplace
29764,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence|B2B,AI|Generative AI
29768,S24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29773,S24,tag,2024-08-22,2024-09-01,Enterprise Software,
29774,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
29777,S24,tag,2024-08-22,2024-09-01,Machine Learning|Semiconductors,
29778,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
29779,S24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29782,S24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29793,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
29794,S24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29812,S24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29814,S24,tag,2024-08-22,2024-09-01,AI|B2B,
29815,S24,tag,2024-08-22,2024-09-01,Housing|Proptech,
29818,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence|B2B|SaaS,
29826,S24,tag,2024-08-22,2024-09-01,AI|Consumer Products|Note-taking|Productivity,AIOps|Artificial Intelligence|Developer Tools|Open Source
29826,S24,industry,2024-08-22,2024-09-01,Consumer,B2B
29833,S24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29835,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI|Chatbot
29841,S24,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
29848,S24,tag,2024-08-22,2024-09-01,AI|Data Engineering|Generative AI,Artificial Intelligence
29857,S24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29962,S24,tag,2024-08-22,2024-09-01,Fashion|Furniture,Consumer
29962,S24,industry,2024-08-22,2024-09-01,B2B,Consumer
29968,S24,tag,2024-08-22,2024-09-01,B2B,
29972,S24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29976,S24,tag,2024-08-22,2024-09-01,Open Source,
29980,S24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29981,S24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
105,S11,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
748,W15,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
996,W16,tag,2024-09-01,2024-10-01,AI|AI Assistant|Open Source,
1051,W16,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
1226,S16,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
1641,S17,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
1671,S17,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
11934,W19,industry,2024-09-01,2024-10-01,Consumer,B2B
12042,W19,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
12632,S19,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
12738,S19,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
12863,S19,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
12871,W20,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
13085,W20,tag,2024-09-01,2024-10-01,Robotics,
13085,W20,industry,2024-09-01,2024-10-01,Industrials,Real Estate and Construction
13141,W20,tag,2024-09-01,2024-10-01,Artificial Intelligence|Enterprise,B2B|Cloud Computing|Data Engineering|Enterprise Software
13218,W20,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
13233,W20,tag,2024-09-01,2024-10-01,Productivity,
13309,W20,tag,2024-09-01,2024-10-01,Artificial Intelligence|Finance,Infrastructure
13330,S20,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
21727,S20,tag,2024-09-01,2024-10-01,,Neobank
21767,S20,tag,2024-09-01,2024-10-01,Chatbot|SaaS,Productivity
21894,S20,tag,2024-09-01,2024-10-01,,NLP
22079,S20,tag,2024-09-01,2024-10-01,Cybersecurity,
22126,S20,tag,2024-09-01,2024-10-01,Artificial Intelligence|Data Science|Developer Tools,Enterprise|No-code
22184,S20,tag,2024-09-01,2024-10-01,Messaging|Social|Social Network,Community
22252,S20,tag,2024-09-01,2024-10-01,No-code,
22708,W21,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
22835,W21,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
22880,W21,tag,2024-09-01,2024-10-01,AI|Virtual Reality|eSports,Artificial Intelligence|Creator Economy|SaaS
23193,W21,tag,2024-09-01,2024-10-01,Edtech,Recruiting
23220,W21,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
23946,S21,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
23951,S21,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
23978,S21,tag,2024-09-01,2024-10-01,AIOps|Security,
23979,S21,tag,2024-09-01,2024-10-01,AI|Marketing,Design Tools|E-commerce|SaaS
24100,S21,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
24390,S21,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
24555,S21,tag,2024-09-01,2024-10-01,Industrial|Manufacturing|Robotics,
24558,S21,tag,2024-09-01,2024-10-01,Kids|Media|SaaS,Live
24787,S21,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
24816,S21,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
25318,W22,tag,2024-09-01,2024-10-01,Construction|Real Estate,
25351,W22,tag,2024-09-01,2024-10-01,Artificial Intelligence|Manufacturing,E-commerce|Retail
25356,W22,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
25451,W22,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
25491,W22,tag,2024-09-01,2024-10-01,Human Resources,AIOps|NLP
25511,W22,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
25537,W22,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
25573,W22,tag,2024-09-01,2024-10-01,Marketing|Sales,Marketplace
25635,W22,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
25645,W22,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
25650,W22,tag,2024-09-01,2024-10-01,Artificial Intelligence|Hard Tech|Hardware|SaaS,Healthcare|Oncology
25732,W22,tag,2024-09-01,2024-10-01,Artificial Intelligence|B2B|Generative AI,AI
25913,W22,tag,2024-09-01,2024-10-01,Sales|Sales Enablement,Proptech|Real Estate
25918,W22,tag,2024-09-01,2024-10-01,Creator Economy|Fintech,Community|HR Tech|Remote Work|Video
25918,W22,industry,2024-09-01,2024-10-01,Fintech,B2B
25921,W22,tag,2024-09-01,2024-10-01,AI Assistant|Generative AI|SaaS,Artificial Intelligence|Fintech
25991,W22,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
26505,S22,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
26658,S22,tag,2024-09-01,2024-10-01,,Fintech|Payments
26662,S22,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
26676,S22,subindustry,2024-09-01,2024-10-01,B2B -> Sales,B2B -> Marketing
26708,S22,tag,2024-09-01,2024-10-01,AI,Consumer Health Services|Fitness
26819,S22,tag,2024-09-01,2024-10-01,Sales,AI Assistant|Operations
26825,S22,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
26885,S22,tag,2024-09-01,2024-10-01,AI Assistant|Artificial Intelligence,AI|B2B|Consumer|Productivity
27045,S22,tag,2024-09-01,2024-10-01,AI Assistant|Call Center,Health Tech|Healthcare IT
27152,S22,tag,2024-09-01,2024-10-01,Artificial Intelligence|Developer Tools|Open Source,AI
27172,S22,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
27190,S22,tag,2024-09-01,2024-10-01,Enterprise|Manufacturing,Digital Freight Brokerage|Logistics|Supply Chain
27198,S22,tag,2024-09-01,2024-10-01,Aerospace,Satellites|Space Exploration
27261,S22,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
27673,W23,tag,2024-09-01,2024-10-01,Artificial Intelligence,
27695,W23,tag,2024-09-01,2024-10-01,B2B,
27708,W23,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
27763,W23,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
27820,W23,tag,2024-09-01,2024-10-01,Open Source,
27828,W23,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
27875,W23,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
27890,W23,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
27892,W23,tag,2024-09-01,2024-10-01,Artificial Intelligence|Conversational AI|Generative AI,API|B2B
27943,W23,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
27952,W23,tag,2024-09-01,2024-10-01,Artificial Intelligence|Web Development,Finance|Fintech
27952,W23,industry,2024-09-01,2024-10-01,B2B,Fintech
27958,W23,tag,2024-09-01,2024-10-01,,B2B|Design Tools|Developer Tools|Open Source|SaaS
27983,W23,tag,2024-09-01,2024-10-01,Generative AI|Sales,Data Engineering
27985,W23,tag,2024-09-01,2024-10-01,Women's Health,Health & Wellness
28091,W23,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
28425,W23,tag,2024-09-01,2024-10-01,,AI-powered Drug Discovery
28744,S23,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
28778,S23,subindustry,2024-09-01,2024-10-01,B2B -> Security,B2B -> Infrastructure
28780,S23,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
28841,S23,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
28853,S23,tag,2024-09-01,2024-10-01,AI|CRM|Medical Devices,Consumer|Health & Wellness|Marketplace
28869,S23,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
28884,S23,tag,2024-09-01,2024-10-01,Artificial Intelligence|Logistics|Manufacturing|Operations|Supply Chain,AI|Developer Tools|Generative AI|Infrastructure
28884,S23,industry,2024-09-01,2024-10-01,Industrials,B2B
28893,S23,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
28900,S23,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
28911,S23,tag,2024-09-01,2024-10-01,,Artificial Intelligence|B2B|Fintech|HR Tech|SaaS
28922,S23,tag,2024-09-01,2024-10-01,Workflow Automation,
28938,S23,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
28957,S23,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
28977,S23,tag,2024-09-01,2024-10-01,Neobank,Infrastructure|SaaS
28978,S23,tag,2024-09-01,2024-10-01,Productivity,Artificial Intelligence
29000,S23,tag,2024-09-01,2024-10-01,Compliance|Fintech|Trust & Safety,
29010,S23,tag,2024-09-01,2024-10-01,AI|B2B|Developer Tools|Enterprise Software|Semiconductors,
29040,S23,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29046,S23,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29069,S23,tag,2024-09-01,2024-10-01,AI Assistant|Logistics,
29103,S23,tag,2024-09-01,2024-10-01,Conversational AI|SaaS,AI Assistant|Developer Tools
29107,S23,subindustry,2024-09-01,2024-10-01,Healthcare -> Consumer Health and Wellness,B2B
29177,W24,tag,2024-09-01,2024-10-01,Enterprise|NLP|Open Source|Search,
29182,W24,tag,2024-09-01,2024-10-01,AI|Analytics|B2B|Big Data|Developer Tools,
29207,W24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29238,W24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29251,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29259,W24,tag,2024-09-01,2024-10-01,Payments|Telecommunications,Dental
29270,W24,tag,2024-09-01,2024-10-01,Data Engineering|Data Science|Data Visualization|Databases,AI|Developer Tools|Infrastructure|SaaS
29274,W24,tag,2024-09-01,2024-10-01,AI|Consumer|Gaming|Social,Analytics|Artificial Intelligence|B2B|Generative AI
29274,W24,industry,2024-09-01,2024-10-01,Consumer,B2B
29274,W24,subindustry,2024-09-01,2024-10-01,Consumer -> Gaming,B2B -> Analytics
29287,W24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29296,S24,subindustry,2024-09-01,2024-10-01,"B2B -> Engineering, Product and Design",B2B -> Infrastructure
29327,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29328,W24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29330,W24,tag,2024-09-01,2024-10-01,Developer Tools|Web Development,Automation|Productivity
29339,W24,tag,2024-09-01,2024-10-01,AI|Digital Health|Health Tech|Healthcare,
29340,W24,tag,2024-09-01,2024-10-01,,AI-powered Drug Discovery|B2B|Biotechnology|Machine Learning|SaaS
29342,W24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29349,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29350,W24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29352,W24,tag,2024-09-01,2024-10-01,AI Assistant|Artificial Intelligence|Developer Tools|Enterprise,AI|B2B|Marketing|SaaS|Sales
29353,W24,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29363,W24,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29368,W24,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29370,W24,tag,2024-09-01,2024-10-01,,SaaS
29372,W24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI|Design
29373,W24,tag,2024-09-01,2024-10-01,B2B|DevOps|SaaS,Data Science|FinOps|Finance|Fintech
29374,W24,tag,2024-09-01,2024-10-01,Compliance|Regtech|SaaS,Developer Tools|Open Source
29387,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence|Automation|Design Tools|Generative AI,Computer Vision|Open Source
29389,W24,tag,2024-09-01,2024-10-01,,AI|B2B|Compliance|Health Tech|SaaS
29390,W24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI Assistant|Generative AI
29412,S24,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29412,S24,subindustry,2024-09-01,2024-10-01,Healthcare -> Industrial Bio,Healthcare
29425,W24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29443,W24,tag,2024-09-01,2024-10-01,Consumer|Media|Video,GovTech
29443,W24,industry,2024-09-01,2024-10-01,Consumer,Government
29459,W24,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29474,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29475,S24,subindustry,2024-09-01,2024-10-01,Healthcare -> Therapeutics,Unspecified
29506,W24,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29512,W24,tag,2024-09-01,2024-10-01,,AI|AIOps|API|B2B|Developer Tools
29518,W24,tag,2024-09-01,2024-10-01,Finance|HR Tech|Operations,Consumer|Entertainment|Marketplace
29518,W24,industry,2024-09-01,2024-10-01,Fintech,Consumer
29557,S24,subindustry,2024-09-01,2024-10-01,Industrials -> Manufacturing and Robotics,B2B
29558,S24,tag,2024-09-01,2024-10-01,,AI Assistant|Artificial Intelligence|Civic Tech|GovTech|Video
29558,S24,subindustry,2024-09-01,2024-10-01,Government,B2B
29569,S24,subindustry,2024-09-01,2024-10-01,B2B -> Infrastructure,"B2B -> Engineering, Product and Design"
29570,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,
29572,S24,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29573,S24,industry,2024-09-01,2024-10-01,B2B,Education
29574,S24,tag,2024-09-01,2024-10-01,AI|Fintech|Machine Learning,Analytics|Artificial Intelligence|E-commerce
29579,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence|Automation|Health Tech|Healthcare,
29582,S24,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29585,S24,tag,2024-09-01,2024-10-01,Generative AI|Open Source,
29588,S24,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29591,S24,tag,2024-09-01,2024-10-01,Hard Tech,IoT
29596,S24,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29605,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29607,S24,subindustry,2024-09-01,2024-10-01,B2B,Unspecified
29608,S24,tag,2024-09-01,2024-10-01,Edtech,
29610,S24,tag,2024-09-01,2024-10-01,,Analytics|Artificial Intelligence|B2B|Developer Tools
29611,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence|Machine Learning,AI|SaaS
29613,S24,tag,2024-09-01,2024-10-01,,B2B|Finance|Health Insurance|Infrastructure|Insurance
29627,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29636,S24,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29637,S24,subindustry,2024-09-01,2024-10-01,B2B -> Sales,B2B -> Infrastructure
29639,S24,tag,2024-09-01,2024-10-01,Automation,
29639,S24,subindustry,2024-09-01,2024-10-01,B2B -> Operations,B2B -> Recruiting and Talent
29641,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29643,S24,tag,2024-09-01,2024-10-01,,Consumer Health Services|Digital Health|Health Tech|Marketplace
29646,S24,tag,2024-09-01,2024-10-01,,Artificial Intelligence|Fintech|Insurance
29647,S24,tag,2024-09-01,2024-10-01,Developer Tools|SaaS,API
29650,S24,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29653,S24,tag,2024-09-01,2024-10-01,SaaS,
29654,S24,tag,2024-09-01,2024-10-01,DevOps|Infrastructure,AI|Cloud Computing
29654,S24,subindustry,2024-09-01,2024-10-01,"B2B -> Engineering, Product and Design",Unspecified
29655,S24,subindustry,2024-09-01,2024-10-01,Fintech,B2B
29658,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29658,S24,industry,2024-09-01,2024-10-01,Industrials,B2B
29658,S24,subindustry,2024-09-01,2024-10-01,Industrials -> Climate,B2B
29660,S24,tag,2024-09-01,2024-10-01,Cloud Computing,Chat
29663,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29665,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29665,S24,subindustry,2024-09-01,2024-10-01,B2B -> Infrastructure,Unspecified
29666,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,Fintech
29668,S24,subindustry,2024-09-01,2024-10-01,"B2B -> Engineering, Product and Design",Unspecified
29670,S24,subindustry,2024-09-01,2024-10-01,B2B -> Productivity,"B2B -> Engineering, Product and Design"
29672,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence|Semiconductors,AI
29672,S24,subindustry,2024-09-01,2024-10-01,"B2B -> Engineering, Product and Design",B2B -> Productivity
29675,S24,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29675,S24,subindustry,2024-09-01,2024-10-01,B2B,Industrials -> Climate
29678,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,Logistics
29682,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29682,S24,subindustry,2024-09-01,2024-10-01,"B2B -> Engineering, Product and Design",B2B
29684,S24,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29685,S24,tag,2024-09-01,2024-10-01,AI,
29686,S24,subindustry,2024-09-01,2024-10-01,B2B,B2B -> Marketing
29687,S24,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29689,S24,subindustry,2024-09-01,2024-10-01,Healthcare,Unspecified
29690,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29690,S24,subindustry,2024-09-01,2024-10-01,B2B -> Productivity,Consumer
29694,S24,tag,2024-09-01,2024-10-01,Climate|Industrial|Manufacturing,Artificial Intelligence
29694,S24,subindustry,2024-09-01,2024-10-01,Healthcare -> Industrial Bio,"B2B -> Engineering, Product and Design"
29695,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence|Generative AI,AI
29701,S24,tag,2024-09-01,2024-10-01,Climate|Real Estate,
29702,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29703,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence|Compliance|SaaS,AI|Enterprise
29705,S24,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29706,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29707,S24,subindustry,2024-09-01,2024-10-01,Healthcare,Fintech -> Consumer Finance
29708,S24,tag,2024-09-01,2024-10-01,Generative AI|Infrastructure|Open Source,Developer Tools
29710,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29711,S24,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29713,S24,tag,2024-09-01,2024-10-01,Deep Learning|Industrial|Synthetic Biology,Biotech
29715,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,
29719,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29724,S24,subindustry,2024-09-01,2024-10-01,Government,B2B -> Supply Chain and Logistics
29730,S24,subindustry,2024-09-01,2024-10-01,Fintech,B2B -> Productivity
29731,S24,subindustry,2024-09-01,2024-10-01,B2B -> Legal,B2B
29732,S24,tag,2024-09-01,2024-10-01,,AI Assistant|AI-powered Drug Discovery|Manufacturing|SaaS
29733,S24,subindustry,2024-09-01,2024-10-01,Industrials,Unspecified
29734,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29734,S24,subindustry,2024-09-01,2024-10-01,B2B -> Operations,B2B -> Sales
29736,S24,tag,2024-09-01,2024-10-01,B2B|SaaS,
29738,S24,tag,2024-09-01,2024-10-01,B2B,Productivity
29738,S24,industry,2024-09-01,2024-10-01,B2B,Consumer
29738,S24,subindustry,2024-09-01,2024-10-01,B2B,Consumer
29739,S24,subindustry,2024-09-01,2024-10-01,Healthcare -> Healthcare IT,B2B -> Operations
29740,S24,subindustry,2024-09-01,2024-10-01,B2B,B2B -> Productivity
29745,S24,tag,2024-09-01,2024-10-01,AI,Artificial Intelligence
29746,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence,AI
29751,S24,tag,2024-09-01,2024-10-01,Artificial Intelligence|DevOps|Enterprise|Open Source,AIOps|B2B
