tag,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
Big Data,0.0,0.767,0.0,0.427,0.0,0.909,0.403,0.806,2.128,0.602,0.699,1.205,1.37,0.0,0.513,1.277,0.0,0.0
Billing,0.0,0.256,0.251,0.0,0.0,0.909,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biometrics,0.0,0.256,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0
Bioplastic,0.0,0.0,0.0,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biotech,1.488,3.836,2.513,3.419,2.555,2.727,2.419,4.435,2.128,1.205,2.098,1.807,2.055,0.503,1.026,3.83,0.0,0.0
Biotechnology,0.0,0.512,0.251,0.427,0.0,0.0,0.0,0.403,0.0,0.602,0.0,0.602,0.685,0.503,0.0,0.851,0.0,0.0
Booking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COVID-19,0.0,0.0,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRISPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRM,0.0,0.256,0.251,0.427,0.365,0.909,0.403,0.403,0.0,1.205,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0
Calendar,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Call Center,0.0,0.0,0.251,0.855,0.0,0.0,0.403,1.21,1.064,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Capture and Removal,0.298,1.023,0.503,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Careers,0.0,0.0,0.0,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0
Cashierless Checkout,0.0,0.0,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cell Therapy,0.0,0.0,0.251,0.427,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cellular Agriculture,0.0,0.0,0.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chat,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.602,0.0,0.0,0.513,0.0,0.0,0.0
Chatbot,0.298,0.256,0.251,0.0,0.365,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chatbots,0.0,0.0,0.0,0.0,0.0,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Civic Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clean Meat,0.0,0.0,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Climate,3.869,4.859,5.025,2.991,2.92,2.273,0.806,2.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0
ClimateTech,0.595,0.767,1.005,0.855,1.46,0.455,0.0,0.806,0.0,1.205,0.0,0.602,0.0,0.0,0.0,0.851,0.0,0.0
Cloud Computing,0.595,0.256,1.256,0.855,1.46,0.455,0.806,2.419,0.0,1.205,2.098,1.807,0.0,0.0,0.513,1.702,5.714,0.0
Cloud Workload Protection,0.298,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collaboration,0.595,0.767,1.005,0.855,1.825,0.0,0.403,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial Space Launch,0.0,0.256,0.0,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Community,2.083,3.069,0.754,0.855,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Compliance,1.19,0.512,1.759,3.419,2.19,2.727,2.419,1.613,2.128,3.012,2.098,0.602,3.425,1.005,0.513,0.426,0.0,0.0
Computer Vision,1.19,1.279,0.251,1.282,1.095,1.364,1.613,2.016,0.0,1.807,1.399,1.205,2.055,1.508,0.0,1.702,0.0,0.0
Construction,1.488,1.023,2.513,1.282,0.73,1.818,1.613,0.403,2.128,0.602,0.0,0.602,2.055,1.508,0.0,3.404,0.0,0.0
Consumer,4.167,3.069,9.799,8.12,4.38,3.636,6.855,7.258,8.511,5.422,6.993,4.217,5.479,0.503,3.59,2.553,5.714,0.0
Consumer Finance,0.595,0.767,0.503,0.427,0.365,1.364,0.403,1.613,1.064,0.602,0.699,1.205,2.055,0.0,1.026,0.851,0.0,0.0
Consumer Health Services,3.869,5.371,2.764,0.855,1.095,2.273,2.016,0.403,1.064,0.0,0.0,0.0,2.055,0.0,0.0,0.851,0.0,0.0
Consumer Products,0.0,0.512,0.251,0.0,0.365,0.0,0.0,0.0,0.0,0.602,0.699,0.0,0.685,0.0,0.0,0.426,0.0,0.0
Conversational AI,0.595,0.256,0.503,0.855,1.095,1.364,2.823,1.613,0.0,3.614,0.699,2.41,2.74,0.0,0.0,0.851,0.0,0.0
Conversational Banking,0.0,0.0,0.0,0.0,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Creator Economy,0.298,1.023,1.005,1.709,1.095,0.0,0.403,0.403,0.0,0.602,0.699,0.602,1.37,0.0,0.0,0.851,0.0,0.0
Crowdsourcing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.513,0.0,0.0,0.0
Crypto / Web3,2.083,2.302,4.02,5.556,1.825,0.455,0.806,0.403,1.064,1.205,0.0,0.602,0.685,0.0,0.513,1.277,0.0,0.0
Cryptocurrency,0.298,0.0,0.754,0.855,0.73,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.503,0.0,0.0,0.0,0.0
Cryptography,0.0,0.0,0.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Culture,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503,0.0,0.0,0.0,0.0
Cultured Meat,0.298,0.256,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Customer Service,0.595,0.0,0.503,0.0,0.73,0.455,0.806,0.403,1.064,0.602,0.0,0.602,0.0,0.0,0.0,0.426,0.0,0.0
Customer Success,0.595,0.512,0.754,0.427,2.555,0.0,0.403,0.806,1.064,0.602,0.0,0.0,2.055,0.0,0.0,0.426,0.0,0.0
Customer Support,0.595,0.0,0.754,0.855,2.555,0.909,1.613,0.806,1.064,0.0,0.699,0.0,1.37,0.0,0.0,0.426,0.0,0.0
Cybersecurity,0.298,0.767,0.0,0.427,1.095,1.364,0.806,0.806,1.064,1.205,2.098,1.205,2.74,0.503,0.0,2.553,0.0,0.0
DAO,0.0,0.0,0.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data Engineering,1.786,2.302,3.015,2.991,2.19,2.273,2.016,1.613,2.128,1.205,1.399,0.602,1.37,2.01,0.0,3.404,0.0,0.0
Data Labeling,0.0,0.256,0.754,0.0,0.0,0.455,0.0,0.806,0.0,0.602,2.098,0.602,0.685,0.503,0.0,1.702,0.0,0.0
Data Science,0.0,0.256,0.251,0.0,0.365,2.273,1.613,1.613,0.0,0.602,1.399,1.205,0.0,0.0,0.0,1.277,0.0,0.0
Data Visualization,0.298,0.512,0.0,0.0,1.46,1.818,2.016,0.403,0.0,0.0,0.699,1.205,0.0,0.0,0.0,0.0,0.0,0.0
Databases,0.298,0.256,0.251,0.427,0.0,2.273,1.21,0.0,0.0,1.205,1.399,0.0,0.685,0.0,0.0,0.426,0.0,0.0
Dating,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeFi,0.595,0.256,1.005,1.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep Learning,1.488,0.0,0.0,0.427,0.365,0.909,0.403,0.806,1.064,0.0,0.0,0.602,0.0,1.005,0.513,2.128,5.714,0.0
Deepfake Detection,0.0,0.0,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Defense,0.298,0.767,0.251,0.0,0.0,0.0,0.403,0.806,2.128,0.0,0.0,0.602,2.055,0.503,1.026,3.404,0.0,0.0
Delivery,1.19,2.046,1.256,0.855,0.365,0.455,0.0,0.0,1.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dental,0.0,0.0,0.0,0.0,0.0,0.0,0.403,0.403,0.0,0.602,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0
Design,0.298,0.256,0.251,0.0,0.0,1.364,0.403,0.0,2.128,1.807,0.699,1.205,2.74,0.0,0.0,0.851,0.0,0.0
Design Tools,2.083,0.512,0.754,0.0,1.46,0.909,0.806,0.403,3.191,0.602,0.699,0.602,1.37,0.0,0.0,0.426,0.0,0.0
DevOps,0.0,0.767,0.503,0.0,1.825,1.364,0.403,1.21,3.191,0.602,0.699,1.205,1.37,0.0,0.0,0.851,5.714,0.0
DevSecOps,0.595,0.256,0.754,0.855,0.73,0.455,0.0,0.0,0.0,0.0,0.699,0.602,0.0,0.0,0.513,0.0,0.0,0.0
Developer Tools,10.119,8.44,8.543,10.256,17.883,14.545,12.5,12.903,19.149,9.639,13.986,13.855,9.589,2.513,4.103,9.787,17.143,0.0
Diagnostics,0.595,0.767,0.503,0.855,0.365,0.455,0.0,0.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Digital Freight Brokerage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0
Digital Health,2.976,2.813,3.518,2.564,1.46,2.727,3.226,0.806,3.191,2.41,0.699,0.0,2.74,0.503,0.513,0.851,0.0,0.0
Documents,0.893,0.256,0.251,1.282,1.46,0.455,1.21,0.0,1.064,1.205,1.399,0.0,0.0,0.0,0.0,0.0,2.857,0.0
Drones,0.0,0.512,0.251,0.427,0.365,0.0,0.403,0.403,0.0,0.0,0.0,0.602,0.685,1.005,0.513,2.128,2.857,0.0
Drug Delivery,0.0,0.0,0.0,0.427,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0
Drug discovery,0.893,0.512,1.005,0.427,1.095,0.0,1.21,1.21,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.426,0.0,0.0
E-Commerce,0.298,0.256,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E-commerce,5.655,6.394,6.281,2.991,2.92,0.909,0.806,2.823,2.128,1.205,0.0,1.205,2.055,0.0,1.026,0.851,0.0,0.0
Edge Computing Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.426,0.0,0.0
Edtech,1.19,0.0,0.251,0.0,0.365,0.909,0.403,0.806,0.0,1.205,0.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Education,4.167,4.604,2.01,1.282,0.73,1.818,1.21,1.21,1.064,3.012,2.098,2.41,0.685,0.0,0.0,0.851,0.0,0.0
Electric Vehicles,1.19,0.256,1.005,0.0,0.73,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electronics,0.0,0.0,0.251,0.0,0.0,0.0,0.403,0.403,0.0,2.41,0.699,0.0,0.0,0.0,0.0,0.426,2.857,0.0
Email,0.595,0.256,0.503,0.0,0.0,0.0,0.403,0.806,1.064,0.602,0.0,1.205,0.0,0.0,0.0,0.0,0.0,0.0
Emerging Markets,0.298,0.0,0.0,0.0,0.365,0.0,0.403,0.403,0.0,0.602,0.0,0.0,0.0,0.503,0.0,0.0,0.0,0.0
Energy,1.488,0.512,1.005,1.709,0.365,1.818,0.403,1.21,1.064,1.807,0.699,0.0,0.0,0.503,0.0,3.83,2.857,0.0
Energy Storage,0.595,0.0,0.503,0.0,0.365,0.0,0.806,0.0,0.0,0.0,0.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enterprise,1.19,1.023,2.261,4.701,5.474,3.182,2.823,1.613,3.191,2.41,1.399,1.205,1.37,0.503,1.026,2.553,0.0,0.0
Enterprise Software,1.19,1.023,2.513,2.137,2.92,5.455,3.226,4.032,5.319,1.807,4.895,5.422,2.055,2.513,2.564,5.957,0.0,0.0
Entertainment,0.298,0.512,1.759,0.427,0.73,0.909,1.613,0.806,0.0,0.602,0.0,0.0,1.37,0.0,0.0,0.851,0.0,0.0
Exascale Computing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0
Fashion,0.0,0.0,0.251,0.0,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feedback,0.298,0.0,0.0,0.0,0.0,0.0,0.403,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Femtech,0.298,0.0,0.251,0.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FinOps,0.893,1.535,0.754,0.855,1.46,0.455,0.0,0.806,0.0,1.807,0.0,0.0,0.685,0.503,0.0,0.0,0.0,0.0
Finance,0.893,1.279,1.256,1.282,4.38,2.273,2.016,4.435,3.191,2.41,0.699,1.205,3.425,1.005,0.513,4.681,2.857,0.0
Fintech,17.262,20.716,23.116,22.65,12.409,10.0,6.855,9.274,2.128,6.627,3.497,3.614,2.74,2.01,2.051,5.957,5.714,0.0
Fitness,0.595,0.767,0.0,0.0,0.73,0.0,0.806,0.0,1.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food,0.595,0.256,0.251,0.0,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food & Beverage,0.595,0.256,0.0,0.0,0.365,0.909,0.806,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,2.857,0.0
Food Service Robots & Machines,0.298,0.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Tech,1.19,0.767,1.759,1.709,0.73,0.0,0.403,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0
Fraud Detection,0.0,0.256,0.0,0.855,0.73,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.503,0.0,0.0,0.0,0.0
Fraud Prevention,0.0,0.0,0.0,0.427,0.0,0.455,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fundraising,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fusion Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0
Gaming,1.488,0.512,2.261,2.137,0.73,0.909,0.403,1.21,0.0,0.0,0.699,0.0,1.37,0.0,1.026,1.702,0.0,0.0
Gardening,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gene Therapy,0.298,0.0,0.503,0.0,0.365,0.0,0.403,0.403,0.0,0.602,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0
Generative AI,1.488,3.581,3.266,9.402,17.883,13.182,7.661,10.081,6.383,9.639,2.797,2.41,6.164,1.005,0.0,4.255,0.0,0.0
Genetic Engineering,0.0,0.0,0.0,0.0,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.513,0.0,0.0,0.0
Genomics,0.0,0.767,0.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.426,0.0,0.0
Geographic Information System,0.0,0.512,0.0,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.426,0.0,0.0
Ghost Kitchens,0.595,1.023,0.0,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GovTech,0.595,1.023,0.754,0.855,0.0,0.909,0.806,1.21,0.0,3.012,0.699,0.602,1.37,0.0,0.513,1.702,2.857,0.0
GraphQL,0.0,0.0,0.0,0.0,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grocery,1.19,1.279,0.251,0.427,0.365,0.909,0.0,0.0,0.0,0.0,0.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR Tech,1.488,1.79,1.759,1.709,1.46,1.818,0.806,1.21,1.064,1.807,0.0,0.0,0.685,0.0,0.513,0.426,2.857,0.0
Hard Tech,3.274,2.302,2.764,0.855,0.73,0.909,0.806,4.435,1.064,3.012,4.196,1.205,2.74,1.508,2.051,10.638,11.429,0.0
Hardware,1.786,1.535,2.513,0.855,0.365,0.909,0.403,3.226,0.0,4.819,4.196,3.614,3.425,1.508,1.538,8.511,8.571,0.0
Health & Wellness,0.595,2.558,0.503,0.0,0.0,1.364,0.806,0.0,0.0,1.205,0.699,0.0,2.055,0.0,0.513,1.702,2.857,0.0
Health Insurance,0.298,0.767,0.0,0.0,0.73,2.273,0.403,0.403,0.0,0.602,0.0,0.0,1.37,0.0,0.0,0.851,0.0,0.0
Health Tech,2.381,2.302,3.015,3.419,3.65,5.455,2.419,2.419,4.255,4.217,2.098,0.0,4.795,0.0,0.0,2.128,0.0,0.0
Healthcare,3.274,3.581,4.774,3.419,4.745,9.091,5.242,3.629,5.319,3.614,4.196,0.602,3.425,0.503,0.513,4.681,0.0,0.0
Healthcare IT,1.19,0.256,0.503,0.855,0.365,4.091,0.403,0.403,2.128,1.205,0.699,1.205,1.37,0.0,0.513,0.851,0.0,0.0
Home Automation,0.0,0.0,0.0,0.0,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0
Home Services,0.298,0.0,0.251,0.0,0.365,0.455,0.806,0.403,0.0,0.602,0.699,0.0,0.685,0.0,0.513,1.277,0.0,0.0
Housing,0.595,0.256,0.0,0.427,0.0,0.0,0.0,0.403,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0
Human Resources,0.893,0.256,0.503,0.855,0.0,0.0,0.0,0.806,0.0,0.0,0.0,0.0,0.0,0.0,0.513,0.0,2.857,0.0
Hydrogen Energy,0.0,0.0,0.503,0.0,0.365,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Identity,0.595,0.256,0.754,1.709,0.0,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.503,0.0,0.0,0.0,0.0
Immigration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403,0.0,0.602,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0
Income Share Agreements,0.298,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,0.893,0.0,1.005,0.0,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.256,0.251,0.0,0.0,0.0,0.806,2.016,0.0,1.807,2.797,1.807,2.055,0.0,0.0,3.83,0.0,0.0
Industrial Workplace Safety,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Infrastructure,2.083,0.767,1.508,1.282,2.19,5.455,2.823,4.435,5.319,3.614,6.294,6.024,4.795,3.518,1.538,8.085,17.143,0.0
Insurance,1.488,0.767,2.513,2.137,1.095,0.909,2.016,2.016,1.064,1.807,1.399,1.205,0.0,0.503,1.026,2.553,5.714,100.0
International,0.0,0.256,0.0,0.0,0.0,0.0,0.403,0.403,1.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing,0.298,1.279,1.508,0.855,1.825,0.455,1.21,1.21,1.064,0.602,0.699,1.205,0.685,0.0,0.513,3.404,0.0,0.0
Investments,0.0,0.256,0.503,0.0,0.365,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.513,0.0,0.0,0.0
IoT,0.893,0.256,0.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857,0.0
IoT Security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0
Kids,0.298,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kubernetes,0.298,0.0,0.503,0.427,0.365,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0
