Biotech,2.751,2.848,2.632,3.22,1.771,1.807,0.0
Biotechnology,0.275,0.316,0.0,0.169,0.483,0.452,0.0
Booking,0.0,0.0,0.0,0.0,0.161,0.0,0.0
COVID-19,0.0,0.158,0.0,0.0,0.0,0.0,0.0
CRISPR,0.0,0.0,0.0,0.0,0.161,0.0,0.0
CRM,0.138,0.316,0.607,0.339,0.483,0.0,0.0
Calendar,0.138,0.0,0.0,0.0,0.0,0.0,0.0
Call Center,0.0,0.475,0.0,0.847,0.161,0.0,0.0
Carbon Capture and Removal,0.688,0.475,0.0,0.0,0.0,0.0,0.0
Careers,0.0,0.158,0.0,0.0,0.0,0.151,0.0
Cashierless Checkout,0.0,0.158,0.0,0.0,0.0,0.0,0.0
Cell Therapy,0.0,0.316,0.202,0.0,0.0,0.0,0.0
Cellular Agriculture,0.0,0.316,0.0,0.0,0.0,0.0,0.0
Chat,0.138,0.0,0.0,0.0,0.322,0.151,0.0
Chatbot,0.275,0.158,0.405,0.0,0.0,0.0,0.0
Chatbots,0.0,0.0,0.0,0.169,0.0,0.0,0.0
Civic Tech,0.0,0.0,0.0,0.339,0.0,0.0,0.0
Clean Meat,0.0,0.158,0.0,0.0,0.0,0.0,0.0
Climate,4.402,4.272,2.632,1.356,0.0,0.151,0.0
ClimateTech,0.688,0.949,1.012,0.339,0.483,0.301,0.0
Cloud Computing,0.413,1.108,1.012,1.356,1.288,1.054,0.0
Cloud Workload Protection,0.275,0.0,0.0,0.0,0.0,0.0,0.0
Collaboration,0.688,0.949,1.012,0.339,0.0,0.0,0.0
Commercial Space Launch,0.138,0.158,0.0,0.0,0.0,0.0,0.0
Community,2.613,0.791,0.0,0.0,0.161,0.0,0.0
Compliance,0.825,2.373,2.429,2.034,2.254,0.602,0.0
Computer Vision,1.238,0.633,1.215,1.525,1.61,1.054,0.0
Construction,1.238,2.057,1.215,1.186,0.805,1.657,0.0
Consumer,3.576,9.177,4.049,7.288,5.475,2.41,0.0
Consumer Finance,0.688,0.475,0.81,1.017,1.127,0.602,0.0
Consumer Health Services,4.677,2.057,1.619,1.186,0.483,0.301,0.0
Consumer Products,0.275,0.158,0.202,0.0,0.483,0.151,0.0
Conversational AI,0.413,0.633,1.215,1.864,2.415,0.301,0.0
Conversational Banking,0.0,0.0,0.202,0.0,0.0,0.0,0.0
Creator Economy,0.688,1.266,0.607,0.339,0.805,0.301,0.0
Crowdsourcing,0.0,0.0,0.0,0.0,0.161,0.151,0.0
Crypto / Web3,2.201,4.589,1.215,0.678,0.644,0.602,0.0
Cryptocurrency,0.138,0.791,0.405,0.0,0.161,0.151,0.0
Cryptography,0.0,0.316,0.0,0.0,0.0,0.0,0.0
Culture,0.138,0.0,0.0,0.0,0.0,0.151,0.0
Cultured Meat,0.275,0.158,0.0,0.0,0.0,0.0,0.0
Customer Service,0.275,0.316,0.607,0.678,0.322,0.151,0.0
Customer Success,0.55,0.633,1.417,0.678,0.644,0.151,0.0
Customer Support,0.275,0.791,1.822,1.186,0.483,0.151,0.0
Cybersecurity,0.55,0.158,1.215,0.847,1.771,1.054,0.0
DAO,0.0,0.316,0.0,0.0,0.0,0.0,0.0
Data Engineering,2.063,3.006,2.227,1.864,1.127,1.807,0.0
Data Labeling,0.138,0.475,0.202,0.339,0.966,0.753,0.0
Data Science,0.138,0.158,1.215,1.356,0.805,0.452,0.0
Data Visualization,0.413,0.0,1.619,1.017,0.483,0.0,0.0
Databases,0.275,0.316,1.012,0.508,0.805,0.151,0.0
Dating,0.138,0.0,0.0,0.0,0.0,0.0,0.0
DeFi,0.413,1.108,0.0,0.0,0.0,0.0,0.0
Deep Learning,0.688,0.158,0.607,0.678,0.161,1.506,0.0
Deepfake Detection,0.0,0.158,0.0,0.0,0.0,0.0,0.0
Defense,0.55,0.158,0.0,0.847,0.644,1.657,0.0
Delivery,1.651,1.108,0.405,0.169,0.0,0.0,0.0
Dental,0.0,0.0,0.0,0.339,0.322,0.0,0.0
Design,0.275,0.158,0.607,0.508,1.61,0.301,0.0
Design Tools,1.238,0.475,1.215,1.017,0.805,0.151,0.0
DevOps,0.413,0.316,1.619,1.186,0.966,0.602,0.0
DevSecOps,0.413,0.791,0.607,0.0,0.322,0.151,0.0
Developer Tools,9.216,9.177,16.397,13.729,11.755,6.325,0.0
Diagnostics,0.688,0.633,0.405,0.339,0.0,0.0,0.0
Digital Freight Brokerage,0.0,0.0,0.0,0.0,0.0,0.151,0.0
Digital Health,2.889,3.165,2.024,2.203,1.449,0.602,0.0
Documents,0.55,0.633,1.012,0.678,0.644,0.151,0.0
Drones,0.275,0.316,0.202,0.339,0.322,1.355,0.0
Drug Delivery,0.0,0.158,0.202,0.0,0.161,0.0,0.0
Drug discovery,0.688,0.791,0.607,1.017,0.161,0.151,0.0
E-Commerce,0.275,0.158,0.0,0.0,0.0,0.0,0.0
E-commerce,6.052,5.063,2.024,1.864,1.127,0.602,0.0
Edge Computing Semiconductors,0.0,0.0,0.0,0.169,0.161,0.151,0.0
Edtech,0.55,0.158,0.607,0.508,0.483,0.0,0.0
Education,4.402,1.741,1.215,1.186,2.093,0.301,0.0
Electric Vehicles,0.688,0.633,0.405,0.0,0.161,0.0,0.0
Electronics,0.0,0.158,0.0,0.339,0.805,0.301,0.0
Email,0.413,0.316,0.0,0.678,0.483,0.0,0.0
Emerging Markets,0.138,0.0,0.202,0.339,0.161,0.151,0.0
Energy,0.963,1.266,1.012,0.847,0.644,1.657,0.0
Energy Storage,0.275,0.316,0.202,0.339,0.161,0.0,0.0
Enterprise,1.1,3.165,4.453,2.373,1.61,1.355,0.0
Enterprise Software,1.1,2.373,4.049,3.898,3.543,3.614,0.0
Entertainment,0.413,1.266,0.81,1.017,0.483,0.301,0.0
Exascale Computing,0.0,0.0,0.0,0.0,0.0,0.151,0.0
Fashion,0.0,0.158,0.202,0.0,0.0,0.0,0.0
Feedback,0.138,0.0,0.0,0.678,0.0,0.0,0.0
Femtech,0.138,0.475,0.0,0.0,0.0,0.0,0.0
FinOps,1.238,0.791,1.012,0.339,0.644,0.151,0.0
Finance,1.1,1.266,3.441,3.22,1.932,2.259,0.0
Fintech,19.12,22.943,11.336,7.119,4.187,3.614,0.0
Fitness,0.688,0.0,0.405,0.508,0.0,0.0,0.0
Food,0.413,0.158,0.202,0.0,0.0,0.0,0.0
Food & Beverage,0.413,0.0,0.607,0.339,0.161,0.151,0.0
Food Service Robots & Machines,0.413,0.0,0.0,0.0,0.0,0.0,0.0
Food Tech,0.963,1.741,0.405,0.169,0.161,0.0,0.0
Fraud Detection,0.138,0.316,0.405,0.169,0.0,0.151,0.0
Fraud Prevention,0.0,0.158,0.202,0.169,0.0,0.0,0.0
Fundraising,0.0,0.0,0.405,0.0,0.0,0.0,0.0
Fusion Energy,0.0,0.0,0.0,0.0,0.322,0.0,0.0
Gaming,0.963,2.215,0.81,0.678,0.483,0.904,0.0
Gardening,0.138,0.0,0.0,0.0,0.0,0.0,0.0
Gene Therapy,0.138,0.316,0.202,0.339,0.161,0.151,0.0
Generative AI,2.613,5.538,15.789,8.475,5.314,1.807,0.0
Genetic Engineering,0.0,0.0,0.202,0.0,0.161,0.151,0.0
Genomics,0.413,0.316,0.0,0.0,0.161,0.151,0.0
Geographic Information System,0.275,0.158,0.0,0.0,0.161,0.151,0.0
Ghost Kitchens,0.825,0.158,0.0,0.0,0.0,0.0,0.0
GovTech,0.825,0.791,0.405,0.847,1.449,0.904,0.0
GraphQL,0.0,0.0,0.202,0.0,0.0,0.0,0.0
Grocery,1.238,0.316,0.607,0.0,0.161,0.0,0.0
HR Tech,1.651,1.741,1.619,1.017,0.644,0.452,0.0
Hard Tech,2.751,2.057,0.81,2.373,2.738,5.422,0.0
Hardware,1.651,1.899,0.607,1.525,4.026,4.367,0.0
Health & Wellness,1.651,0.316,0.607,0.339,0.966,0.904,0.0
Health Insurance,0.55,0.0,1.417,0.339,0.483,0.301,0.0
Health Tech,2.338,3.165,4.453,2.712,2.738,0.753,0.0
Healthcare,3.439,4.272,6.68,4.576,2.899,1.958,0.0
Healthcare IT,0.688,0.633,2.024,0.678,1.127,0.452,0.0
Home Automation,0.0,0.0,0.202,0.0,0.161,0.0,0.0
Home Services,0.138,0.158,0.405,0.508,0.483,0.602,0.0
Housing,0.413,0.158,0.0,0.169,0.161,0.151,0.0
Human Resources,0.55,0.633,0.0,0.339,0.0,0.301,0.0
Hydrogen Energy,0.0,0.316,0.405,0.0,0.0,0.0,0.0
Identity,0.413,1.108,0.0,0.169,0.0,0.151,0.0
Immigration,0.0,0.0,0.0,0.169,0.322,0.0,0.0
Income Share Agreements,0.275,0.0,0.0,0.0,0.0,0.0,0.0
India,0.413,0.633,0.202,0.0,0.0,0.0,0.0
Industrial,0.138,0.158,0.0,1.186,2.093,1.355,0.0
Industrial Workplace Safety,0.138,0.0,0.0,0.0,0.0,0.0,0.0
Infrastructure,1.376,1.424,3.644,3.898,5.153,5.271,0.0
Insurance,1.1,2.373,1.012,1.864,1.127,1.657,100.0
International,0.138,0.0,0.0,0.508,0.0,0.0,0.0
Investing,0.825,1.266,1.215,1.186,0.805,1.355,0.0
Investments,0.138,0.316,0.202,0.169,0.161,0.151,0.0
IoT,0.55,0.316,0.0,0.0,0.0,0.151,0.0
IoT Security,0.0,0.0,0.0,0.0,0.161,0.0,0.0
Kids,0.275,0.0,0.0,0.0,0.0,0.0,0.0
Kubernetes,0.138,0.475,0.405,0.0,0.0,0.151,0.0
Latin America,0.55,0.316,0.202,0.169,0.0,0.0,0.0
Legal,0.275,0.475,0.81,1.525,1.61,0.452,0.0
LegalTech,0.825,0.949,0.81,1.864,1.449,0.452,0.0
Lending,0.825,0.633,0.0,0.508,0.161,0.151,0.0
Lidar,0.0,0.0,0.0,0.169,0.0,0.0,0.0
Live,0.138,0.0,0.0,0.169,0.0,0.0,0.0
Livestock Health,0.0,0.0,0.0,0.0,0.161,0.0,0.0
Location-based,0.0,0.0,0.0,0.0,0.0,0.151,0.0
Logistics,1.788,3.165,2.429,1.864,1.771,1.506,0.0
ML,0.275,0.475,0.607,0.508,0.483,0.602,0.0
Machine Learning,4.127,5.538,4.656,3.729,3.543,2.259,0.0
Manufacturing,0.825,1.741,1.215,2.542,3.543,2.861,0.0
Maritime,0.275,0.0,0.0,0.0,0.161,0.0,0.0
Market Research,0.413,0.158,0.405,0.339,0.805,0.452,0.0
Marketing,1.1,2.69,3.239,2.542,2.254,0.904,0.0
Marketplace,7.29,5.854,2.632,1.356,1.288,0.904,0.0
Media,0.413,0.316,0.81,1.017,0.322,0.0,0.0
Medical Devices,1.926,1.582,0.607,0.169,0.161,0.151,0.0
Medical Robotics,0.138,0.158,0.202,0.0,0.0,0.0,0.0
Mental Health,0.275,0.0,0.0,0.0,0.161,0.151,0.0
Mental Health Tech,1.376,1.108,0.405,0.0,0.0,0.0,0.0
Messaging,0.275,0.633,0.0,0.339,0.0,0.151,0.0
Metaverse,0.0,0.316,0.0,0.0,0.0,0.0,0.0
Microfluidics,0.138,0.0,0.202,0.0,0.0,0.0,0.0
Microinsurance,0.138,0.158,0.0,0.0,0.0,0.0,0.0
Mining,0.0,0.316,0.0,0.169,0.0,0.0,0.0
Mobility,0.275,0.158,0.0,0.169,0.0,0.0,0.0
Monitoring,0.138,0.0,0.607,0.508,0.322,0.301,0.0
Music,0.138,0.316,0.0,0.339,0.161,0.0,0.0
NFT,0.0,0.475,0.0,0.0,0.0,0.0,0.0
NLP,0.413,0.633,0.202,0.169,0.161,0.0,0.0
Nanomedicine,0.138,0.0,0.202,0.0,0.0,0.0,0.0
Nanosensors,0.0,0.0,0.0,0.169,0.0,0.0,0.0
Nanotechnology,0.0,0.158,0.405,0.0,0.0,0.0,0.0
Navigation,0.0,0.158,0.0,0.169,0.0,0.0,0.0
Neobank,0.963,3.481,1.215,0.508,0.805,0.151,0.0
Networks,0.0,0.0,0.0,0.0,0.161,0.0,0.0
Neurotechnology,0.413,0.475,0.0,0.169,0.161,0.151,0.0
Next-gen Network Security,0.0,0.316,0.0,0.0,0.0,0.0,0.0
No-code,0.825,0.949,0.81,1.017,0.805,0.0,0.0
Nonprofit,0.275,0.316,0.0,0.0,0.0,0.0,0.0
Note-taking,0.138,0.158,0.0,0.0,0.161,0.0,0.0
Oncology,0.275,0.633,0.405,0.847,0.0,0.301,0.0
Open Source,2.889,3.797,6.478,3.22,3.382,1.506,0.0
Operations,0.688,0.475,0.81,2.034,1.288,0.602,0.0
Payments,3.164,5.222,4.049,1.525,0.644,0.301,0.0
Payroll,0.275,0.316,0.81,0.339,0.0,0.151,0.0
Pediatrics,0.0,0.158,0.0,0.0,0.0,0.0,0.0
Personalization,0.0,0.0,0.0,0.169,0.161,0.452,0.0
Podcasts,0.138,0.158,0.0,0.169,0.0,0.0,0.0
Primary Care,0.413,0.158,0.0,0.0,0.0,0.0,0.0
Privacy,0.413,0.475,0.405,0.339,0.161,0.151,0.0
Procurement,0.413,0.0,0.202,0.508,0.161,0.301,0.0
Productivity,2.751,4.114,3.846,3.898,3.221,1.054,0.0
Proptech,2.063,3.323,2.024,1.356,0.644,0.0,0.0
Quantum Computing,0.0,0.0,0.0,0.169,0.0,0.0,0.0
Radar,0.0,0.0,0.0,0.0,0.0,0.151,0.0
Real Estate,0.825,2.69,1.417,1.356,0.805,0.753,0.0
Recommendation System,0.0,0.158,0.202,0.0,0.0,0.0,0.0
Recruiting,1.788,0.633,0.607,0.508,0.805,0.602,0.0
Regtech,0.275,0.791,0.81,0.508,0.161,0.301,0.0
Reinforcement Learning,0.0,0.0,0.405,0.847,2.576,2.711,0.0
Remittances,0.0,0.158,0.202,0.169,0.0,0.0,0.0
Remote,0.275,0.0,0.0,0.0,0.0,0.0,0.0
Remote Work,0.688,0.158,0.202,0.169,0.0,0.151,0.0
Renewable Energy,0.275,0.316,0.607,0.339,0.161,0.452,0.0
Restaurant Tech,0.275,0.0,0.405,0.169,0.322,0.301,0.0
Retail,0.55,0.475,1.619,0.508,0.322,0.151,0.0
Retail Tech,0.138,0.0,0.0,0.508,0.161,0.0,0.0
Reviews,0.0,0.0,0.0,0.169,0.0,0.0,0.0
Ridesharing,0.138,0.0,0.0,0.0,0.0,0.0,0.0
Robotic Process Automation,0.688,0.475,1.012,0.508,0.805,0.904,0.0
Robotic Surgery,0.0,0.158,0.0,0.0,0.0,0.0,0.0
Robotics,1.651,1.266,0.202,2.712,4.509,5.873,0.0
Rocketry,0.0,0.0,0.0,0.169,0.161,0.0,0.0
SEO,0.138,0.158,0.0,0.169,0.0,0.151,0.0
SMB,0.138,0.158,0.405,0.508,0.161,0.151,0.0
SMS,0.0,0.158,0.202,0.339,0.0,0.0,0.0
SaaS,29.436,27.532,26.113,14.746,10.95,5.572,0.0
Sales,1.651,4.114,4.049,3.051,3.06,0.602,0.0
Sales Enablement,0.688,1.424,1.012,0.678,1.127,0.452,0.0
Satellites,0.688,0.791,0.405,0.508,0.322,0.301,0.0
Scheduling,0.275,0.158,0.0,0.0,0.0,0.151,0.0
Search,0.138,0.791,0.607,1.186,0.322,0.0,0.0
Security,1.651,2.215,1.417,1.695,1.449,1.054,0.0
Self-Driving Vehicles,0.138,0.0,0.0,0.0,0.0,0.151,0.0
Semiconductors,0.0,0.0,0.405,0.847,0.322,1.506,0.0
Skincare,0.0,0.158,0.0,0.0,0.0,0.151,0.0
Sleep Tech,0.413,0.0,0.0,0.0,0.0,0.0,0.0
Smart Home Assistants,0.0,0.0,0.0,0.0,0.161,0.0,0.0
Smart Waste Management,0.0,0.0,0.0,0.0,0.0,0.151,0.0
Social,0.413,1.266,0.202,0.169,0.966,0.452,0.0
Social Media,0.413,0.0,0.202,1.695,0.644,0.0,0.0
Social Network,0.275,0.0,0.0,0.508,0.322,0.0,0.0
Solar Power,0.275,0.791,0.405,0.339,0.161,0.151,0.0
Space Exploration,0.825,0.316,0.0,0.169,0.161,0.452,0.0
Speech Recognition,0.138,0.316,0.0,0.169,0.161,0.0,0.0
Sports Tech,0.275,0.316,0.0,0.169,0.483,0.0,0.0
Stocks,0.275,0.0,0.0,0.0,0.0,0.452,0.0
Subscriptions,1.788,0.949,0.607,0.169,0.0,0.0,0.0
Supply Chain,1.376,1.741,1.417,2.542,1.61,1.355,0.0
Sustainability,0.413,0.0,0.0,0.169,0.0,0.301,0.0
Sustainable Fashion,0.275,0.316,0.0,0.0,0.0,0.0,0.0
Sustainable Tourism,0.0,0.158,0.0,0.0,0.0,0.0,0.0
Swarm Robotics,0.0,0.0,0.0,0.169,0.0,0.452,0.0
Synthetic Biology,0.55,0.791,0.607,1.356,0.161,0.301,0.0
Talent Acquisition,0.138,0.0,0.0,0.0,0.0,0.151,0.0
Team Collaboration,0.138,0.0,0.202,0.169,0.483,0.0,0.0
Telecommunications,0.688,0.158,0.405,0.678,0.322,0.301,0.0
Telehealth,0.963,0.949,0.405,0.169,0.322,0.151,0.0
Telemedicine,1.376,0.949,0.202,0.0,0.0,0.0,0.0
Therapeutics,0.963,1.741,0.607,1.186,0.161,0.301,0.0
Time Series,0.0,0.0,0.0,0.0,0.0,0.151,0.0
Trading,0.413,0.316,0.202,0.169,0.322,1.054,0.0
Transportation,0.275,0.791,0.607,0.339,0.483,0.0,0.0
Travel,0.688,0.633,0.405,1.186,0.322,0.151,0.0
Trust & Safety,0.0,0.158,0.202,0.0,0.0,0.151,0.0
Unmanned Vehicle,0.0,0.158,0.0,0.0,0.0,0.151,0.0
Vaccines,0.0,0.0,0.0,0.0,0.0,0.151,0.0
Video,1.1,0.949,1.619,2.203,1.288,0.151,0.0
Virtual Reality,0.275,0.949,0.0,0.0,0.0,0.151,0.0
Warehouse Management Tech,0.55,0.316,0.202,0.169,0.0,0.151,0.0
Weather,0.138,0.0,0.0,0.0,0.0,0.0,0.0
Web Development,0.55,0.316,1.012,0.339,0.644,0.151,0.0
Women's Health,0.55,0.158,0.405,0.0,0.161,0.0,0.0
Workflow Automation,0.688,1.108,2.024,3.559,2.093,1.657,100.0
eLearning,2.751,0.791,0.607,0.169,0.322,0.151,0.0
eSports,0.0,0.0,0.0,0.0,0.0,0.151,0.0
