subindustry,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
Fintech -> Credit and Lending,3.274,1.79,2.764,0.427,1.095,0.455,0.403,0.403,0.0,0.0,0.699,0.602,0.0,1.005,0.513,0.0,0.0,0.0
Fintech -> Insurance,1.488,0.512,2.01,1.282,0.0,0.909,1.21,0.806,1.064,1.807,1.399,1.205,2.055,1.005,2.564,2.128,8.571,0.0
Fintech -> Payments,3.274,3.581,4.02,3.846,1.825,1.364,1.613,0.806,0.0,1.205,0.0,0.602,0.685,1.005,1.538,0.0,0.0,0.0
Government,0.298,0.256,0.251,0.0,0.365,0.0,0.403,1.613,1.064,2.41,1.399,0.602,1.37,0.0,0.513,0.851,2.857,0.0
Healthcare,0.893,2.813,1.508,2.137,1.46,2.273,3.226,2.823,6.383,1.807,2.098,1.807,4.11,2.513,2.564,5.106,0.0,0.0
Healthcare -> Consumer Health and Wellness,2.381,4.092,2.01,1.282,0.365,2.273,1.21,0.403,1.064,0.602,1.399,0.0,1.37,0.503,1.026,0.851,0.0,0.0
Healthcare -> Diagnostics,0.893,1.79,0.754,0.427,0.365,0.909,0.403,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0
Healthcare -> Drug Discovery and Delivery,0.0,2.302,0.503,0.427,2.555,0.909,0.0,0.806,0.0,0.0,0.0,1.205,0.685,2.01,0.513,1.277,0.0,0.0
Healthcare -> Healthcare IT,3.869,0.767,1.508,2.991,2.19,4.091,3.629,2.823,2.128,2.41,2.797,3.012,1.37,2.01,0.513,0.426,0.0,0.0
Healthcare -> Healthcare Services,0.893,0.767,2.01,0.427,0.73,1.364,0.403,0.403,0.0,0.602,1.399,0.0,0.0,1.005,2.051,0.851,0.0,0.0
Healthcare -> Industrial Bio,0.595,0.256,0.503,0.0,0.365,0.0,0.0,0.806,0.0,0.0,0.0,0.602,0.0,0.0,0.513,0.0,0.0,0.0
Healthcare -> Medical Devices,0.893,2.046,1.508,0.427,0.0,0.909,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0
Healthcare -> Therapeutics,1.786,1.535,0.754,2.137,0.365,0.0,2.419,0.806,0.0,1.205,0.0,0.602,0.0,0.0,0.513,0.426,0.0,0.0
Industrials,0.298,0.0,0.503,0.427,1.095,0.455,0.0,2.016,0.0,1.205,1.399,1.807,0.0,3.015,0.513,5.957,0.0,0.0
Industrials -> Agriculture,0.0,0.512,0.251,0.0,0.0,0.909,0.0,0.0,0.0,1.205,0.0,0.602,0.0,0.503,0.0,0.426,0.0,0.0
Industrials -> Automotive,0.595,0.256,0.503,0.0,0.0,0.0,0.0,0.0,1.064,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0
Industrials -> Aviation and Space,1.786,1.279,0.754,1.709,0.73,0.455,1.613,1.21,3.191,2.41,1.399,0.0,0.685,2.01,1.026,1.277,2.857,0.0
Industrials -> Climate,0.893,1.279,2.513,2.137,0.0,0.455,0.0,1.613,0.0,0.0,0.699,0.0,0.0,0.503,0.0,0.851,0.0,0.0
Industrials -> Defense,0.298,0.0,0.0,0.0,0.0,0.0,0.403,0.0,0.0,0.602,0.0,1.205,1.37,1.005,3.077,3.83,0.0,0.0
Industrials -> Drones,0.0,0.512,0.251,0.0,0.0,0.0,0.0,0.806,0.0,0.602,0.0,0.0,0.0,1.005,0.513,0.0,2.857,0.0
Industrials -> Energy,1.488,0.767,0.503,0.855,0.365,0.455,0.403,0.806,0.0,1.205,0.699,0.0,0.685,3.015,1.026,1.277,2.857,0.0
Industrials -> Manufacturing and Robotics,1.488,0.512,0.754,0.855,0.0,0.0,1.613,3.629,1.064,4.217,6.294,4.217,6.849,3.015,6.667,10.213,14.286,0.0
Real Estate and Construction,0.0,0.0,1.005,1.282,0.73,0.909,0.0,0.806,1.064,0.0,0.0,1.807,0.0,1.005,1.026,0.0,0.0,0.0
Real Estate and Construction -> Construction,0.595,1.023,1.005,0.855,0.365,1.364,0.806,0.0,3.191,1.205,0.699,0.0,1.37,0.503,1.026,1.277,0.0,0.0
Real Estate and Construction -> Housing and Real Estate,1.19,1.023,1.508,1.709,0.365,0.455,0.403,0.806,0.0,0.0,0.0,0.602,2.055,0.0,0.0,1.277,0.0,0.0
