tag,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
Bioplastic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biotech,5,15,10,8,7,6,6,11,2,2,3,3,3,1,2,9,0,0
Biotechnology,0,2,1,1,0,0,0,1,0,1,0,1,1,1,0,2,0,0
Booking,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
COVID-19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRISPR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CRM,0,1,1,1,1,2,1,1,0,2,0,0,1,0,0,0,0,0
Calendar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Call Center,0,0,1,2,0,0,1,3,1,1,0,0,0,0,0,0,0,0
Carbon Capture and Removal,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Careers,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cashierless Checkout,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Therapy,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cellular Agriculture,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chat,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
Chatbot,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chatbots,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Civic Tech,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Clean Meat,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Climate,13,19,20,7,8,5,2,6,0,0,0,0,0,0,0,1,0,0
ClimateTech,2,3,4,2,4,1,0,2,0,2,0,1,0,0,0,2,0,0
Cloud Computing,2,1,5,2,4,1,2,6,0,2,3,3,0,0,1,4,2,0
Cloud Workload Protection,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collaboration,2,3,4,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0
Commercial Space Launch,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Community,7,12,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Compliance,4,2,7,8,6,6,6,4,2,5,3,1,5,2,1,1,0,0
Computer Vision,4,5,1,3,3,3,4,5,0,3,2,2,3,3,0,4,0,0
Construction,5,4,10,3,2,4,4,1,2,1,0,1,3,3,0,8,0,0
Consumer,14,12,39,19,12,8,17,18,8,9,10,7,8,1,7,6,2,0
Consumer Finance,2,3,2,1,1,3,1,4,1,1,1,2,3,0,2,2,0,0
Consumer Health Services,13,21,11,2,3,5,5,1,1,0,0,0,3,0,0,2,0,0
Consumer Products,0,2,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
Conversational AI,2,1,2,2,3,3,7,4,0,6,1,4,4,0,0,2,0,0
Conversational Banking,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Creator Economy,1,4,4,4,3,0,1,1,0,1,1,1,2,0,0,2,0,0
Crowdsourcing,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Crypto / Web3,7,9,16,13,5,1,2,1,1,2,0,1,1,0,1,3,0,0
Cryptocurrency,1,0,3,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0
Cryptography,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cultured Meat,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Customer Service,2,0,2,0,2,1,2,1,1,1,0,1,0,0,0,1,0,0
Customer Success,2,2,3,1,7,0,1,2,1,1,0,0,3,0,0,1,0,0
Customer Support,2,0,3,2,7,2,4,2,1,0,1,0,2,0,0,1,0,0
Cybersecurity,1,3,0,1,3,3,2,2,1,2,3,2,4,1,0,6,0,0
DAO,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineering,6,9,12,7,6,5,5,4,2,2,2,1,2,4,0,8,0,0
Data Labeling,0,1,3,0,0,1,0,2,0,1,3,1,1,1,0,4,0,0
Data Science,0,1,1,0,1,5,4,4,0,1,2,2,0,0,0,3,0,0
Data Visualization,1,2,0,0,4,4,5,1,0,0,1,2,0,0,0,0,0,0
Databases,1,1,1,1,0,5,3,0,0,2,2,0,1,0,0,1,0,0
Dating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeFi,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deep Learning,5,0,0,1,1,2,1,2,1,0,0,1,0,2,1,5,2,0
Deepfake Detection,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defense,1,3,1,0,0,0,1,2,2,0,0,1,3,1,2,8,0,0
Delivery,4,8,5,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dental,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
Design,1,1,1,0,0,3,1,0,2,3,1,2,4,0,0,2,0,0
Design Tools,7,2,3,0,4,2,2,1,3,1,1,1,2,0,0,1,0,0
DevOps,0,3,2,0,5,3,1,3,3,1,1,2,2,0,0,2,2,0
DevSecOps,2,1,3,2,2,1,0,0,0,0,1,1,0,0,1,0,0,0
Developer Tools,34,33,34,24,49,32,31,32,18,16,20,23,14,5,8,23,6,0
Diagnostics,2,3,2,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0
Digital Freight Brokerage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Digital Health,10,11,14,6,4,6,8,2,3,4,1,0,4,1,1,2,0,0
Documents,3,1,1,3,4,1,3,0,1,2,2,0,0,0,0,0,1,0
Drones,0,2,1,1,1,0,1,1,0,0,0,1,1,2,1,5,1,0
Drug Delivery,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Drug discovery,3,2,4,1,3,0,3,3,0,0,0,0,1,0,0,1,0,0
E-Commerce,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-commerce,19,25,25,7,8,2,2,7,2,2,0,2,3,0,2,2,0,0
Edge Computing Semiconductors,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Edtech,4,0,1,0,1,2,1,2,0,2,1,0,0,0,0,0,0,0
Education,14,18,8,3,2,4,3,3,1,5,3,4,1,0,0,2,0,0
Electric Vehicles,4,1,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Electronics,0,0,1,0,0,0,1,1,0,4,1,0,0,0,0,1,1,0
Email,2,1,2,0,0,0,1,2,1,1,0,2,0,0,0,0,0,0
Emerging Markets,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0
Energy,5,2,4,4,1,4,1,3,1,3,1,0,0,1,0,9,1,0
Energy Storage,2,0,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0
Enterprise,4,4,9,11,15,7,7,4,3,4,2,2,2,1,2,6,0,0
Enterprise Software,4,4,10,5,8,12,8,10,5,3,7,9,3,5,5,14,0,0
Entertainment,1,2,7,1,2,2,4,2,0,1,0,0,2,0,0,2,0,0
Exascale Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fashion,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Feedback,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
Femtech,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FinOps,3,6,3,2,4,1,0,2,0,3,0,0,1,1,0,0,0,0
Finance,3,5,5,3,12,5,5,11,3,4,1,2,5,2,1,11,1,0
Fintech,58,81,92,53,34,22,17,23,2,11,5,6,4,4,4,14,2,0
Fitness,2,3,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0
Food,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Food & Beverage,2,1,0,0,1,2,2,0,0,0,0,1,0,0,0,0,1,0
Food Service Robots & Machines,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Tech,4,3,7,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0
Fraud Detection,0,1,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0
Fraud Prevention,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Fundraising,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusion Energy,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Gaming,5,2,9,5,2,2,1,3,0,0,1,0,2,0,2,4,0,0
Gardening,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene Therapy,1,0,2,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0
Generative AI,5,14,13,22,49,29,19,25,6,16,4,4,9,2,0,10,0,0
Genetic Engineering,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Genomics,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Geographic Information System,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Ghost Kitchens,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GovTech,2,4,3,2,0,2,2,3,0,5,1,1,2,0,1,4,1,0
GraphQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Grocery,4,5,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
HR Tech,5,7,7,4,4,4,2,3,1,3,0,0,1,0,1,1,1,0
Hard Tech,11,9,11,2,2,2,2,11,1,5,6,2,4,3,4,25,4,0
Hardware,6,6,10,2,1,2,1,8,0,8,6,6,5,3,3,20,3,0
Health & Wellness,2,10,2,0,0,3,2,0,0,2,1,0,3,0,1,4,1,0
Health Insurance,1,3,0,0,2,5,1,1,0,1,0,0,2,0,0,2,0,0
Health Tech,8,9,12,8,10,12,6,6,4,7,3,0,7,0,0,5,0,0
Healthcare,11,14,19,8,13,20,13,9,5,6,6,1,5,1,1,11,0,0
Healthcare IT,4,1,2,2,1,9,1,1,2,2,1,2,2,0,1,2,0,0
Home Automation,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Home Services,1,0,1,0,1,1,2,1,0,1,1,0,1,0,1,3,0,0
Housing,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Human Resources,3,1,2,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0
Hydrogen Energy,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Identity,2,1,3,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Immigration,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Income Share Agreements,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Industrial,0,1,1,0,0,0,2,5,0,3,4,3,3,0,0,9,0,0
Industrial Workplace Safety,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,7,3,6,3,6,12,7,11,5,6,9,10,7,7,3,19,6,0
Insurance,5,3,10,5,3,2,5,5,1,3,2,2,0,1,2,6,2,1
International,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Investing,1,5,6,2,5,1,3,3,1,1,1,2,1,0,1,8,0,0
Investments,0,1,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
IoT,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IoT Security,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kids,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kubernetes,1,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Latin America,3,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Legal,2,0,2,1,1,3,3,5,1,5,2,0,3,0,0,2,1,0
LegalTech,4,2,3,3,2,2,3,7,1,3,1,1,4,0,0,3,0,0
Lending,3,3,3,1,0,0,1,2,0,0,0,1,0,1,0,0,0,0
Lidar,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Live,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Livestock Health,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Logistics,10,3,12,8,5,7,6,4,1,2,3,4,2,3,0,7,0,0
ML,0,2,2,1,0,3,1,2,0,0,3,0,0,1,1,2,0,0
Machine Learning,10,20,24,11,12,11,6,10,6,5,8,4,5,3,0,12,0,0
Manufacturing,2,4,8,3,2,4,3,10,2,5,9,4,4,0,1,16,2,0
Maritime,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Market Research,1,2,1,0,1,1,0,1,1,1,1,2,1,0,0,3,0,0
Marketing,4,4,12,5,6,10,8,5,2,3,2,4,5,2,2,2,0,0
Marketplace,20,33,32,5,10,3,6,1,1,1,2,1,4,0,0,6,0,0
Media,2,1,1,1,3,1,1,3,2,0,0,0,2,0,0,0,0,0
Medical Devices,2,12,7,3,0,3,1,0,0,0,0,1,0,0,0,1,0,0
Medical Robotics,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mental Health,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Mental Health Tech,3,7,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Messaging,0,2,1,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Metaverse,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microfluidics,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Microinsurance,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mining,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mobility,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Monitoring,1,0,0,0,2,1,2,1,0,0,1,0,1,0,0,2,0,0
Music,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
NFT,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLP,2,1,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Nanomedicine,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nanosensors,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nanotechnology,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Navigation,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Neobank,4,3,15,7,3,3,2,1,0,1,1,1,2,0,1,0,0,0
Networks,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Neurotechnology,2,1,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Next-gen Network Security,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No-code,1,5,2,4,3,1,3,1,2,0,0,1,4,0,0,0,0,0
Nonprofit,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Note-taking,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Oncology,1,1,1,3,2,0,4,1,0,0,0,0,0,0,0,2,0,0
Open Source,13,8,11,13,21,11,12,7,0,7,5,6,3,0,2,8,0,0
Operations,2,3,2,1,3,1,4,7,1,1,3,1,3,3,0,1,0,0
Payments,9,14,18,15,13,7,4,4,1,2,0,1,1,1,1,0,0,0
Payroll,0,2,1,1,2,2,1,1,0,0,0,0,0,1,0,0,0,0
Pediatrics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Personalization,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0
Podcasts,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Primary Care,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Privacy,2,1,3,0,1,1,0,2,0,0,1,0,0,0,0,1,0,0
Procurement,2,1,0,0,0,1,1,1,1,0,0,1,0,0,0,2,0,0
Productivity,8,12,12,14,13,6,10,11,2,2,5,9,4,0,3,3,1,0
Proptech,7,8,14,7,7,3,3,4,1,1,0,1,2,0,0,0,0,0
Quantum Computing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Radar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Real Estate,4,2,9,8,4,3,2,5,1,1,1,2,1,1,0,4,0,0
Recommendation System,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Recruiting,7,6,2,2,0,3,2,0,1,3,0,1,1,0,1,2,1,0
Regtech,0,2,3,2,2,2,1,1,1,1,0,0,0,1,0,1,0,0
Reinforcement Learning,0,0,0,0,2,0,3,1,1,4,5,4,3,4,0,14,0,0
Remittances,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Remote,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remote Work,2,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Renewable Energy,1,1,1,1,2,1,1,1,0,1,0,0,0,1,0,2,0,0
Restaurant Tech,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,2,0,0
Retail,1,3,1,2,5,3,1,2,0,0,2,0,0,0,0,1,0,0
Retail Tech,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0
Reviews,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ridesharing,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robotic Process Automation,4,1,1,2,2,3,0,3,0,2,1,1,1,1,1,4,0,0
Robotic Surgery,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robotics,9,3,5,3,1,0,6,9,1,5,9,5,9,3,5,28,3,0
Rocketry,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
SEO,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
SMB,1,0,1,0,1,1,3,0,0,0,0,0,1,0,0,1,0,0
SMS,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
SaaS,94,120,106,68,86,43,31,40,16,26,14,17,11,5,6,24,2,0
Sales,5,7,13,13,10,10,12,4,2,9,5,3,2,0,0,4,0,0
Sales Enablement,1,4,5,4,3,2,3,1,0,4,1,2,0,0,1,2,0,0
Satellites,4,1,3,2,1,1,2,1,0,0,0,0,2,0,0,1,1,0
Scheduling,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Search,0,1,3,2,0,3,5,1,1,0,0,2,0,0,0,0,0,0
Security,5,7,10,4,4,3,6,3,1,0,4,3,2,0,1,6,0,0
Self-Driving Vehicles,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Semiconductors,0,0,0,0,0,2,1,4,0,1,1,0,0,1,1,7,1,0
Skincare,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sleep Tech,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smart Home Assistants,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Smart Waste Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Social,2,1,6,2,1,0,1,0,0,2,2,0,2,0,2,0,1,0
Social Media,3,0,0,0,1,0,3,4,3,0,1,0,3,0,0,0,0,0
Social Network,1,1,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0
Solar Power,0,2,3,2,2,0,1,1,0,1,0,0,0,1,0,0,0,0
Space Exploration,2,4,1,1,0,0,0,1,0,1,0,0,0,0,0,2,1,0
Speech Recognition,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Sports Tech,2,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0
Stocks,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
Subscriptions,9,4,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Supply Chain,6,4,6,5,2,5,4,10,1,1,2,7,0,1,0,8,0,0
Sustainability,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
Sustainable Fashion,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sustainable Tourism,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swarm Robotics,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
Synthetic Biology,0,4,2,3,2,1,3,5,0,0,0,1,0,0,0,2,0,0
Talent Acquisition,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Team Collaboration,1,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0
Telecommunications,3,2,0,1,1,1,3,0,1,2,0,0,0,0,1,1,0,0
Telehealth,2,5,3,3,1,1,1,0,0,0,1,0,1,0,0,1,0,0
Telemedicine,5,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Therapeutics,1,6,4,7,2,1,5,2,0,1,0,0,0,0,1,1,0,0
Time Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Trading,1,2,2,0,1,0,0,0,1,1,1,0,0,1,2,4,0,0
Transportation,0,2,3,2,2,1,0,1,1,1,1,0,1,0,0,0,0,0
Travel,3,2,4,0,0,2,3,3,1,1,0,1,0,0,0,1,0,0
Trust & Safety,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Unmanned Vehicle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Vaccines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Video,4,4,3,3,5,3,7,3,3,0,0,4,4,0,0,1,0,0
Virtual Reality,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Warehouse Management Tech,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Weather,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web Development,2,2,1,1,1,4,1,1,0,1,1,1,1,0,1,0,0,0
Women's Health,0,4,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Workflow Automation,3,2,2,5,5,5,10,9,2,4,1,5,3,0,0,11,0,1
eLearning,12,8,4,1,2,1,0,1,0,1,0,1,0,0,0,1,0,0
eSports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
