tag,batch,count,share_pct,batch_code,year,batch_order,total_companies,is_partial_batch
AI-Enhanced Learning,Winter 2024,2,0.806,W24,2024,20240,248,False
AI-Enhanced Learning,Summer 2024,3,1.21,S24,2024,20242,248,False
AI-Enhanced Learning,Fall 2024,1,1.064,F24,2024,20243,94,False
AI-Enhanced Learning,Winter 2025,4,2.41,W25,2025,20250,166,False
AI-Enhanced Learning,Spring 2025,1,0.699,X25,2025,20251,143,False
AI-Enhanced Learning,Summer 2025,1,0.602,S25,2025,20252,166,False
AI-Enhanced Learning,Fall 2025,2,1.37,F25,2025,20253,146,False
AI-Enhanced Learning,Winter 2026,0,0.0,W26,2026,20260,199,False
AI-Enhanced Learning,Spring 2026,0,0.0,X26,2026,20261,195,False
AI-Enhanced Learning,Summer 2026,2,0.851,S26,2026,20262,235,False
AI-Enhanced Learning,Fall 2026,1,2.857,F26,2026,20263,35,True
AI-Enhanced Learning,Winter 2027,0,0.0,W27,2027,20270,1,True
AI-powered Drug Discovery,Winter 2021,1,0.298,W21,2021,20210,336,False
AI-powered Drug Discovery,Summer 2021,7,1.79,S21,2021,20212,391,False
AI-powered Drug Discovery,Winter 2022,1,0.251,W22,2022,20220,398,False
AI-powered Drug Discovery,Summer 2022,1,0.427,S22,2022,20222,234,False
AI-powered Drug Discovery,Winter 2023,2,0.73,W23,2023,20230,274,False
AI-powered Drug Discovery,Summer 2023,1,0.455,S23,2023,20232,220,False
AI-powered Drug Discovery,Winter 2024,1,0.403,W24,2024,20240,248,False
AI-powered Drug Discovery,Summer 2024,2,0.806,S24,2024,20242,248,False
AI-powered Drug Discovery,Fall 2024,0,0.0,F24,2024,20243,94,False
AI-powered Drug Discovery,Winter 2025,0,0.0,W25,2025,20250,166,False
AI-powered Drug Discovery,Spring 2025,0,0.0,X25,2025,20251,143,False
AI-powered Drug Discovery,Summer 2025,2,1.205,S25,2025,20252,166,False
AI-powered Drug Discovery,Fall 2025,0,0.0,F25,2025,20253,146,False
AI-powered Drug Discovery,Winter 2026,0,0.0,W26,2026,20260,199,False
AI-powered Drug Discovery,Spring 2026,0,0.0,X26,2026,20261,195,False
AI-powered Drug Discovery,Summer 2026,2,0.851,S26,2026,20262,235,False
AI-powered Drug Discovery,Fall 2026,0,0.0,F26,2026,20263,35,True
AI-powered Drug Discovery,Winter 2027,0,0.0,W27,2027,20270,1,True
AIOps,Winter 2021,2,0.595,W21,2021,20210,336,False
AIOps,Summer 2021,3,0.767,S21,2021,20212,391,False
AIOps,Winter 2022,5,1.256,W22,2022,20220,398,False
AIOps,Summer 2022,2,0.855,S22,2022,20222,234,False
AIOps,Winter 2023,5,1.825,W23,2023,20230,274,False
AIOps,Summer 2023,6,2.727,S23,2023,20232,220,False
AIOps,Winter 2024,1,0.403,W24,2024,20240,248,False
AIOps,Summer 2024,10,4.032,S24,2024,20242,248,False
AIOps,Fall 2024,1,1.064,F24,2024,20243,94,False
AIOps,Winter 2025,3,1.807,W25,2025,20250,166,False
AIOps,Spring 2025,4,2.797,X25,2025,20251,143,False
AIOps,Summer 2025,3,1.807,S25,2025,20252,166,False
AIOps,Fall 2025,1,0.685,F25,2025,20253,146,False
AIOps,Winter 2026,2,1.005,W26,2026,20260,199,False
AIOps,Spring 2026,0,0.0,X26,2026,20261,195,False
AIOps,Summer 2026,6,2.553,S26,2026,20262,235,False
AIOps,Fall 2026,3,8.571,F26,2026,20263,35,True
AIOps,Winter 2027,0,0.0,W27,2027,20270,1,True
API,Winter 2021,8,2.381,W21,2021,20210,336,False
API,Summer 2021,7,1.79,S21,2021,20212,391,False
API,Winter 2022,17,4.271,W22,2022,20220,398,False
API,Summer 2022,14,5.983,S22,2022,20222,234,False
API,Winter 2023,14,5.109,W23,2023,20230,274,False
API,Summer 2023,10,4.545,S23,2023,20232,220,False
API,Winter 2024,6,2.419,W24,2024,20240,248,False
API,Summer 2024,4,1.613,S24,2024,20242,248,False
API,Fall 2024,3,3.191,F24,2024,20243,94,False
API,Winter 2025,5,3.012,W25,2025,20250,166,False
API,Spring 2025,1,0.699,X25,2025,20251,143,False
API,Summer 2025,2,1.205,S25,2025,20252,166,False
API,Fall 2025,2,1.37,F25,2025,20253,146,False
API,Winter 2026,2,1.005,W26,2026,20260,199,False
API,Spring 2026,1,0.513,X26,2026,20261,195,False
API,Summer 2026,3,1.277,S26,2026,20262,235,False
API,Fall 2026,0,0.0,F26,2026,20263,35,True
API,Winter 2027,0,0.0,W27,2027,20270,1,True
APIs,Winter 2021,2,0.595,W21,2021,20210,336,False
APIs,Summer 2021,1,0.256,S21,2021,20212,391,False
APIs,Winter 2022,0,0.0,W22,2022,20220,398,False
APIs,Summer 2022,0,0.0,S22,2022,20222,234,False
APIs,Winter 2023,0,0.0,W23,2023,20230,274,False
APIs,Summer 2023,0,0.0,S23,2023,20232,220,False
APIs,Winter 2024,1,0.403,W24,2024,20240,248,False
APIs,Summer 2024,0,0.0,S24,2024,20242,248,False
APIs,Fall 2024,0,0.0,F24,2024,20243,94,False
APIs,Winter 2025,0,0.0,W25,2025,20250,166,False
APIs,Spring 2025,1,0.699,X25,2025,20251,143,False
APIs,Summer 2025,0,0.0,S25,2025,20252,166,False
APIs,Fall 2025,1,0.685,F25,2025,20253,146,False
APIs,Winter 2026,0,0.0,W26,2026,20260,199,False
APIs,Spring 2026,1,0.513,X26,2026,20261,195,False
APIs,Summer 2026,1,0.426,S26,2026,20262,235,False
APIs,Fall 2026,0,0.0,F26,2026,20263,35,True
APIs,Winter 2027,0,0.0,W27,2027,20270,1,True
AR,Winter 2021,1,0.298,W21,2021,20210,336,False
AR,Summer 2021,0,0.0,S21,2021,20212,391,False
AR,Winter 2022,0,0.0,W22,2022,20220,398,False
AR,Summer 2022,0,0.0,S22,2022,20222,234,False
AR,Winter 2023,0,0.0,W23,2023,20230,274,False
AR,Summer 2023,0,0.0,S23,2023,20232,220,False
AR,Winter 2024,0,0.0,W24,2024,20240,248,False
AR,Summer 2024,0,0.0,S24,2024,20242,248,False
AR,Fall 2024,0,0.0,F24,2024,20243,94,False
AR,Winter 2025,1,0.602,W25,2025,20250,166,False
AR,Spring 2025,0,0.0,X25,2025,20251,143,False
AR,Summer 2025,0,0.0,S25,2025,20252,166,False
AR,Fall 2025,0,0.0,F25,2025,20253,146,False
AR,Winter 2026,0,0.0,W26,2026,20260,199,False
AR,Spring 2026,0,0.0,X26,2026,20261,195,False
AR,Summer 2026,1,0.426,S26,2026,20262,235,False
AR,Fall 2026,0,0.0,F26,2026,20263,35,True
AR,Winter 2027,0,0.0,W27,2027,20270,1,True
Advanced Materials,Winter 2021,0,0.0,W21,2021,20210,336,False
Advanced Materials,Summer 2021,0,0.0,S21,2021,20212,391,False
Advanced Materials,Winter 2022,0,0.0,W22,2022,20220,398,False
Advanced Materials,Summer 2022,0,0.0,S22,2022,20222,234,False
Advanced Materials,Winter 2023,0,0.0,W23,2023,20230,274,False
Advanced Materials,Summer 2023,0,0.0,S23,2023,20232,220,False
Advanced Materials,Winter 2024,0,0.0,W24,2024,20240,248,False
Advanced Materials,Summer 2024,0,0.0,S24,2024,20242,248,False
Advanced Materials,Fall 2024,0,0.0,F24,2024,20243,94,False
Advanced Materials,Winter 2025,0,0.0,W25,2025,20250,166,False
Advanced Materials,Spring 2025,0,0.0,X25,2025,20251,143,False
Advanced Materials,Summer 2025,1,0.602,S25,2025,20252,166,False
Advanced Materials,Fall 2025,0,0.0,F25,2025,20253,146,False
Advanced Materials,Winter 2026,0,0.0,W26,2026,20260,199,False
Advanced Materials,Spring 2026,0,0.0,X26,2026,20261,195,False
Advanced Materials,Summer 2026,2,0.851,S26,2026,20262,235,False
Advanced Materials,Fall 2026,1,2.857,F26,2026,20263,35,True
Advanced Materials,Winter 2027,0,0.0,W27,2027,20270,1,True
Advertising,Winter 2021,0,0.0,W21,2021,20210,336,False
Advertising,Summer 2021,2,0.512,S21,2021,20212,391,False
Advertising,Winter 2022,4,1.005,W22,2022,20220,398,False
Advertising,Summer 2022,1,0.427,S22,2022,20222,234,False
Advertising,Winter 2023,3,1.095,W23,2023,20230,274,False
Advertising,Summer 2023,2,0.909,S23,2023,20232,220,False
Advertising,Winter 2024,1,0.403,W24,2024,20240,248,False
Advertising,Summer 2024,0,0.0,S24,2024,20242,248,False
Advertising,Fall 2024,1,1.064,F24,2024,20243,94,False
Advertising,Winter 2025,0,0.0,W25,2025,20250,166,False
Advertising,Spring 2025,1,0.699,X25,2025,20251,143,False
Advertising,Summer 2025,0,0.0,S25,2025,20252,166,False
Advertising,Fall 2025,5,3.425,F25,2025,20253,146,False
Advertising,Winter 2026,1,0.503,W26,2026,20260,199,False
Advertising,Spring 2026,2,1.026,X26,2026,20261,195,False
Advertising,Summer 2026,0,0.0,S26,2026,20262,235,False
Advertising,Fall 2026,0,0.0,F26,2026,20263,35,True
Advertising,Winter 2027,0,0.0,W27,2027,20270,1,True
Aerospace,Winter 2021,2,0.595,W21,2021,20210,336,False
Aerospace,Summer 2021,3,0.767,S21,2021,20212,391,False
Aerospace,Winter 2022,1,0.251,W22,2022,20220,398,False
Aerospace,Summer 2022,3,1.282,S22,2022,20222,234,False
Aerospace,Winter 2023,1,0.365,W23,2023,20230,274,False
Aerospace,Summer 2023,2,0.909,S23,2023,20232,220,False
Aerospace,Winter 2024,3,1.21,W24,2024,20240,248,False
Aerospace,Summer 2024,5,2.016,S24,2024,20242,248,False
Aerospace,Fall 2024,3,3.191,F24,2024,20243,94,False
Aerospace,Winter 2025,1,0.602,W25,2025,20250,166,False
Aerospace,Spring 2025,3,2.098,X25,2025,20251,143,False
Aerospace,Summer 2025,0,0.0,S25,2025,20252,166,False
Aerospace,Fall 2025,4,2.74,F25,2025,20253,146,False
Aerospace,Winter 2026,0,0.0,W26,2026,20260,199,False
Aerospace,Spring 2026,2,1.026,X26,2026,20261,195,False
Aerospace,Summer 2026,5,2.128,S26,2026,20262,235,False
Aerospace,Fall 2026,1,2.857,F26,2026,20263,35,True
Aerospace,Winter 2027,0,0.0,W27,2027,20270,1,True
Agriculture,Winter 2021,1,0.298,W21,2021,20210,336,False
Agriculture,Summer 2021,1,0.256,S21,2021,20212,391,False
Agriculture,Winter 2022,2,0.503,W22,2022,20220,398,False
Agriculture,Summer 2022,1,0.427,S22,2022,20222,234,False
Agriculture,Winter 2023,0,0.0,W23,2023,20230,274,False
Agriculture,Summer 2023,1,0.455,S23,2023,20232,220,False
Agriculture,Winter 2024,1,0.403,W24,2024,20240,248,False
Agriculture,Summer 2024,2,0.806,S24,2024,20242,248,False
Agriculture,Fall 2024,0,0.0,F24,2024,20243,94,False
Agriculture,Winter 2025,0,0.0,W25,2025,20250,166,False
Agriculture,Spring 2025,0,0.0,X25,2025,20251,143,False
Agriculture,Summer 2025,2,1.205,S25,2025,20252,166,False
Agriculture,Fall 2025,0,0.0,F25,2025,20253,146,False
Agriculture,Winter 2026,1,0.503,W26,2026,20260,199,False
Agriculture,Spring 2026,0,0.0,X26,2026,20261,195,False
Agriculture,Summer 2026,2,0.851,S26,2026,20262,235,False
Agriculture,Fall 2026,0,0.0,F26,2026,20263,35,True
Agriculture,Winter 2027,0,0.0,W27,2027,20270,1,True
Airlines,Winter 2021,0,0.0,W21,2021,20210,336,False
Airlines,Summer 2021,0,0.0,S21,2021,20212,391,False
Airlines,Winter 2022,0,0.0,W22,2022,20220,398,False
Airlines,Summer 2022,0,0.0,S22,2022,20222,234,False
Airlines,Winter 2023,0,0.0,W23,2023,20230,274,False
Airlines,Summer 2023,1,0.455,S23,2023,20232,220,False
Airlines,Winter 2024,0,0.0,W24,2024,20240,248,False
Airlines,Summer 2024,0,0.0,S24,2024,20242,248,False
Airlines,Fall 2024,1,1.064,F24,2024,20243,94,False
Airlines,Winter 2025,0,0.0,W25,2025,20250,166,False
Airlines,Spring 2025,0,0.0,X25,2025,20251,143,False
Airlines,Summer 2025,0,0.0,S25,2025,20252,166,False
Airlines,Fall 2025,0,0.0,F25,2025,20253,146,False
Airlines,Winter 2026,0,0.0,W26,2026,20260,199,False
Airlines,Spring 2026,0,0.0,X26,2026,20261,195,False
Airlines,Summer 2026,1,0.426,S26,2026,20262,235,False
Airlines,Fall 2026,0,0.0,F26,2026,20263,35,True
Airlines,Winter 2027,0,0.0,W27,2027,20270,1,True
Airplanes,Winter 2021,1,0.298,W21,2021,20210,336,False
Airplanes,Summer 2021,1,0.256,S21,2021,20212,391,False
Airplanes,Winter 2022,1,0.251,W22,2022,20220,398,False
Airplanes,Summer 2022,2,0.855,S22,2022,20222,234,False
Airplanes,Winter 2023,1,0.365,W23,2023,20230,274,False
Airplanes,Summer 2023,0,0.0,S23,2023,20232,220,False
Airplanes,Winter 2024,0,0.0,W24,2024,20240,248,False
Airplanes,Summer 2024,0,0.0,S24,2024,20242,248,False
Airplanes,Fall 2024,0,0.0,F24,2024,20243,94,False
Airplanes,Winter 2025,0,0.0,W25,2025,20250,166,False
Airplanes,Spring 2025,0,0.0,X25,2025,20251,143,False
Airplanes,Summer 2025,0,0.0,S25,2025,20252,166,False
Airplanes,Fall 2025,0,0.0,F25,2025,20253,146,False
Airplanes,Winter 2026,0,0.0,W26,2026,20260,199,False
Airplanes,Spring 2026,0,0.0,X26,2026,20261,195,False
Airplanes,Summer 2026,0,0.0,S26,2026,20262,235,False
Airplanes,Fall 2026,0,0.0,F26,2026,20263,35,True
Airplanes,Winter 2027,0,0.0,W27,2027,20270,1,True
Alternative Fuels,Winter 2021,0,0.0,W21,2021,20210,336,False
Alternative Fuels,Summer 2021,0,0.0,S21,2021,20212,391,False
Alternative Fuels,Winter 2022,0,0.0,W22,2022,20220,398,False
Alternative Fuels,Summer 2022,0,0.0,S22,2022,20222,234,False
Alternative Fuels,Winter 2023,0,0.0,W23,2023,20230,274,False
Alternative Fuels,Summer 2023,0,0.0,S23,2023,20232,220,False
Alternative Fuels,Winter 2024,0,0.0,W24,2024,20240,248,False
Alternative Fuels,Summer 2024,0,0.0,S24,2024,20242,248,False
Alternative Fuels,Fall 2024,0,0.0,F24,2024,20243,94,False
Alternative Fuels,Winter 2025,0,0.0,W25,2025,20250,166,False
Alternative Fuels,Spring 2025,0,0.0,X25,2025,20251,143,False
Alternative Fuels,Summer 2025,0,0.0,S25,2025,20252,166,False
Alternative Fuels,Fall 2025,0,0.0,F25,2025,20253,146,False
Alternative Fuels,Winter 2026,0,0.0,W26,2026,20260,199,False
Alternative Fuels,Spring 2026,0,0.0,X26,2026,20261,195,False
Alternative Fuels,Summer 2026,1,0.426,S26,2026,20262,235,False
Alternative Fuels,Fall 2026,0,0.0,F26,2026,20263,35,True
Alternative Fuels,Winter 2027,0,0.0,W27,2027,20270,1,True
Analytics,Winter 2021,9,2.679,W21,2021,20210,336,False
Analytics,Summer 2021,12,3.069,S21,2021,20212,391,False
Analytics,Winter 2022,17,4.271,W22,2022,20220,398,False
Analytics,Summer 2022,11,4.701,S22,2022,20222,234,False
Analytics,Winter 2023,15,5.474,W23,2023,20230,274,False
Analytics,Summer 2023,10,4.545,S23,2023,20232,220,False
Analytics,Winter 2024,8,3.226,W24,2024,20240,248,False
Analytics,Summer 2024,10,4.032,S24,2024,20242,248,False
Analytics,Fall 2024,1,1.064,F24,2024,20243,94,False
Analytics,Winter 2025,5,3.012,W25,2025,20250,166,False
Analytics,Spring 2025,4,2.797,X25,2025,20251,143,False
Analytics,Summer 2025,2,1.205,S25,2025,20252,166,False
Analytics,Fall 2025,5,3.425,F25,2025,20253,146,False
Analytics,Winter 2026,1,0.503,W26,2026,20260,199,False
Analytics,Spring 2026,0,0.0,X26,2026,20261,195,False
Analytics,Summer 2026,3,1.277,S26,2026,20262,235,False
Analytics,Fall 2026,0,0.0,F26,2026,20263,35,True
Analytics,Winter 2027,0,0.0,W27,2027,20270,1,True
Anti-Aging,Winter 2021,2,0.595,W21,2021,20210,336,False
Anti-Aging,Summer 2021,1,0.256,S21,2021,20212,391,False
Anti-Aging,Winter 2022,0,0.0,W22,2022,20220,398,False
Anti-Aging,Summer 2022,0,0.0,S22,2022,20222,234,False
Anti-Aging,Winter 2023,0,0.0,W23,2023,20230,274,False
Anti-Aging,Summer 2023,0,0.0,S23,2023,20232,220,False
Anti-Aging,Winter 2024,0,0.0,W24,2024,20240,248,False
Anti-Aging,Summer 2024,0,0.0,S24,2024,20242,248,False
Anti-Aging,Fall 2024,0,0.0,F24,2024,20243,94,False
Anti-Aging,Winter 2025,0,0.0,W25,2025,20250,166,False
Anti-Aging,Spring 2025,0,0.0,X25,2025,20251,143,False
Anti-Aging,Summer 2025,0,0.0,S25,2025,20252,166,False
Anti-Aging,Fall 2025,0,0.0,F25,2025,20253,146,False
Anti-Aging,Winter 2026,0,0.0,W26,2026,20260,199,False
Anti-Aging,Spring 2026,0,0.0,X26,2026,20261,195,False
Anti-Aging,Summer 2026,0,0.0,S26,2026,20262,235,False
Anti-Aging,Fall 2026,0,0.0,F26,2026,20263,35,True
Anti-Aging,Winter 2027,0,0.0,W27,2027,20270,1,True
Architecture,Winter 2021,0,0.0,W21,2021,20210,336,False
Architecture,Summer 2021,0,0.0,S21,2021,20212,391,False
Architecture,Winter 2022,1,0.251,W22,2022,20220,398,False
Architecture,Summer 2022,0,0.0,S22,2022,20222,234,False
Architecture,Winter 2023,0,0.0,W23,2023,20230,274,False
Architecture,Summer 2023,0,0.0,S23,2023,20232,220,False
Architecture,Winter 2024,1,0.403,W24,2024,20240,248,False
Architecture,Summer 2024,0,0.0,S24,2024,20242,248,False
Architecture,Fall 2024,0,0.0,F24,2024,20243,94,False
Architecture,Winter 2025,0,0.0,W25,2025,20250,166,False
Architecture,Spring 2025,0,0.0,X25,2025,20251,143,False
Architecture,Summer 2025,0,0.0,S25,2025,20252,166,False
Architecture,Fall 2025,2,1.37,F25,2025,20253,146,False
Architecture,Winter 2026,0,0.0,W26,2026,20260,199,False
Architecture,Spring 2026,0,0.0,X26,2026,20261,195,False
Architecture,Summer 2026,1,0.426,S26,2026,20262,235,False
Architecture,Fall 2026,0,0.0,F26,2026,20263,35,True
Architecture,Winter 2027,0,0.0,W27,2027,20270,1,True
Art Trading Platforms,Winter 2021,0,0.0,W21,2021,20210,336,False
Art Trading Platforms,Summer 2021,1,0.256,S21,2021,20212,391,False
Art Trading Platforms,Winter 2022,0,0.0,W22,2022,20220,398,False
Art Trading Platforms,Summer 2022,0,0.0,S22,2022,20222,234,False
Art Trading Platforms,Winter 2023,0,0.0,W23,2023,20230,274,False
Art Trading Platforms,Summer 2023,0,0.0,S23,2023,20232,220,False
Art Trading Platforms,Winter 2024,0,0.0,W24,2024,20240,248,False
Art Trading Platforms,Summer 2024,0,0.0,S24,2024,20242,248,False
Art Trading Platforms,Fall 2024,0,0.0,F24,2024,20243,94,False
Art Trading Platforms,Winter 2025,0,0.0,W25,2025,20250,166,False
Art Trading Platforms,Spring 2025,0,0.0,X25,2025,20251,143,False
Art Trading Platforms,Summer 2025,0,0.0,S25,2025,20252,166,False
Art Trading Platforms,Fall 2025,0,0.0,F25,2025,20253,146,False
Art Trading Platforms,Winter 2026,0,0.0,W26,2026,20260,199,False
Art Trading Platforms,Spring 2026,0,0.0,X26,2026,20261,195,False
Art Trading Platforms,Summer 2026,0,0.0,S26,2026,20262,235,False
Art Trading Platforms,Fall 2026,0,0.0,F26,2026,20263,35,True
Art Trading Platforms,Winter 2027,0,0.0,W27,2027,20270,1,True
Artificial Intelligence,Winter 2021,40,11.905,W21,2021,20210,336,False
Artificial Intelligence,Summer 2021,47,12.02,S21,2021,20212,391,False
Artificial Intelligence,Winter 2022,56,14.07,W22,2022,20220,398,False
Artificial Intelligence,Summer 2022,42,17.949,S22,2022,20222,234,False
Artificial Intelligence,Winter 2023,59,21.533,W23,2023,20230,274,False
Artificial Intelligence,Summer 2023,75,34.091,S23,2023,20232,220,False
Artificial Intelligence,Winter 2024,93,37.5,W24,2024,20240,248,False
Artificial Intelligence,Summer 2024,83,33.468,S24,2024,20242,248,False
Artificial Intelligence,Fall 2024,25,26.596,F24,2024,20243,94,False
Artificial Intelligence,Winter 2025,51,30.723,W25,2025,20250,166,False
Artificial Intelligence,Spring 2025,39,27.273,X25,2025,20251,143,False
Artificial Intelligence,Summer 2025,56,33.735,S25,2025,20252,166,False
Artificial Intelligence,Fall 2025,40,27.397,F25,2025,20253,146,False
Artificial Intelligence,Winter 2026,22,11.055,W26,2026,20260,199,False
Artificial Intelligence,Spring 2026,16,8.205,X26,2026,20261,195,False
Artificial Intelligence,Summer 2026,87,37.021,S26,2026,20262,235,False
Artificial Intelligence,Fall 2026,13,37.143,F26,2026,20263,35,True
Artificial Intelligence,Winter 2027,0,0.0,W27,2027,20270,1,True
Assistive Tech,Winter 2021,0,0.0,W21,2021,20210,336,False
Assistive Tech,Summer 2021,1,0.256,S21,2021,20212,391,False
Assistive Tech,Winter 2022,0,0.0,W22,2022,20220,398,False
Assistive Tech,Summer 2022,0,0.0,S22,2022,20222,234,False
Assistive Tech,Winter 2023,0,0.0,W23,2023,20230,274,False
Assistive Tech,Summer 2023,0,0.0,S23,2023,20232,220,False
Assistive Tech,Winter 2024,0,0.0,W24,2024,20240,248,False
Assistive Tech,Summer 2024,0,0.0,S24,2024,20242,248,False
Assistive Tech,Fall 2024,0,0.0,F24,2024,20243,94,False
Assistive Tech,Winter 2025,0,0.0,W25,2025,20250,166,False
Assistive Tech,Spring 2025,0,0.0,X25,2025,20251,143,False
Assistive Tech,Summer 2025,0,0.0,S25,2025,20252,166,False
Assistive Tech,Fall 2025,0,0.0,F25,2025,20253,146,False
Assistive Tech,Winter 2026,0,0.0,W26,2026,20260,199,False
Assistive Tech,Spring 2026,0,0.0,X26,2026,20261,195,False
Assistive Tech,Summer 2026,0,0.0,S26,2026,20262,235,False
Assistive Tech,Fall 2026,0,0.0,F26,2026,20263,35,True
Assistive Tech,Winter 2027,0,0.0,W27,2027,20270,1,True
Augmented Reality,Winter 2021,1,0.298,W21,2021,20210,336,False
Augmented Reality,Summer 2021,1,0.256,S21,2021,20212,391,False
Augmented Reality,Winter 2022,0,0.0,W22,2022,20220,398,False
Augmented Reality,Summer 2022,1,0.427,S22,2022,20222,234,False
Augmented Reality,Winter 2023,0,0.0,W23,2023,20230,274,False
Augmented Reality,Summer 2023,0,0.0,S23,2023,20232,220,False
Augmented Reality,Winter 2024,0,0.0,W24,2024,20240,248,False
Augmented Reality,Summer 2024,1,0.403,S24,2024,20242,248,False
Augmented Reality,Fall 2024,0,0.0,F24,2024,20243,94,False
Augmented Reality,Winter 2025,1,0.602,W25,2025,20250,166,False
Augmented Reality,Spring 2025,0,0.0,X25,2025,20251,143,False
Augmented Reality,Summer 2025,0,0.0,S25,2025,20252,166,False
Augmented Reality,Fall 2025,0,0.0,F25,2025,20253,146,False
Augmented Reality,Winter 2026,0,0.0,W26,2026,20260,199,False
Augmented Reality,Spring 2026,0,0.0,X26,2026,20261,195,False
Augmented Reality,Summer 2026,0,0.0,S26,2026,20262,235,False
Augmented Reality,Fall 2026,0,0.0,F26,2026,20263,35,True
Augmented Reality,Winter 2027,0,0.0,W27,2027,20270,1,True
Auto Commerce,Winter 2021,0,0.0,W21,2021,20210,336,False
Auto Commerce,Summer 2021,1,0.256,S21,2021,20212,391,False
Auto Commerce,Winter 2022,0,0.0,W22,2022,20220,398,False
Auto Commerce,Summer 2022,1,0.427,S22,2022,20222,234,False
Auto Commerce,Winter 2023,0,0.0,W23,2023,20230,274,False
Auto Commerce,Summer 2023,0,0.0,S23,2023,20232,220,False
Auto Commerce,Winter 2024,0,0.0,W24,2024,20240,248,False
Auto Commerce,Summer 2024,0,0.0,S24,2024,20242,248,False
Auto Commerce,Fall 2024,0,0.0,F24,2024,20243,94,False
Auto Commerce,Winter 2025,0,0.0,W25,2025,20250,166,False
Auto Commerce,Spring 2025,0,0.0,X25,2025,20251,143,False
