subindustry,batch,count,share_pct,batch_code,year,batch_order,total_companies,is_partial_batch
B2B -> Infrastructure,Summer 2024,11,4.435,S24,2024,20242,248,False
B2B -> Infrastructure,Fall 2024,6,6.383,F24,2024,20243,94,False
B2B -> Infrastructure,Winter 2025,8,4.819,W25,2025,20250,166,False
B2B -> Infrastructure,Spring 2025,9,6.294,X25,2025,20251,143,False
B2B -> Infrastructure,Summer 2025,14,8.434,S25,2025,20252,166,False
B2B -> Infrastructure,Fall 2025,7,4.795,F25,2025,20253,146,False
B2B -> Infrastructure,Winter 2026,23,11.558,W26,2026,20260,199,False
B2B -> Infrastructure,Spring 2026,18,9.231,X26,2026,20261,195,False
B2B -> Infrastructure,Summer 2026,25,10.638,S26,2026,20262,235,False
B2B -> Infrastructure,Fall 2026,4,11.429,F26,2026,20263,35,True
B2B -> Infrastructure,Winter 2027,0,0.0,W27,2027,20270,1,True
B2B -> Legal,Winter 2021,2,0.595,W21,2021,20210,336,False
B2B -> Legal,Summer 2021,2,0.512,S21,2021,20212,391,False
B2B -> Legal,Winter 2022,2,0.503,W22,2022,20220,398,False
B2B -> Legal,Summer 2022,1,0.427,S22,2022,20222,234,False
B2B -> Legal,Winter 2023,3,1.095,W23,2023,20230,274,False
B2B -> Legal,Summer 2023,5,2.273,S23,2023,20232,220,False
B2B -> Legal,Winter 2024,3,1.21,W24,2024,20240,248,False
B2B -> Legal,Summer 2024,5,2.016,S24,2024,20242,248,False
B2B -> Legal,Fall 2024,2,2.128,F24,2024,20243,94,False
B2B -> Legal,Winter 2025,4,2.41,W25,2025,20250,166,False
B2B -> Legal,Spring 2025,4,2.797,X25,2025,20251,143,False
B2B -> Legal,Summer 2025,2,1.205,S25,2025,20252,166,False
B2B -> Legal,Fall 2025,2,1.37,F25,2025,20253,146,False
B2B -> Legal,Winter 2026,6,3.015,W26,2026,20260,199,False
B2B -> Legal,Spring 2026,2,1.026,X26,2026,20261,195,False
B2B -> Legal,Summer 2026,1,0.426,S26,2026,20262,235,False
B2B -> Legal,Fall 2026,1,2.857,F26,2026,20263,35,True
B2B -> Legal,Winter 2027,0,0.0,W27,2027,20270,1,True
B2B -> Marketing,Winter 2021,8,2.381,W21,2021,20210,336,False
B2B -> Marketing,Summer 2021,12,3.069,S21,2021,20212,391,False
B2B -> Marketing,Winter 2022,13,3.266,W22,2022,20220,398,False
B2B -> Marketing,Summer 2022,7,2.991,S22,2022,20222,234,False
B2B -> Marketing,Winter 2023,5,1.825,W23,2023,20230,274,False
B2B -> Marketing,Summer 2023,4,1.818,S23,2023,20232,220,False
B2B -> Marketing,Winter 2024,3,1.21,W24,2024,20240,248,False
B2B -> Marketing,Summer 2024,4,1.613,S24,2024,20242,248,False
B2B -> Marketing,Fall 2024,2,2.128,F24,2024,20243,94,False
B2B -> Marketing,Winter 2025,1,0.602,W25,2025,20250,166,False
B2B -> Marketing,Spring 2025,1,0.699,X25,2025,20251,143,False
B2B -> Marketing,Summer 2025,3,1.807,S25,2025,20252,166,False
B2B -> Marketing,Fall 2025,7,4.795,F25,2025,20253,146,False
B2B -> Marketing,Winter 2026,1,0.503,W26,2026,20260,199,False
B2B -> Marketing,Spring 2026,8,4.103,X26,2026,20261,195,False
B2B -> Marketing,Summer 2026,1,0.426,S26,2026,20262,235,False
B2B -> Marketing,Fall 2026,0,0.0,F26,2026,20263,35,True
B2B -> Marketing,Winter 2027,0,0.0,W27,2027,20270,1,True
B2B -> Office Management,Winter 2021,0,0.0,W21,2021,20210,336,False
B2B -> Office Management,Summer 2021,1,0.256,S21,2021,20212,391,False
B2B -> Office Management,Winter 2022,0,0.0,W22,2022,20220,398,False
B2B -> Office Management,Summer 2022,0,0.0,S22,2022,20222,234,False
B2B -> Office Management,Winter 2023,1,0.365,W23,2023,20230,274,False
B2B -> Office Management,Summer 2023,0,0.0,S23,2023,20232,220,False
B2B -> Office Management,Winter 2024,0,0.0,W24,2024,20240,248,False
B2B -> Office Management,Summer 2024,1,0.403,S24,2024,20242,248,False
B2B -> Office Management,Fall 2024,0,0.0,F24,2024,20243,94,False
B2B -> Office Management,Winter 2025,0,0.0,W25,2025,20250,166,False
B2B -> Office Management,Spring 2025,0,0.0,X25,2025,20251,143,False
B2B -> Office Management,Summer 2025,0,0.0,S25,2025,20252,166,False
B2B -> Office Management,Fall 2025,0,0.0,F25,2025,20253,146,False
B2B -> Office Management,Winter 2026,0,0.0,W26,2026,20260,199,False
B2B -> Office Management,Spring 2026,0,0.0,X26,2026,20261,195,False
B2B -> Office Management,Summer 2026,0,0.0,S26,2026,20262,235,False
B2B -> Office Management,Fall 2026,0,0.0,F26,2026,20263,35,True
B2B -> Office Management,Winter 2027,0,0.0,W27,2027,20270,1,True
B2B -> Operations,Winter 2021,19,5.655,W21,2021,20210,336,False
B2B -> Operations,Summer 2021,3,0.767,S21,2021,20212,391,False
B2B -> Operations,Winter 2022,9,2.261,W22,2022,20220,398,False
B2B -> Operations,Summer 2022,6,2.564,S22,2022,20222,234,False
B2B -> Operations,Winter 2023,14,5.109,W23,2023,20230,274,False
B2B -> Operations,Summer 2023,6,2.727,S23,2023,20232,220,False
B2B -> Operations,Winter 2024,9,3.629,W24,2024,20240,248,False
B2B -> Operations,Summer 2024,9,3.629,S24,2024,20242,248,False
B2B -> Operations,Fall 2024,4,4.255,F24,2024,20243,94,False
B2B -> Operations,Winter 2025,3,1.807,W25,2025,20250,166,False
B2B -> Operations,Spring 2025,2,1.399,X25,2025,20251,143,False
B2B -> Operations,Summer 2025,3,1.807,S25,2025,20252,166,False
B2B -> Operations,Fall 2025,3,2.055,F25,2025,20253,146,False
B2B -> Operations,Winter 2026,6,3.015,W26,2026,20260,199,False
B2B -> Operations,Spring 2026,8,4.103,X26,2026,20261,195,False
B2B -> Operations,Summer 2026,6,2.553,S26,2026,20262,235,False
B2B -> Operations,Fall 2026,0,0.0,F26,2026,20263,35,True
B2B -> Operations,Winter 2027,1,100.0,W27,2027,20270,1,True
B2B -> Productivity,Winter 2021,12,3.571,W21,2021,20210,336,False
B2B -> Productivity,Summer 2021,9,2.302,S21,2021,20212,391,False
B2B -> Productivity,Winter 2022,11,2.764,W22,2022,20220,398,False
B2B -> Productivity,Summer 2022,10,4.274,S22,2022,20222,234,False
B2B -> Productivity,Winter 2023,5,1.825,W23,2023,20230,274,False
B2B -> Productivity,Summer 2023,10,4.545,S23,2023,20232,220,False
B2B -> Productivity,Winter 2024,7,2.823,W24,2024,20240,248,False
B2B -> Productivity,Summer 2024,10,4.032,S24,2024,20242,248,False
B2B -> Productivity,Fall 2024,3,3.191,F24,2024,20243,94,False
B2B -> Productivity,Winter 2025,7,4.217,W25,2025,20250,166,False
B2B -> Productivity,Spring 2025,4,2.797,X25,2025,20251,143,False
B2B -> Productivity,Summer 2025,7,4.217,S25,2025,20252,166,False
B2B -> Productivity,Fall 2025,2,1.37,F25,2025,20253,146,False
B2B -> Productivity,Winter 2026,6,3.015,W26,2026,20260,199,False
B2B -> Productivity,Spring 2026,8,4.103,X26,2026,20261,195,False
B2B -> Productivity,Summer 2026,4,1.702,S26,2026,20262,235,False
B2B -> Productivity,Fall 2026,1,2.857,F26,2026,20263,35,True
B2B -> Productivity,Winter 2027,0,0.0,W27,2027,20270,1,True
B2B -> Recruiting and Talent,Winter 2021,6,1.786,W21,2021,20210,336,False
B2B -> Recruiting and Talent,Summer 2021,2,0.512,S21,2021,20212,391,False
B2B -> Recruiting and Talent,Winter 2022,2,0.503,W22,2022,20220,398,False
B2B -> Recruiting and Talent,Summer 2022,2,0.855,S22,2022,20222,234,False
B2B -> Recruiting and Talent,Winter 2023,0,0.0,W23,2023,20230,274,False
B2B -> Recruiting and Talent,Summer 2023,2,0.909,S23,2023,20232,220,False
B2B -> Recruiting and Talent,Winter 2024,1,0.403,W24,2024,20240,248,False
B2B -> Recruiting and Talent,Summer 2024,0,0.0,S24,2024,20242,248,False
B2B -> Recruiting and Talent,Fall 2024,1,1.064,F24,2024,20243,94,False
B2B -> Recruiting and Talent,Winter 2025,5,3.012,W25,2025,20250,166,False
B2B -> Recruiting and Talent,Spring 2025,0,0.0,X25,2025,20251,143,False
B2B -> Recruiting and Talent,Summer 2025,0,0.0,S25,2025,20252,166,False
B2B -> Recruiting and Talent,Fall 2025,0,0.0,F25,2025,20253,146,False
B2B -> Recruiting and Talent,Winter 2026,1,0.503,W26,2026,20260,199,False
B2B -> Recruiting and Talent,Spring 2026,3,1.538,X26,2026,20261,195,False
B2B -> Recruiting and Talent,Summer 2026,1,0.426,S26,2026,20262,235,False
B2B -> Recruiting and Talent,Fall 2026,0,0.0,F26,2026,20263,35,True
B2B -> Recruiting and Talent,Winter 2027,0,0.0,W27,2027,20270,1,True
B2B -> Retail,Winter 2021,9,2.679,W21,2021,20210,336,False
B2B -> Retail,Summer 2021,5,1.279,S21,2021,20212,391,False
B2B -> Retail,Winter 2022,5,1.256,W22,2022,20220,398,False
B2B -> Retail,Summer 2022,1,0.427,S22,2022,20222,234,False
B2B -> Retail,Winter 2023,3,1.095,W23,2023,20230,274,False
B2B -> Retail,Summer 2023,5,2.273,S23,2023,20232,220,False
B2B -> Retail,Winter 2024,1,0.403,W24,2024,20240,248,False
B2B -> Retail,Summer 2024,5,2.016,S24,2024,20242,248,False
B2B -> Retail,Fall 2024,1,1.064,F24,2024,20243,94,False
B2B -> Retail,Winter 2025,0,0.0,W25,2025,20250,166,False
B2B -> Retail,Spring 2025,2,1.399,X25,2025,20251,143,False
B2B -> Retail,Summer 2025,1,0.602,S25,2025,20252,166,False
B2B -> Retail,Fall 2025,1,0.685,F25,2025,20253,146,False
B2B -> Retail,Winter 2026,0,0.0,W26,2026,20260,199,False
B2B -> Retail,Spring 2026,1,0.513,X26,2026,20261,195,False
B2B -> Retail,Summer 2026,1,0.426,S26,2026,20262,235,False
B2B -> Retail,Fall 2026,0,0.0,F26,2026,20263,35,True
B2B -> Retail,Winter 2027,0,0.0,W27,2027,20270,1,True
B2B -> Sales,Winter 2021,5,1.488,W21,2021,20210,336,False
B2B -> Sales,Summer 2021,8,2.046,S21,2021,20212,391,False
B2B -> Sales,Winter 2022,8,2.01,W22,2022,20220,398,False
B2B -> Sales,Summer 2022,11,4.701,S22,2022,20222,234,False
B2B -> Sales,Winter 2023,11,4.015,W23,2023,20230,274,False
B2B -> Sales,Summer 2023,11,5.0,S23,2023,20232,220,False
B2B -> Sales,Winter 2024,8,3.226,W24,2024,20240,248,False
B2B -> Sales,Summer 2024,3,1.21,S24,2024,20242,248,False
B2B -> Sales,Fall 2024,4,4.255,F24,2024,20243,94,False
B2B -> Sales,Winter 2025,5,3.012,W25,2025,20250,166,False
B2B -> Sales,Spring 2025,2,1.399,X25,2025,20251,143,False
B2B -> Sales,Summer 2025,5,3.012,S25,2025,20252,166,False
B2B -> Sales,Fall 2025,4,2.74,F25,2025,20253,146,False
B2B -> Sales,Winter 2026,2,1.005,W26,2026,20260,199,False
B2B -> Sales,Spring 2026,2,1.026,X26,2026,20261,195,False
B2B -> Sales,Summer 2026,2,0.851,S26,2026,20262,235,False
B2B -> Sales,Fall 2026,0,0.0,F26,2026,20263,35,True
B2B -> Sales,Winter 2027,0,0.0,W27,2027,20270,1,True
B2B -> Security,Winter 2021,4,1.19,W21,2021,20210,336,False
B2B -> Security,Summer 2021,9,2.302,S21,2021,20212,391,False
B2B -> Security,Winter 2022,10,2.513,W22,2022,20220,398,False
B2B -> Security,Summer 2022,2,0.855,S22,2022,20222,234,False
B2B -> Security,Winter 2023,8,2.92,W23,2023,20230,274,False
B2B -> Security,Summer 2023,6,2.727,S23,2023,20232,220,False
B2B -> Security,Winter 2024,5,2.016,W24,2024,20240,248,False
B2B -> Security,Summer 2024,4,1.613,S24,2024,20242,248,False
B2B -> Security,Fall 2024,1,1.064,F24,2024,20243,94,False
B2B -> Security,Winter 2025,2,1.205,W25,2025,20250,166,False
B2B -> Security,Spring 2025,8,5.594,X25,2025,20251,143,False
B2B -> Security,Summer 2025,3,1.807,S25,2025,20252,166,False
B2B -> Security,Fall 2025,3,2.055,F25,2025,20253,146,False
B2B -> Security,Winter 2026,6,3.015,W26,2026,20260,199,False
B2B -> Security,Spring 2026,3,1.538,X26,2026,20261,195,False
B2B -> Security,Summer 2026,7,2.979,S26,2026,20262,235,False
B2B -> Security,Fall 2026,0,0.0,F26,2026,20263,35,True
B2B -> Security,Winter 2027,0,0.0,W27,2027,20270,1,True
B2B -> Supply Chain and Logistics,Winter 2021,10,2.976,W21,2021,20210,336,False
B2B -> Supply Chain and Logistics,Summer 2021,9,2.302,S21,2021,20212,391,False
B2B -> Supply Chain and Logistics,Winter 2022,12,3.015,W22,2022,20220,398,False
B2B -> Supply Chain and Logistics,Summer 2022,3,1.282,S22,2022,20222,234,False
B2B -> Supply Chain and Logistics,Winter 2023,5,1.825,W23,2023,20230,274,False
B2B -> Supply Chain and Logistics,Summer 2023,7,3.182,S23,2023,20232,220,False
B2B -> Supply Chain and Logistics,Winter 2024,6,2.419,W24,2024,20240,248,False
B2B -> Supply Chain and Logistics,Summer 2024,8,3.226,S24,2024,20242,248,False
B2B -> Supply Chain and Logistics,Fall 2024,1,1.064,F24,2024,20243,94,False
B2B -> Supply Chain and Logistics,Winter 2025,1,0.602,W25,2025,20250,166,False
B2B -> Supply Chain and Logistics,Spring 2025,4,2.797,X25,2025,20251,143,False
B2B -> Supply Chain and Logistics,Summer 2025,6,3.614,S25,2025,20252,166,False
B2B -> Supply Chain and Logistics,Fall 2025,1,0.685,F25,2025,20253,146,False
B2B -> Supply Chain and Logistics,Winter 2026,3,1.508,W26,2026,20260,199,False
B2B -> Supply Chain and Logistics,Spring 2026,3,1.538,X26,2026,20261,195,False
B2B -> Supply Chain and Logistics,Summer 2026,8,3.404,S26,2026,20262,235,False
B2B -> Supply Chain and Logistics,Fall 2026,0,0.0,F26,2026,20263,35,True
B2B -> Supply Chain and Logistics,Winter 2027,0,0.0,W27,2027,20270,1,True
Consumer,Winter 2021,7,2.083,W21,2021,20210,336,False
Consumer,Summer 2021,18,4.604,S21,2021,20212,391,False
Consumer,Winter 2022,15,3.769,W22,2022,20220,398,False
Consumer,Summer 2022,8,3.419,S22,2022,20222,234,False
Consumer,Winter 2023,12,4.38,W23,2023,20230,274,False
Consumer,Summer 2023,5,2.273,S23,2023,20232,220,False
Consumer,Winter 2024,16,6.452,W24,2024,20240,248,False
Consumer,Summer 2024,11,4.435,S24,2024,20242,248,False
Consumer,Fall 2024,7,7.447,F24,2024,20243,94,False
Consumer,Winter 2025,5,3.012,W25,2025,20250,166,False
Consumer,Spring 2025,5,3.497,X25,2025,20251,143,False
Consumer,Summer 2025,9,5.422,S25,2025,20252,166,False
Consumer,Fall 2025,10,6.849,F25,2025,20253,146,False
Consumer,Winter 2026,3,1.508,W26,2026,20260,199,False
Consumer,Spring 2026,7,3.59,X26,2026,20261,195,False
Consumer,Summer 2026,6,2.553,S26,2026,20262,235,False
Consumer,Fall 2026,1,2.857,F26,2026,20263,35,True
Consumer,Winter 2027,0,0.0,W27,2027,20270,1,True
Consumer -> Apparel and Cosmetics,Winter 2021,3,0.893,W21,2021,20210,336,False
Consumer -> Apparel and Cosmetics,Summer 2021,1,0.256,S21,2021,20212,391,False
Consumer -> Apparel and Cosmetics,Winter 2022,1,0.251,W22,2022,20220,398,False
Consumer -> Apparel and Cosmetics,Summer 2022,2,0.855,S22,2022,20222,234,False
Consumer -> Apparel and Cosmetics,Winter 2023,1,0.365,W23,2023,20230,274,False
Consumer -> Apparel and Cosmetics,Summer 2023,0,0.0,S23,2023,20232,220,False
Consumer -> Apparel and Cosmetics,Winter 2024,0,0.0,W24,2024,20240,248,False
Consumer -> Apparel and Cosmetics,Summer 2024,0,0.0,S24,2024,20242,248,False
Consumer -> Apparel and Cosmetics,Fall 2024,0,0.0,F24,2024,20243,94,False
Consumer -> Apparel and Cosmetics,Winter 2025,1,0.602,W25,2025,20250,166,False
Consumer -> Apparel and Cosmetics,Spring 2025,0,0.0,X25,2025,20251,143,False
Consumer -> Apparel and Cosmetics,Summer 2025,0,0.0,S25,2025,20252,166,False
Consumer -> Apparel and Cosmetics,Fall 2025,0,0.0,F25,2025,20253,146,False
Consumer -> Apparel and Cosmetics,Winter 2026,0,0.0,W26,2026,20260,199,False
Consumer -> Apparel and Cosmetics,Spring 2026,0,0.0,X26,2026,20261,195,False
Consumer -> Apparel and Cosmetics,Summer 2026,0,0.0,S26,2026,20262,235,False
Consumer -> Apparel and Cosmetics,Fall 2026,0,0.0,F26,2026,20263,35,True
Consumer -> Apparel and Cosmetics,Winter 2027,0,0.0,W27,2027,20270,1,True
Consumer -> Consumer Electronics,Winter 2021,1,0.298,W21,2021,20210,336,False
Consumer -> Consumer Electronics,Summer 2021,0,0.0,S21,2021,20212,391,False
Consumer -> Consumer Electronics,Winter 2022,2,0.503,W22,2022,20220,398,False
Consumer -> Consumer Electronics,Summer 2022,0,0.0,S22,2022,20222,234,False
Consumer -> Consumer Electronics,Winter 2023,0,0.0,W23,2023,20230,274,False
Consumer -> Consumer Electronics,Summer 2023,0,0.0,S23,2023,20232,220,False
Consumer -> Consumer Electronics,Winter 2024,2,0.806,W24,2024,20240,248,False
Consumer -> Consumer Electronics,Summer 2024,0,0.0,S24,2024,20242,248,False
Consumer -> Consumer Electronics,Fall 2024,1,1.064,F24,2024,20243,94,False
Consumer -> Consumer Electronics,Winter 2025,1,0.602,W25,2025,20250,166,False
Consumer -> Consumer Electronics,Spring 2025,1,0.699,X25,2025,20251,143,False
Consumer -> Consumer Electronics,Summer 2025,0,0.0,S25,2025,20252,166,False
Consumer -> Consumer Electronics,Fall 2025,1,0.685,F25,2025,20253,146,False
Consumer -> Consumer Electronics,Winter 2026,2,1.005,W26,2026,20260,199,False
Consumer -> Consumer Electronics,Spring 2026,2,1.026,X26,2026,20261,195,False
Consumer -> Consumer Electronics,Summer 2026,0,0.0,S26,2026,20262,235,False
Consumer -> Consumer Electronics,Fall 2026,2,5.714,F26,2026,20263,35,True
Consumer -> Consumer Electronics,Winter 2027,0,0.0,W27,2027,20270,1,True
Consumer -> Content,Winter 2021,4,1.19,W21,2021,20210,336,False
Consumer -> Content,Summer 2021,3,0.767,S21,2021,20212,391,False
Consumer -> Content,Winter 2022,8,2.01,W22,2022,20220,398,False
Consumer -> Content,Summer 2022,1,0.427,S22,2022,20222,234,False
Consumer -> Content,Winter 2023,4,1.46,W23,2023,20230,274,False
Consumer -> Content,Summer 2023,1,0.455,S23,2023,20232,220,False
Consumer -> Content,Winter 2024,7,2.823,W24,2024,20240,248,False
Consumer -> Content,Summer 2024,3,1.21,S24,2024,20242,248,False
Consumer -> Content,Fall 2024,1,1.064,F24,2024,20243,94,False
Consumer -> Content,Winter 2025,1,0.602,W25,2025,20250,166,False
Consumer -> Content,Spring 2025,0,0.0,X25,2025,20251,143,False
Consumer -> Content,Summer 2025,2,1.205,S25,2025,20252,166,False
Consumer -> Content,Fall 2025,3,2.055,F25,2025,20253,146,False
Consumer -> Content,Winter 2026,0,0.0,W26,2026,20260,199,False
Consumer -> Content,Spring 2026,1,0.513,X26,2026,20261,195,False
Consumer -> Content,Summer 2026,2,0.851,S26,2026,20262,235,False
Consumer -> Content,Fall 2026,0,0.0,F26,2026,20263,35,True
Consumer -> Content,Winter 2027,0,0.0,W27,2027,20270,1,True
Consumer -> Food and Beverage,Winter 2021,9,2.679,W21,2021,20210,336,False
Consumer -> Food and Beverage,Summer 2021,10,2.558,S21,2021,20212,391,False
Consumer -> Food and Beverage,Winter 2022,5,1.256,W22,2022,20220,398,False
Consumer -> Food and Beverage,Summer 2022,5,2.137,S22,2022,20222,234,False
Consumer -> Food and Beverage,Winter 2023,1,0.365,W23,2023,20230,274,False
Consumer -> Food and Beverage,Summer 2023,1,0.455,S23,2023,20232,220,False
Consumer -> Food and Beverage,Winter 2024,0,0.0,W24,2024,20240,248,False
Consumer -> Food and Beverage,Summer 2024,0,0.0,S24,2024,20242,248,False
Consumer -> Food and Beverage,Fall 2024,0,0.0,F24,2024,20243,94,False
Consumer -> Food and Beverage,Winter 2025,0,0.0,W25,2025,20250,166,False
Consumer -> Food and Beverage,Spring 2025,0,0.0,X25,2025,20251,143,False
Consumer -> Food and Beverage,Summer 2025,0,0.0,S25,2025,20252,166,False
Consumer -> Food and Beverage,Fall 2025,0,0.0,F25,2025,20253,146,False
Consumer -> Food and Beverage,Winter 2026,0,0.0,W26,2026,20260,199,False
