tag,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
Design,0.305,0.262,0.257,0.0,0.0,1.604,0.488,0.0,2.703,2.344,0.909,1.709,3.39,0.0,0.0,0.862,0.0,0.0
Design Tools,2.134,0.524,0.771,0.0,1.674,1.07,0.976,0.495,4.054,0.781,0.909,0.855,1.695,0.0,0.0,0.431,0.0,0.0
DevOps,0.0,0.785,0.514,0.0,2.092,1.604,0.488,1.485,4.054,0.781,0.909,1.709,1.695,0.0,0.0,0.862,5.882,0.0
DevSecOps,0.61,0.262,0.771,0.893,0.837,0.535,0.0,0.0,0.0,0.0,0.909,0.855,0.0,0.0,2.0,0.0,0.0,0.0
Developer Tools,10.366,8.639,8.74,10.714,20.502,17.112,15.122,15.842,24.324,12.5,18.182,19.658,11.864,10.417,16.0,9.914,17.647,0.0
Diagnostics,0.61,0.785,0.514,0.893,0.418,0.535,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Digital Freight Brokerage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Digital Health,3.049,2.88,3.599,2.679,1.674,3.209,3.902,0.99,4.054,3.125,0.909,0.0,3.39,2.083,2.0,0.862,0.0,0.0
Documents,0.915,0.262,0.257,1.339,1.674,0.535,1.463,0.0,1.351,1.562,1.818,0.0,0.0,0.0,0.0,0.0,2.941,0.0
Drones,0.0,0.524,0.257,0.446,0.418,0.0,0.488,0.495,0.0,0.0,0.0,0.855,0.847,4.167,2.0,2.155,2.941,0.0
Drug Delivery,0.0,0.0,0.0,0.446,0.0,0.535,0.0,0.0,0.0,0.0,0.0,0.855,0.0,0.0,0.0,0.0,0.0,0.0
Drug discovery,0.915,0.524,1.028,0.446,1.255,0.0,1.463,1.485,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.431,0.0,0.0
E-Commerce,0.305,0.262,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E-commerce,5.793,6.545,6.427,3.125,3.347,1.07,0.976,3.465,2.703,1.562,0.0,1.709,2.542,0.0,4.0,0.862,0.0,0.0
Edge Computing Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495,0.0,0.0,0.0,0.855,0.0,0.0,0.0,0.431,0.0,0.0
Edtech,1.22,0.0,0.257,0.0,0.418,1.07,0.488,0.99,0.0,1.562,0.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Education,4.268,4.712,2.057,1.339,0.837,2.139,1.463,1.485,1.351,3.906,2.727,3.419,0.847,0.0,0.0,0.862,0.0,0.0
Electric Vehicles,1.22,0.262,1.028,0.0,0.837,0.0,0.0,0.0,0.0,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electronics,0.0,0.0,0.257,0.0,0.0,0.0,0.488,0.495,0.0,3.125,0.909,0.0,0.0,0.0,0.0,0.431,2.941,0.0
Email,0.61,0.262,0.514,0.0,0.0,0.0,0.488,0.99,1.351,0.781,0.0,1.709,0.0,0.0,0.0,0.0,0.0,0.0
Emerging Markets,0.305,0.0,0.0,0.0,0.418,0.0,0.488,0.495,0.0,0.781,0.0,0.0,0.0,2.083,0.0,0.0,0.0,0.0
Energy,1.524,0.524,1.028,1.786,0.418,2.139,0.488,1.485,1.351,2.344,0.909,0.0,0.0,2.083,0.0,3.879,2.941,0.0
Energy Storage,0.61,0.0,0.514,0.0,0.418,0.0,0.976,0.0,0.0,0.0,0.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enterprise,1.22,1.047,2.314,4.911,6.276,3.743,3.415,1.98,4.054,3.125,1.818,1.709,1.695,2.083,4.0,2.586,0.0,0.0
Enterprise Software,1.22,1.047,2.571,2.232,3.347,6.417,3.902,4.95,6.757,2.344,6.364,7.692,2.542,10.417,10.0,6.034,0.0,0.0
Entertainment,0.305,0.524,1.799,0.446,0.837,1.07,1.951,0.99,0.0,0.781,0.0,0.0,1.695,0.0,0.0,0.862,0.0,0.0
Exascale Computing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Fashion,0.0,0.0,0.257,0.0,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feedback,0.305,0.0,0.0,0.0,0.0,0.0,0.488,1.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Femtech,0.305,0.0,0.257,0.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FinOps,0.915,1.571,0.771,0.893,1.674,0.535,0.0,0.99,0.0,2.344,0.0,0.0,0.847,2.083,0.0,0.0,0.0,0.0
Finance,0.915,1.309,1.285,1.339,5.021,2.674,2.439,5.446,4.054,3.125,0.909,1.709,4.237,4.167,2.0,4.741,2.941,0.0
Fintech,17.683,21.204,23.65,23.661,14.226,11.765,8.293,11.386,2.703,8.594,4.545,5.128,3.39,8.333,8.0,6.034,5.882,0.0
Fitness,0.61,0.785,0.0,0.0,0.837,0.0,0.976,0.0,1.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food,0.61,0.262,0.257,0.0,0.0,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food & Beverage,0.61,0.262,0.0,0.0,0.418,1.07,0.976,0.0,0.0,0.0,0.0,0.855,0.0,0.0,0.0,0.0,2.941,0.0
Food Service Robots & Machines,0.305,0.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Tech,1.22,0.785,1.799,1.786,0.837,0.0,0.488,0.0,0.0,0.0,0.0,0.855,0.0,0.0,0.0,0.0,0.0,0.0
Fraud Detection,0.0,0.262,0.0,0.893,0.837,0.0,0.488,0.0,0.0,0.0,0.0,0.0,0.0,2.083,0.0,0.0,0.0,0.0
Fraud Prevention,0.0,0.0,0.0,0.446,0.0,0.535,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fundraising,0.0,0.0,0.0,0.0,0.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fusion Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.781,0.0,0.0,0.847,0.0,0.0,0.0,0.0,0.0
Gaming,1.524,0.524,2.314,2.232,0.837,1.07,0.488,1.485,0.0,0.0,0.909,0.0,1.695,0.0,4.0,1.724,0.0,0.0
Gardening,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gene Therapy,0.305,0.0,0.514,0.0,0.418,0.0,0.488,0.495,0.0,0.781,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Generative AI,1.524,3.665,3.342,9.821,20.502,15.508,9.268,12.376,8.108,12.5,3.636,3.419,7.627,4.167,0.0,4.31,0.0,0.0
Genetic Engineering,0.0,0.0,0.0,0.0,0.0,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.847,0.0,2.0,0.0,0.0,0.0
Genomics,0.0,0.785,0.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.431,0.0,0.0
Geographic Information System,0.0,0.524,0.0,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855,0.0,0.0,0.0,0.431,0.0,0.0
Ghost Kitchens,0.61,1.047,0.0,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GovTech,0.61,1.047,0.771,0.893,0.0,1.07,0.976,1.485,0.0,3.906,0.909,0.855,1.695,0.0,2.0,1.724,2.941,0.0
GraphQL,0.0,0.0,0.0,0.0,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grocery,1.22,1.309,0.257,0.446,0.418,1.07,0.0,0.0,0.0,0.0,0.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR Tech,1.524,1.832,1.799,1.786,1.674,2.139,0.976,1.485,1.351,2.344,0.0,0.0,0.847,0.0,2.0,0.431,2.941,0.0
Hard Tech,3.354,2.356,2.828,0.893,0.837,1.07,0.976,5.446,1.351,3.906,5.455,1.709,3.39,6.25,8.0,10.776,11.765,0.0
Hardware,1.829,1.571,2.571,0.893,0.418,1.07,0.488,3.96,0.0,6.25,5.455,5.128,4.237,6.25,6.0,8.621,8.824,0.0
Health & Wellness,0.61,2.618,0.514,0.0,0.0,1.604,0.976,0.0,0.0,1.562,0.909,0.0,2.542,0.0,2.0,1.724,2.941,0.0
Health Insurance,0.305,0.785,0.0,0.0,0.837,2.674,0.488,0.495,0.0,0.781,0.0,0.0,1.695,0.0,0.0,0.862,0.0,0.0
Health Tech,2.439,2.356,3.085,3.571,4.184,6.417,2.927,2.97,5.405,5.469,2.727,0.0,5.932,0.0,0.0,2.155,0.0,0.0
Healthcare,3.354,3.665,4.884,3.571,5.439,10.695,6.341,4.455,6.757,4.688,5.455,0.855,4.237,2.083,2.0,4.741,0.0,0.0
Healthcare IT,1.22,0.262,0.514,0.893,0.418,4.813,0.488,0.495,2.703,1.562,0.909,1.709,1.695,0.0,2.0,0.862,0.0,0.0
Home Automation,0.0,0.0,0.0,0.0,0.0,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.0,0.0,0.0
Home Services,0.305,0.0,0.257,0.0,0.418,0.535,0.976,0.495,0.0,0.781,0.909,0.0,0.847,0.0,2.0,1.293,0.0,0.0
Housing,0.61,0.262,0.0,0.446,0.0,0.0,0.0,0.495,0.0,0.781,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Human Resources,0.915,0.262,0.514,0.893,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.941,0.0
Hydrogen Energy,0.0,0.0,0.514,0.0,0.418,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Identity,0.61,0.262,0.771,1.786,0.0,0.0,0.488,0.0,0.0,0.0,0.0,0.0,0.0,2.083,0.0,0.0,0.0,0.0
Immigration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495,0.0,0.781,0.0,0.0,0.847,0.0,0.0,0.0,0.0,0.0
Income Share Agreements,0.305,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,0.915,0.0,1.028,0.0,0.0,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.262,0.257,0.0,0.0,0.0,0.976,2.475,0.0,2.344,3.636,2.564,2.542,0.0,0.0,3.879,0.0,0.0
Industrial Workplace Safety,0.0,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Infrastructure,2.134,0.785,1.542,1.339,2.51,6.417,3.415,5.446,6.757,4.688,8.182,8.547,5.932,14.583,6.0,8.19,17.647,0.0
Insurance,1.524,0.785,2.571,2.232,1.255,1.07,2.439,2.475,1.351,2.344,1.818,1.709,0.0,2.083,4.0,2.586,5.882,100.0
International,0.0,0.262,0.0,0.0,0.0,0.0,0.488,0.495,1.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing,0.305,1.309,1.542,0.893,2.092,0.535,1.463,1.485,1.351,0.781,0.909,1.709,0.847,0.0,2.0,3.448,0.0,0.0
Investments,0.0,0.262,0.514,0.0,0.418,0.0,0.488,0.0,0.0,0.0,0.0,0.0,0.847,0.0,2.0,0.0,0.0,0.0
IoT,0.915,0.262,0.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.941,0.0
IoT Security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855,0.0,0.0,0.0,0.0,0.0,0.0
Kids,0.305,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kubernetes,0.305,0.0,0.514,0.446,0.418,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
