tag,2021,2022,2023,2024,2025,2026,2027
Exascale Computing,0,0,0,0,0,1,0
Fashion,0,1,1,0,0,0,0
Feedback,1,0,0,4,0,0,0
Femtech,1,3,0,0,0,0,0
FinOps,9,5,5,2,4,1,0
Finance,8,8,17,19,12,15,0
Fintech,139,145,56,42,26,24,0
Fitness,5,0,2,3,0,0,0
Food,3,1,1,0,0,0,0
Food & Beverage,3,0,3,2,1,1,0
Food Service Robots & Machines,3,0,0,0,0,0,0
Food Tech,7,11,2,1,1,0,0
Fraud Detection,1,2,2,1,0,1,0
Fraud Prevention,0,1,1,1,0,0,0
Fundraising,0,0,2,0,0,0,0
Fusion Energy,0,0,0,0,2,0,0
Gaming,7,14,4,4,3,6,0
Gardening,1,0,0,0,0,0,0
Gene Therapy,1,2,1,2,1,1,0
Generative AI,19,35,78,50,33,12,0
Genetic Engineering,0,0,1,0,1,1,0
Genomics,3,2,0,0,1,1,0
Geographic Information System,2,1,0,0,1,1,0
Ghost Kitchens,6,1,0,0,0,0,0
GovTech,6,5,2,5,9,6,0
GraphQL,0,0,1,0,0,0,0
Grocery,9,2,3,0,1,0,0
HR Tech,12,11,8,6,4,3,0
Hard Tech,20,13,4,14,17,36,0
Hardware,12,12,3,9,25,29,0
Health & Wellness,12,2,3,2,6,6,0
Health Insurance,4,0,7,2,3,2,0
Health Tech,17,20,22,16,17,5,0
Healthcare,25,27,33,27,18,13,0
Healthcare IT,5,4,10,4,7,3,0
Home Automation,0,0,1,0,1,0,0
Home Services,1,1,2,3,3,4,0
Housing,3,1,0,1,1,1,0
Human Resources,4,4,0,2,0,2,0
Hydrogen Energy,0,2,2,0,0,0,0
Identity,3,7,0,1,0,1,0
Immigration,0,0,0,1,2,0,0
Income Share Agreements,2,0,0,0,0,0,0
India,3,4,1,0,0,0,0
Industrial,1,1,0,7,13,9,0
Industrial Workplace Safety,1,0,0,0,0,0,0
Infrastructure,10,9,18,23,32,35,0
Insurance,8,15,5,11,7,11,1
International,1,0,0,3,0,0,0
Investing,6,8,6,7,5,9,0
Investments,1,2,1,1,1,1,0
IoT,4,2,0,0,0,1,0
IoT Security,0,0,0,0,1,0,0
Kids,2,0,0,0,0,0,0
Kubernetes,1,3,2,0,0,1,0
Latin America,4,2,1,1,0,0,0
Legal,2,3,4,9,10,3,0
LegalTech,6,6,4,11,9,3,0
Lending,6,4,0,3,1,1,0
Lidar,0,0,0,1,0,0,0
Live,1,0,0,1,0,0,0
Livestock Health,0,0,0,0,1,0,0
Location-based,0,0,0,0,0,1,0
Logistics,13,20,12,11,11,10,0
ML,2,3,3,3,3,4,0
Machine Learning,30,35,23,22,22,15,0
Manufacturing,6,11,6,15,22,19,0
Maritime,2,0,0,0,1,0,0
Market Research,3,1,2,2,5,3,0
Marketing,8,17,16,15,14,6,0
Marketplace,53,37,13,8,8,6,0
Media,3,2,4,6,2,0,0
Medical Devices,14,10,3,1,1,1,0
Medical Robotics,1,1,1,0,0,0,0
Mental Health,2,0,0,0,1,1,0
Mental Health Tech,10,7,2,0,0,0,0
Messaging,2,4,0,2,0,1,0
Metaverse,0,2,0,0,0,0,0
Microfluidics,1,0,1,0,0,0,0
Microinsurance,1,1,0,0,0,0,0
Mining,0,2,0,1,0,0,0
Mobility,2,1,0,1,0,0,0
Monitoring,1,0,3,3,2,2,0
Music,1,2,0,2,1,0,0
NFT,0,3,0,0,0,0,0
NLP,3,4,1,1,1,0,0
Nanomedicine,1,0,1,0,0,0,0
Nanosensors,0,0,0,1,0,0,0
Nanotechnology,0,1,2,0,0,0,0
Navigation,0,1,0,1,0,0,0
Neobank,7,22,6,3,5,1,0
Networks,0,0,0,0,1,0,0
Neurotechnology,3,3,0,1,1,1,0
Next-gen Network Security,0,2,0,0,0,0,0
No-code,6,6,4,6,5,0,0
Nonprofit,2,2,0,0,0,0,0
Note-taking,1,1,0,0,1,0,0
Oncology,2,4,2,5,0,2,0
Open Source,21,24,32,19,21,10,0
Operations,5,3,4,12,8,4,0
Payments,23,33,20,9,4,2,0
Payroll,2,2,4,2,0,1,0
Pediatrics,0,1,0,0,0,0,0
Personalization,0,0,0,1,1,3,0
Podcasts,1,1,0,1,0,0,0
Primary Care,3,1,0,0,0,0,0
Privacy,3,3,2,2,1,1,0
Procurement,3,0,1,3,1,2,0
Productivity,20,26,19,23,20,7,0
Proptech,15,21,10,8,4,0,0
Quantum Computing,0,0,0,1,0,0,0
Radar,0,0,0,0,0,1,0
Real Estate,6,17,7,8,5,5,0
Recommendation System,0,1,1,0,0,0,0
Recruiting,13,4,3,3,5,4,0
Regtech,2,5,4,3,1,2,0
Reinforcement Learning,0,0,2,5,16,18,0
Remittances,0,1,1,1,0,0,0
Remote,2,0,0,0,0,0,0
Remote Work,5,1,1,1,0,1,0
Renewable Energy,2,2,3,2,1,3,0
Restaurant Tech,2,0,2,1,2,2,0
Retail,4,3,8,3,2,1,0
Retail Tech,1,0,0,3,1,0,0
Reviews,0,0,0,1,0,0,0
Ridesharing,1,0,0,0,0,0,0
Robotic Process Automation,5,3,5,3,5,6,0
Robotic Surgery,0,1,0,0,0,0,0
Robotics,12,8,1,16,28,39,0
Rocketry,0,0,0,1,1,0,0
SEO,1,1,0,1,0,1,0
SMB,1,1,2,3,1,1,0
SMS,0,1,1,2,0,0,0
SaaS,214,174,129,87,68,37,0
Sales,12,26,20,18,19,4,0
Sales Enablement,5,9,5,4,7,3,0
Satellites,5,5,2,3,2,2,0
Scheduling,2,1,0,0,0,1,0
Search,1,5,3,7,2,0,0
Security,12,14,7,10,9,7,0
Self-Driving Vehicles,1,0,0,0,0,1,0
Semiconductors,0,0,2,5,2,10,0
Skincare,0,1,0,0,0,1,0
Sleep Tech,3,0,0,0,0,0,0
Smart Home Assistants,0,0,0,0,1,0,0
Smart Waste Management,0,0,0,0,0,1,0
Social,3,8,1,1,6,3,0
Social Media,3,0,1,10,4,0,0
Social Network,2,0,0,3,2,0,0
Solar Power,2,5,2,2,1,1,0
Space Exploration,6,2,0,1,1,3,0
Speech Recognition,1,2,0,1,1,0,0
Sports Tech,2,2,0,1,3,0,0
Stocks,2,0,0,0,0,3,0
Subscriptions,13,6,3,1,0,0,0
Supply Chain,10,11,7,15,10,9,0
Sustainability,3,0,0,1,0,2,0
Sustainable Fashion,2,2,0,0,0,0,0
Sustainable Tourism,0,1,0,0,0,0,0
Swarm Robotics,0,0,0,1,0,3,0
Synthetic Biology,4,5,3,8,1,2,0
Talent Acquisition,1,0,0,0,0,1,0
Team Collaboration,1,0,1,1,3,0,0
Telecommunications,5,1,2,4,2,2,0
Telehealth,7,6,2,1,2,1,0
Telemedicine,10,6,1,0,0,0,0
Therapeutics,7,11,3,7,1,2,0
Time Series,0,0,0,0,0,1,0
Trading,3,2,1,1,2,7,0
Transportation,2,5,3,2,3,0,0
Travel,5,4,2,7,2,1,0
Trust & Safety,0,1,1,0,0,1,0
Unmanned Vehicle,0,1,0,0,0,1,0
Vaccines,0,0,0,0,0,1,0
Video,8,6,8,13,8,1,0
Virtual Reality,2,6,0,0,0,1,0
Warehouse Management Tech,4,2,1,1,0,1,0
Weather,1,0,0,0,0,0,0
Web Development,4,2,5,2,4,1,0
Women's Health,4,1,2,0,1,0,0
Workflow Automation,5,7,10,21,13,11,1
eLearning,20,5,3,1,2,1,0
eSports,0,0,0,0,0,1,0
