title,n_editions,first_edition,last_edition,first_seen,last_seen
Devtools for AI Agents,1,Spring 2025,Spring 2025,20250202012604,20250501031358
DocuSign 2.0,1,Spring 2025,Spring 2025,20250202012604,20250401135839
Inference AI Infrastructure in the World of Test-Time Compute,1,Spring 2025,Spring 2025,20250202012604,20250501031358
Startup Founders with Systems Programming Expertise,1,Spring 2025,Spring 2025,20250202012604,20250401135839
The Future of Software Engineering,1,Spring 2025,Spring 2025,20250202012604,20250501031358
Vertical AI Agents,1,Spring 2025,Spring 2025,20250202012604,20250501031358
AI Personal Assistant,1,Summer 2025,Summer 2025,20250601125436,20250704000742
AI Personal Tutor for Everyone,1,Summer 2025,Summer 2025,20250601125436,20250704000742
AI Research Labs,1,Summer 2025,Summer 2025,20250601125436,20250704000742
AI Residential Security,1,Summer 2025,Summer 2025,20250601125436,20250704000742
AI Voice Assistants for Email,1,Summer 2025,Summer 2025,20250601125436,20250704000742
AI for Personal Finance,1,Summer 2025,Summer 2025,20250601125436,20250704000742
AI for Scientific Advancement,1,Summer 2025,Summer 2025,20250601125436,20250704000742
Full-stack AI Companies,1,Summer 2025,Summer 2025,20250601125436,20250704000742
Healthcare AI,1,Summer 2025,Summer 2025,20250601125436,20250704000742
Internal Agent Builder,1,Summer 2025,Summer 2025,20250601125436,20250704000742
More Design Founders,1,Summer 2025,Summer 2025,20250601125436,20250704000742
Software Tools To Make Robots,1,Summer 2025,Summer 2025,20250601125436,20250704000742
The Future of Education,1,Summer 2025,Summer 2025,20250601125436,20250704000742
Voice AI,1,Summer 2025,Summer 2025,20250601125436,20250704000742
AI Native Enterprise Software,1,Fall 2025,Fall 2025,20250801091449,20260101122607
Infrastructure for Multi-Agent Systems,1,Fall 2025,Fall 2025,20250801091449,20260101122607
Retraining Workers for the AI Economy,1,Fall 2025,Fall 2025,20250801091449,20260101122607
"The First 10-person, $100B Company",1,Fall 2025,Fall 2025,20250801091449,20260101122607
Using LLMs Instead of Government Consulting,1,Fall 2025,Fall 2025,20250801091449,20260101122607
Video Generation as a Primitive,1,Fall 2025,Fall 2025,20250801091449,20260101122607
AI Guidance for Physical Work,1,Spring 2026,Spring 2026,20260203133656,20260402165521
AI for Government,1,Spring 2026,Spring 2026,20260203133656,20260402165521
AI-Native Agencies,1,Spring 2026,Spring 2026,20260203133656,20260402165521
AI-Native Hedge Funds,1,Spring 2026,Spring 2026,20260203133656,20260402165521
Cursor for Product Managers,1,Spring 2026,Spring 2026,20260203133656,20260402165521
Modern Metal Mills,1,Spring 2026,Spring 2026,20260203133656,20260402165521
Stablecoin Financial Services,1,Spring 2026,Spring 2026,20260203133656,20260402165521
Infra for Government Fraud Hunters,1,Spring 2026,Spring 2026,20260306120144,20260402165521
Large Spatial Models,1,Spring 2026,Spring 2026,20260306120144,20260402165521
Make LLMs Easy to Train,1,Spring 2026,Spring 2026,20260306120144,20260402165521
AI Personalized Medicine,1,Summer 2026,Summer 2026,20260501000432,20260708135218
AI for Low-Pesticide Agriculture,1,Summer 2026,Summer 2026,20260501000432,20260708135218
AI-Native Discovery Engines,1,Summer 2026,Summer 2026,20260501000432,20260708135218
AI-Native Service Companies,1,Summer 2026,Summer 2026,20260501000432,20260708135218
Company Brain,1,Summer 2026,Summer 2026,20260501000432,20260708135218
Counter-Swarm Defense,1,Summer 2026,Summer 2026,20260501000432,20260708135218
Dynamic Software Interfaces,1,Summer 2026,Summer 2026,20260501000432,20260708135218
Electronics in Space,1,Summer 2026,Summer 2026,20260501000432,20260708135218
Hardware Supply Chain,1,Summer 2026,Summer 2026,20260501000432,20260708135218
Industrial Capabilities in Space,1,Summer 2026,Summer 2026,20260501000432,20260708135218
Inference Chips for Agent Workflows,1,Summer 2026,Summer 2026,20260501000432,20260708135218
SaaS Challengers,1,Summer 2026,Summer 2026,20260501000432,20260708135218
Software for Agents,1,Summer 2026,Summer 2026,20260501000432,20260708135218
Startups That Want to Sell to Huge Companies,1,Summer 2026,Summer 2026,20260501000432,20260708135218
Supply Chain 2.0 for Semiconductors,1,Summer 2026,Summer 2026,20260501000432,20260708135218
The AI Operating System for Companies,1,Summer 2026,Summer 2026,20260501000432,20260708135218
A Cloud for Small Software,1,Fall 2026,Fall 2026,20260807171507,20260906000000
AI for the Aging Population,1,Fall 2026,Fall 2026,20260807171507,20260906000000
AI-Native Compliance Infrastructure,1,Fall 2026,Fall 2026,20260807171507,20260906000000
AI-Powered Consumer Products for 1 Billion People,1,Fall 2026,Fall 2026,20260807171507,20260906000000
Compute at Sea,1,Fall 2026,Fall 2026,20260807171507,20260906000000
Data for the Real World,1,Fall 2026,Fall 2026,20260807171507,20260906000000
Multiplayer AI,1,Fall 2026,Fall 2026,20260807171507,20260906000000
New Operating Systems for the Physical World,1,Fall 2026,Fall 2026,20260807171507,20260906000000
Proving You're Human,1,Fall 2026,Fall 2026,20260807171507,20260906000000
Self-Maintaining APIs,1,Fall 2026,Fall 2026,20260807171507,20260906000000
The Best Time to Build in Crypto,1,Fall 2026,Fall 2026,20260807171507,20260906000000
The Future of American Defense,1,Fall 2026,Fall 2026,20260807171507,20260906000000
The Primer,1,Fall 2026,Fall 2026,20260807171507,20260906000000
