subindustry,Summer 2005,Winter 2006,Summer 2006,Winter 2007,Summer 2007,Winter 2008,Summer 2008,Winter 2009,Summer 2009,Winter 2010,Summer 2010,Winter 2011,Summer 2011,Winter 2012,Summer 2012,Winter 2013,Summer 2013,Winter 2014,Summer 2014,Winter 2015,Summer 2015,Winter 2016,Summer 2016,Winter 2017,Summer 2017,Winter 2018,Summer 2018,Winter 2019,Summer 2019,Winter 2020,Summer 2020,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
Consumer -> Transportation Services,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,1,0,0,3,1,1,1,2,1,2,1,1,1,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Consumer -> Travel, Leisure and Tourism",0,0,0,0,1,0,1,1,1,0,1,0,0,0,2,2,0,2,2,1,3,0,2,0,1,2,1,3,1,0,1,0,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0
Consumer -> Virtual and Augmented Reality,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,1,2,3,2,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Education,0,0,0,0,0,0,0,0,1,0,1,2,3,2,5,0,2,2,0,0,3,2,4,2,6,4,4,7,5,5,4,13,15,8,1,3,3,3,1,1,5,3,2,0,0,0,1,0,0
Fintech,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,1,2,3,3,2,4,5,21,38,23,14,9,6,3,4,3,1,3,2,8,3,6,0,0
Fintech -> Asset Management,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,2,2,0,2,0,2,1,1,2,2,0,1,0,4,6,7,2,3,0,2,3,0,0,0,0,0,0,5,3,0,0
Fintech -> Banking and Exchange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,3,1,1,2,2,1,2,3,4,2,7,6,8,5,3,3,2,0,1,1,0,2,2,0,0,2,1,1,0,0
Fintech -> Consumer Finance,1,0,0,1,0,0,0,0,0,0,2,1,4,1,1,1,0,0,1,2,1,1,1,2,1,2,2,4,6,5,5,7,8,7,2,5,1,1,0,1,2,1,2,2,2,3,1,0,0
Fintech -> Credit and Lending,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,3,2,2,1,1,4,5,8,1,11,7,11,1,3,1,1,1,0,0,1,1,0,2,1,0,0,0
Fintech -> Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,2,0,2,3,2,1,5,2,8,3,0,2,3,2,1,3,2,2,3,2,5,5,3,0
Fintech -> Payments,0,0,0,0,0,1,0,0,1,0,0,1,0,3,0,0,0,0,3,2,3,2,1,2,3,2,4,3,6,7,8,11,14,16,9,5,3,4,2,0,2,0,1,1,2,3,0,0,0
Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,1,4,2,1,2,2,0,3,1,1,1,0,1,0,1,4,1,4,2,1,2,0,1,2,1,0
Healthcare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,1,0,1,0,1,0,1,5,3,11,6,5,4,5,8,7,6,3,3,3,6,5,5,12,0,0
Healthcare -> Consumer Health and Wellness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,6,3,5,1,3,4,2,6,3,6,11,6,8,16,8,3,1,5,3,1,1,1,2,0,2,1,2,2,0,0
Healthcare -> Diagnostics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,2,2,6,1,4,4,1,5,2,3,7,3,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0
Healthcare -> Drug Discovery and Delivery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,0,3,2,0,2,7,4,0,9,2,1,7,2,0,2,0,0,0,2,1,4,1,3,0,0
Healthcare -> Healthcare IT,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,0,0,4,3,2,3,3,4,5,6,6,5,2,2,4,13,3,6,7,6,9,9,7,2,4,4,5,2,4,1,1,0,0
Healthcare -> Healthcare Services,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,0,1,1,2,2,2,3,2,6,5,2,4,2,2,3,3,8,1,2,3,1,1,0,1,2,0,0,2,4,2,0,0
Healthcare -> Industrial Bio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,1,6,2,2,2,4,2,1,2,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0
Healthcare -> Medical Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,1,3,1,1,4,2,3,3,8,6,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0
Healthcare -> Therapeutics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,7,3,4,2,6,6,3,5,1,0,6,2,0,2,0,1,0,0,1,1,0,0
Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,3,1,0,5,0,2,2,3,0,6,1,14,0,0
Industrials -> Agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,2,0,3,2,3,2,1,1,1,0,0,2,1,0,0,2,0,0,0,2,0,1,0,1,0,1,0,0
Industrials -> Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,2,0,2,1,1,2,0,2,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Industrials -> Aviation and Space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,3,0,1,3,1,3,0,6,5,3,4,2,1,4,3,3,4,2,0,1,4,2,3,1,0
Industrials -> Climate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,1,4,1,0,3,2,3,2,3,5,10,5,0,1,0,4,0,0,1,0,0,1,0,2,0,0
Industrials -> Defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,2,2,6,9,0,0
Industrials -> Drones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,2,1,2,0,2,0,0,1,0,0,2,1,0,0,0,0,2,0,1,0,0,0,2,1,0,1,0
Industrials -> Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,1,2,0,0,2,1,1,2,5,3,2,2,1,1,1,2,0,2,1,0,1,6,2,3,1,0
Industrials -> Manufacturing and Robotics,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,1,2,4,1,4,2,5,5,5,2,5,2,3,2,0,0,4,9,1,7,9,7,10,6,13,24,5,0
Real Estate and Construction,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,4,3,2,2,0,2,1,0,0,3,0,2,2,0,0,0
Real Estate and Construction -> Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,2,0,2,1,0,1,3,3,2,2,4,4,2,1,3,2,0,3,2,1,0,2,1,2,3,0,0
Real Estate and Construction -> Housing and Real Estate,0,0,0,0,0,0,0,2,1,1,1,1,2,2,0,0,1,2,1,4,1,2,2,5,3,2,3,4,6,6,3,4,4,6,4,1,1,1,2,0,0,0,1,3,0,0,3,0,0
Unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
