subindustry,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Consumer -> Home and Personal,0.0,11.765,9.375,6.977,4.762,9.524,8.571,7.383,8.163,5.263,7.009,6.25,3.734,1.444,2.703,1.373,1.376,0.158,0.405,0.0,0.0,0.0,0.0
Consumer -> Job and Career Services,0.0,0.0,0.0,0.0,2.381,0.0,0.952,0.0,0.0,0.658,0.467,0.0,1.245,0.0,0.541,0.686,0.413,0.158,0.0,0.169,0.0,0.301,0.0
Consumer -> Social,22.222,17.647,25.0,11.628,16.667,11.111,5.714,4.698,1.02,3.289,2.336,3.125,4.979,2.888,1.892,2.288,0.413,0.475,0.0,0.508,0.322,0.0,0.0
Consumer -> Transportation Services,0.0,0.0,0.0,0.0,2.381,0.0,1.905,2.013,1.02,1.974,0.935,1.339,1.245,0.722,0.541,0.458,0.138,0.158,0.0,0.169,0.0,0.0,0.0
"Consumer -> Travel, Leisure and Tourism",0.0,0.0,3.125,2.326,4.762,1.587,0.0,1.342,2.041,2.632,1.869,0.893,0.415,1.083,1.081,0.229,0.138,0.158,0.405,0.508,0.0,0.151,0.0
Consumer -> Virtual and Augmented Reality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,2.041,0.0,0.467,1.339,1.245,1.805,0.27,0.229,0.138,0.158,0.0,0.0,0.161,0.0,0.0
Education,0.0,0.0,0.0,0.0,2.381,1.587,4.762,4.698,2.041,1.316,1.402,2.679,3.32,2.888,3.243,2.059,3.851,1.424,1.215,0.847,1.61,0.151,0.0
Fintech,0.0,0.0,0.0,0.0,2.381,0.0,0.0,0.0,1.02,0.0,1.402,0.0,0.83,1.083,1.622,1.373,3.576,9.652,4.656,2.203,1.449,2.56,0.0
Fintech -> Asset Management,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.671,1.02,2.632,0.935,0.893,1.245,1.083,0.541,0.229,1.376,1.424,0.607,0.847,0.0,1.205,0.0
Fintech -> Banking and Exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,3.061,2.632,1.869,1.339,1.245,1.805,1.622,2.975,1.788,0.949,0.405,0.339,0.644,0.602,0.0
Fintech -> Consumer Finance,11.111,0.0,3.125,0.0,0.0,3.175,4.762,1.342,1.02,0.658,1.402,0.893,1.245,1.444,2.703,2.288,2.063,1.424,1.215,0.339,1.127,0.904,0.0
Fintech -> Credit and Lending,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.0,1.316,0.467,2.232,1.66,0.722,2.432,2.059,2.476,1.899,0.81,0.339,0.322,0.452,0.0
Fintech -> Insurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893,2.49,0.722,1.351,0.686,0.963,1.741,0.405,1.017,1.61,2.259,0.0
Fintech -> Payments,0.0,0.0,0.0,2.326,2.381,0.0,0.952,2.013,0.0,1.974,2.336,1.339,2.075,2.166,2.432,3.432,3.439,3.956,1.619,1.017,0.644,0.753,0.0
Government,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,1.402,0.893,2.075,1.083,1.081,0.686,0.275,0.158,0.202,1.017,1.449,0.602,0.0
Healthcare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.974,0.0,0.893,0.415,0.361,0.27,1.373,1.926,1.741,1.822,3.559,2.415,3.313,0.0
Healthcare -> Consumer Health and Wellness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,3.061,1.316,4.206,2.679,2.905,2.888,2.432,3.89,3.301,1.741,1.215,0.847,0.805,0.753,0.0
Healthcare -> Diagnostics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,2.336,2.679,3.32,1.805,1.351,1.602,1.376,0.633,0.607,0.339,0.0,0.151,0.0
Healthcare -> Drug Discovery and Delivery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.869,0.446,0.83,1.805,0.541,2.517,1.238,0.475,1.822,0.339,0.483,1.205,0.0
Healthcare -> Healthcare IT,0.0,0.0,0.0,0.0,0.0,0.0,3.81,2.013,2.041,2.632,2.336,2.679,3.734,4.332,1.892,1.373,2.201,2.057,3.036,3.051,2.415,0.904,0.0
Healthcare -> Healthcare Services,0.0,0.0,0.0,0.0,0.0,0.0,0.952,1.342,4.082,0.658,1.402,1.786,2.075,3.971,1.622,0.915,0.825,1.424,1.012,0.339,0.483,1.205,0.0
Healthcare -> Industrial Bio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.935,0.893,0.415,2.527,1.081,1.373,0.413,0.316,0.202,0.339,0.161,0.151,0.0
Healthcare -> Medical Devices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.402,1.339,0.83,1.444,1.351,1.144,1.513,1.108,0.405,0.169,0.0,0.151,0.0
Healthcare -> Therapeutics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,4.332,2.703,1.373,1.651,1.266,0.202,1.356,0.483,0.301,0.0
Industrials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.229,0.138,0.475,0.81,0.847,1.127,3.163,0.0
Industrials -> Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.0,1.974,0.935,0.893,2.075,1.805,0.541,0.229,0.275,0.158,0.405,0.0,0.483,0.301,0.0
Industrials -> Automotive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.467,1.339,1.245,0.722,0.541,0.458,0.413,0.316,0.0,0.169,0.161,0.0,0.0
Industrials -> Aviation and Space,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467,1.786,1.66,0.361,1.081,0.686,1.513,1.108,0.607,1.695,1.127,1.506,0.0
Industrials -> Climate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,1.402,0.446,2.075,0.361,1.351,1.144,1.1,2.373,0.202,0.678,0.161,0.452,0.0
Industrials -> Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446,0.0,0.0,0.0,0.0,0.138,0.0,0.0,0.169,0.805,2.56,0.0
Industrials -> Drones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,1.02,0.0,1.402,0.893,1.245,0.722,0.0,0.229,0.275,0.158,0.0,0.339,0.161,0.602,0.0
Industrials -> Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.316,1.402,1.786,1.245,0.0,0.811,0.686,1.1,0.633,0.405,0.508,0.644,1.807,0.0
Industrials -> Manufacturing and Robotics,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.671,0.0,2.632,0.467,1.339,2.075,2.166,2.703,1.602,0.963,0.791,0.0,2.373,5.314,7.229,0.0
Real Estate and Construction,0.0,0.0,0.0,0.0,2.381,0.0,0.0,0.0,0.0,0.0,0.467,0.0,0.415,0.0,0.541,0.0,0.0,1.108,0.81,0.508,0.483,0.602,0.0
Real Estate and Construction -> Construction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.0,0.0,1.402,1.339,0.83,0.361,1.081,1.144,0.825,0.949,0.81,0.847,0.805,0.904,0.0
Real Estate and Construction -> Housing and Real Estate,0.0,0.0,0.0,0.0,7.143,3.175,2.857,1.342,1.02,1.974,2.336,1.786,3.32,1.805,2.703,2.059,1.1,1.582,0.405,0.508,0.644,0.452,0.0
Unspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.289,2.336,2.232,1.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
