batch,rank,tag,share_pct,count
Summer 2012,10,Marketplace,3.614,3
Summer 2012,11,E-Commerce,3.614,3
Summer 2012,12,Travel,3.614,3
Summer 2012,13,Health Insurance,2.41,2
Summer 2012,14,Cloud Computing,2.41,2
Summer 2012,15,Crowdfunding,2.41,2
Summer 2012,16,Marketing,2.41,2
Summer 2012,17,Media,2.41,2
Summer 2012,18,Consumer,2.41,2
Summer 2012,19,Robotics,2.41,2
Summer 2012,20,Fintech,2.41,2
Winter 2013,1,Marketplace,13.043,6
Winter 2013,2,Analytics,13.043,6
Winter 2013,3,SaaS,10.87,5
Winter 2013,4,E-commerce,8.696,4
Winter 2013,5,Hardware,8.696,4
Winter 2013,6,Logistics,6.522,3
Winter 2013,7,Data Engineering,6.522,3
Winter 2013,8,E-Commerce,6.522,3
Winter 2013,9,Fintech,4.348,2
Winter 2013,10,Fashion,4.348,2
Winter 2013,11,Enterprise,4.348,2
Winter 2013,12,LegalTech,4.348,2
Winter 2013,13,Education,4.348,2
Winter 2013,14,Crowdfunding,4.348,2
Winter 2013,15,Healthcare,4.348,2
Winter 2013,16,Payments,4.348,2
Winter 2013,17,Manufacturing,2.174,1
Winter 2013,18,Databases,2.174,1
Winter 2013,19,Data Visualization,2.174,1
Winter 2013,20,Travel,2.174,1
Summer 2013,1,Marketplace,11.538,6
Summer 2013,2,Education,7.692,4
Summer 2013,3,SaaS,7.692,4
Summer 2013,4,B2B,7.692,4
Summer 2013,5,Fintech,5.769,3
Summer 2013,6,Developer Tools,5.769,3
Summer 2013,7,Productivity,5.769,3
Summer 2013,8,E-commerce,3.846,2
Summer 2013,9,Marketing,3.846,2
Summer 2013,10,Video,3.846,2
Summer 2013,11,Analytics,3.846,2
Summer 2013,12,Legal,3.846,2
Summer 2013,13,DevOps,3.846,2
Summer 2013,14,Payments,3.846,2
Summer 2013,15,Delivery,3.846,2
Summer 2013,16,eLearning,1.923,1
Summer 2013,17,Social,1.923,1
Summer 2013,18,Restaurant Tech,1.923,1
Summer 2013,19,Food & Beverage,1.923,1
Summer 2013,20,Advertising,1.923,1
Winter 2014,1,SaaS,16.216,12
Winter 2014,2,B2B,10.811,8
Winter 2014,3,Marketplace,9.459,7
Winter 2014,4,Fintech,9.459,7
Winter 2014,5,Education,6.757,5
Winter 2014,6,Machine Learning,4.054,3
Winter 2014,7,IoT,4.054,3
Winter 2014,8,Logistics,4.054,3
Winter 2014,9,Analytics,4.054,3
Winter 2014,10,Retail,4.054,3
Winter 2014,11,Climate,2.703,2
Winter 2014,12,Video,2.703,2
Winter 2014,13,AI,2.703,2
Winter 2014,14,Developer Tools,2.703,2
Winter 2014,15,Furniture,2.703,2
Winter 2014,16,Health & Wellness,2.703,2
Winter 2014,17,Gaming,2.703,2
Winter 2014,18,Health Tech,2.703,2
Winter 2014,19,E-Commerce,2.703,2
Winter 2014,20,E-commerce,2.703,2
Summer 2014,1,Fintech,10.256,8
Summer 2014,2,Marketplace,8.974,7
Summer 2014,3,SaaS,8.974,7
Summer 2014,4,Analytics,6.41,5
Summer 2014,5,B2B,6.41,5
Summer 2014,6,Machine Learning,5.128,4
Summer 2014,7,Health Tech,5.128,4
Summer 2014,8,E-commerce,5.128,4
Summer 2014,9,Crypto / Web3,5.128,4
Summer 2014,10,Marketing,3.846,3
Summer 2014,11,Payments,3.846,3
Summer 2014,12,Gaming,3.846,3
Summer 2014,13,Artificial Intelligence,3.846,3
Summer 2014,14,IoT,3.846,3
Summer 2014,15,Consumer,3.846,3
Summer 2014,16,Food & Beverage,3.846,3
Summer 2014,17,Hardware,2.564,2
Summer 2014,18,Health & Wellness,2.564,2
Summer 2014,19,Crowdfunding,2.564,2
Summer 2014,20,Climate,2.564,2
Winter 2015,1,SaaS,11.818,13
Winter 2015,2,Artificial Intelligence,7.273,8
Winter 2015,3,Fintech,7.273,8
Winter 2015,4,Marketplace,6.364,7
Winter 2015,5,Machine Learning,6.364,7
Winter 2015,6,Developer Tools,5.455,6
Winter 2015,7,B2B,5.455,6
Winter 2015,8,AI,5.455,6
Winter 2015,9,Biotech,4.545,5
Winter 2015,10,E-commerce,3.636,4
Winter 2015,11,Analytics,3.636,4
Winter 2015,12,Payments,3.636,4
Winter 2015,13,Medical Devices,3.636,4
Winter 2015,14,Healthcare,3.636,4
Winter 2015,15,Open Source,2.727,3
Winter 2015,16,Investing,2.727,3
Winter 2015,17,Food Tech,2.727,3
Winter 2015,18,Nonprofit,2.727,3
Winter 2015,19,E-Commerce,2.727,3
Winter 2015,20,Social,2.727,3
Summer 2015,1,SaaS,20.192,21
Summer 2015,2,Fintech,13.462,14
Summer 2015,3,Marketplace,8.654,9
Summer 2015,4,B2B,6.731,7
Summer 2015,5,Developer Tools,6.731,7
Summer 2015,6,Hardware,5.769,6
Summer 2015,7,Logistics,4.808,5
Summer 2015,8,Climate,3.846,4
Summer 2015,9,LegalTech,3.846,4
Summer 2015,10,Health Tech,3.846,4
Summer 2015,11,HR Tech,3.846,4
Summer 2015,12,Recruiting,2.885,3
Summer 2015,13,Robotics,2.885,3
Summer 2015,14,Education,2.885,3
Summer 2015,15,E-commerce,2.885,3
Summer 2015,16,Medical Devices,2.885,3
Summer 2015,17,Healthcare,2.885,3
Summer 2015,18,Video,2.885,3
Summer 2015,19,Consumer Health Services,2.885,3
Summer 2015,20,Computer Vision,2.885,3
Winter 2016,1,SaaS,14.754,18
Winter 2016,2,Fintech,8.197,10
Winter 2016,3,Marketplace,7.377,9
Winter 2016,4,Artificial Intelligence,6.557,8
Winter 2016,5,B2B,6.557,8
Winter 2016,6,Developer Tools,5.738,7
Winter 2016,7,AI,4.918,6
Winter 2016,8,Analytics,4.098,5
Winter 2016,9,Health Tech,3.279,4
Winter 2016,10,Hardware,3.279,4
Winter 2016,11,Biotech,3.279,4
Winter 2016,12,Sales,3.279,4
Winter 2016,13,Logistics,3.279,4
Winter 2016,14,Insurance,3.279,4
Winter 2016,15,Medical Devices,3.279,4
Winter 2016,16,Transportation,3.279,4
Winter 2016,17,Marketing,2.459,3
Winter 2016,18,Robotics,2.459,3
Winter 2016,19,Climate,2.459,3
Winter 2016,20,Messaging,2.459,3
Summer 2016,1,Marketplace,10.784,11
Summer 2016,2,Artificial Intelligence,10.784,11
Summer 2016,3,Fintech,9.804,10
Summer 2016,4,Healthcare,7.843,8
Summer 2016,5,SaaS,6.863,7
Summer 2016,6,Education,5.882,6
Summer 2016,7,E-commerce,5.882,6
Summer 2016,8,Consumer,4.902,5
Summer 2016,9,Retail,4.902,5
Summer 2016,10,Hardware,4.902,5
Summer 2016,11,Enterprise,3.922,4
Summer 2016,12,Hard Tech,3.922,4
Summer 2016,13,Health Tech,3.922,4
Summer 2016,14,Machine Learning,2.941,3
Summer 2016,15,Video,2.941,3
Summer 2016,16,AI,2.941,3
Summer 2016,17,Climate,2.941,3
Summer 2016,18,IoT,2.941,3
Summer 2016,19,Enterprise Software,2.941,3
Summer 2016,20,API,2.941,3
Winter 2017,1,Artificial Intelligence,12.069,14
Winter 2017,2,Fintech,12.069,14
Winter 2017,3,SaaS,10.345,12
Winter 2017,4,B2B,9.483,11
Winter 2017,5,Marketplace,8.621,10
Winter 2017,6,Health Tech,6.034,7
Winter 2017,7,Healthcare,6.034,7
Winter 2017,8,Hardware,5.172,6
Winter 2017,9,IoT,4.31,5
Winter 2017,10,AI,3.448,4
Winter 2017,11,Machine Learning,3.448,4
Winter 2017,12,Consumer Health Services,3.448,4
Winter 2017,13,Nonprofit,3.448,4
Winter 2017,14,Education,3.448,4
Winter 2017,15,Developer Tools,3.448,4
Winter 2017,16,Manufacturing,2.586,3
Winter 2017,17,Investing,2.586,3
Winter 2017,18,Medical Devices,2.586,3
Winter 2017,19,Real Estate,2.586,3
Winter 2017,20,Digital Health,2.586,3
Summer 2017,1,SaaS,11.2,14
Summer 2017,2,Fintech,11.2,14
Summer 2017,3,Artificial Intelligence,10.4,13
Summer 2017,4,Marketplace,9.6,12
Summer 2017,5,B2B,8.0,10
Summer 2017,6,Machine Learning,4.8,6
Summer 2017,7,AI,4.8,6
Summer 2017,8,Recruiting,4.8,6
Summer 2017,9,Climate,4.8,6
Summer 2017,10,India,4.8,6
Summer 2017,11,Insurance,4.8,6
Summer 2017,12,Gaming,4.0,5
Summer 2017,13,Education,4.0,5
Summer 2017,14,Hardware,4.0,5
Summer 2017,15,Healthcare,3.2,4
Summer 2017,16,Social,3.2,4
Summer 2017,17,Health Tech,3.2,4
Summer 2017,18,GovTech,3.2,4
Summer 2017,19,Payments,3.2,4
Summer 2017,20,Consumer Health Services,3.2,4
Winter 2018,1,SaaS,13.699,20
Winter 2018,2,B2B,11.644,17
Winter 2018,3,Fintech,11.644,17
Winter 2018,4,Artificial Intelligence,8.904,13
Winter 2018,5,Machine Learning,6.164,9
Winter 2018,6,Marketplace,6.164,9
Winter 2018,7,Consumer,6.164,9
Winter 2018,8,E-commerce,5.479,8
Winter 2018,9,AI,5.479,8
Winter 2018,10,Health Tech,4.795,7
Winter 2018,11,Crypto / Web3,4.11,6
Winter 2018,12,Design Tools,4.11,6
Winter 2018,13,Education,4.11,6
Winter 2018,14,Developer Tools,4.11,6
Winter 2018,15,Deep Learning,3.425,5
Winter 2018,16,Robotics,3.425,5
Winter 2018,17,Security,3.425,5
Winter 2018,18,Biotech,3.425,5
Winter 2018,19,Medical Devices,3.425,5
Winter 2018,20,Healthcare,2.74,4
Summer 2018,1,SaaS,16.031,21
Summer 2018,2,Fintech,11.45,15
Summer 2018,3,Artificial Intelligence,9.16,12
Summer 2018,4,Biotech,8.397,11
Summer 2018,5,AI,8.397,11
Summer 2018,6,Healthcare,6.107,8
Summer 2018,7,B2B,5.344,7
Summer 2018,8,Developer Tools,5.344,7
Summer 2018,9,Logistics,4.58,6
Summer 2018,10,API,3.817,5
Summer 2018,11,Supply Chain,3.817,5
Summer 2018,12,Education,3.817,5
Summer 2018,13,Marketplace,3.817,5
Summer 2018,14,Machine Learning,3.053,4
Summer 2018,15,Hardware,3.053,4
Summer 2018,16,Medical Devices,3.053,4
Summer 2018,17,Climate,3.053,4
Summer 2018,18,Digital Health,3.053,4
Summer 2018,19,Sustainability,2.29,3
Summer 2018,20,Gene Therapy,2.29,3
Winter 2019,1,SaaS,18.041,35
Winter 2019,2,B2B,13.918,27
Winter 2019,3,Fintech,13.402,26
Winter 2019,4,Artificial Intelligence,8.247,16
Winter 2019,5,Developer Tools,7.732,15
Winter 2019,6,AI,6.701,13
Winter 2019,7,Marketplace,6.186,12
Winter 2019,8,Consumer,5.155,10
Winter 2019,9,Education,4.639,9
Winter 2019,10,Climate,4.639,9
Winter 2019,11,Payments,4.124,8
Winter 2019,12,Productivity,4.124,8
Winter 2019,13,Machine Learning,3.608,7
Winter 2019,14,Gaming,3.608,7
Winter 2019,15,Health Tech,3.093,6
Winter 2019,16,Recruiting,3.093,6
Winter 2019,17,Logistics,3.093,6
Winter 2019,18,E-commerce,2.577,5
Winter 2019,19,Genomics,2.577,5
Winter 2019,20,API,2.577,5
Summer 2019,1,SaaS,18.75,33
Summer 2019,2,Fintech,15.909,28
Summer 2019,3,B2B,10.795,19
Summer 2019,4,Developer Tools,9.659,17
Summer 2019,5,Artificial Intelligence,7.386,13
Summer 2019,6,Marketplace,6.25,11
Summer 2019,7,AI,6.25,11
Summer 2019,8,E-commerce,5.682,10
Summer 2019,9,Hardware,5.682,10
Summer 2019,10,Machine Learning,4.545,8
Summer 2019,11,Education,4.545,8
Summer 2019,12,Open Source,3.977,7
Summer 2019,13,Consumer Health Services,3.409,6
Summer 2019,14,Crypto / Web3,3.409,6
Summer 2019,15,Analytics,2.841,5
Summer 2019,16,Marketing,2.841,5
Summer 2019,17,Recruiting,2.841,5
Summer 2019,18,Logistics,2.841,5
Summer 2019,19,Health Tech,2.841,5
Summer 2019,20,Data Engineering,2.841,5
Winter 2020,1,SaaS,24.123,55
Winter 2020,2,B2B,20.175,46
Winter 2020,3,Fintech,17.105,39
Winter 2020,4,Developer Tools,10.526,24
Winter 2020,5,AI,9.211,21
Winter 2020,6,Artificial Intelligence,9.211,21
Winter 2020,7,Marketplace,8.333,19
Winter 2020,8,Machine Learning,6.14,14
Winter 2020,9,Biotech,4.825,11
Winter 2020,10,Health Tech,4.825,11
Winter 2020,11,Productivity,3.509,8
Winter 2020,12,Healthcare,3.509,8
Winter 2020,13,Social,3.07,7
Winter 2020,14,Logistics,3.07,7
Winter 2020,15,Climate,3.07,7
Winter 2020,16,Data Engineering,3.07,7
Winter 2020,17,India,3.07,7
Winter 2020,18,Robotics,3.07,7
Winter 2020,19,API,2.632,6
Winter 2020,20,AI Assistant,2.632,6
Summer 2020,1,SaaS,33.014,69
Summer 2020,2,B2B,27.751,58
Summer 2020,3,Fintech,19.617,41
Summer 2020,4,Developer Tools,11.483,24
Summer 2020,5,AI,7.177,15
Summer 2020,6,E-commerce,6.699,14
Summer 2020,7,Machine Learning,6.22,13
Summer 2020,8,Artificial Intelligence,6.22,13
Summer 2020,9,Open Source,5.742,12
Summer 2020,10,Marketplace,5.263,11
Summer 2020,11,Education,5.263,11
Summer 2020,12,Healthcare,3.828,8
Summer 2020,13,Digital Health,3.349,7
Summer 2020,14,Climate,3.349,7
Summer 2020,15,Data Engineering,3.349,7
Summer 2020,16,Health Tech,3.349,7
Summer 2020,17,Generative AI,3.349,7
Summer 2020,18,Payments,2.871,6
Summer 2020,19,Delivery,2.871,6
Summer 2020,20,Productivity,2.871,6
Winter 2021,1,SaaS,27.976,94
Winter 2021,2,B2B,23.214,78
Winter 2021,3,Fintech,17.262,58
Winter 2021,4,Artificial Intelligence,11.905,40
Winter 2021,5,Developer Tools,10.119,34
Winter 2021,6,AI,8.333,28
Winter 2021,7,Marketplace,5.952,20
Winter 2021,8,E-commerce,5.655,19
Winter 2021,9,Education,4.167,14
Winter 2021,10,Consumer,4.167,14
Winter 2021,11,Climate,3.869,13
Winter 2021,12,Open Source,3.869,13
Winter 2021,13,Consumer Health Services,3.869,13
Winter 2021,14,eLearning,3.571,12
Winter 2021,15,Hard Tech,3.274,11
Winter 2021,16,Healthcare,3.274,11
Winter 2021,17,Machine Learning,2.976,10
Winter 2021,18,Logistics,2.976,10
Winter 2021,19,Digital Health,2.976,10
Winter 2021,20,Robotics,2.679,9
Summer 2021,1,SaaS,30.691,120
Summer 2021,2,B2B,26.087,102
Summer 2021,3,Fintech,20.716,81
Summer 2021,4,Artificial Intelligence,12.02,47
Summer 2021,5,AI,9.719,38
Summer 2021,6,Marketplace,8.44,33
Summer 2021,7,Developer Tools,8.44,33
Summer 2021,8,E-commerce,6.394,25
Summer 2021,9,Consumer Health Services,5.371,21
Summer 2021,10,Machine Learning,5.115,20
Summer 2021,11,Climate,4.859,19
Summer 2021,12,Education,4.604,18
Summer 2021,13,Biotech,3.836,15
Summer 2021,14,Generative AI,3.581,14
Summer 2021,15,Healthcare,3.581,14
Summer 2021,16,Payments,3.581,14
Summer 2021,17,Community,3.069,12
Summer 2021,18,Analytics,3.069,12
Summer 2021,19,Consumer,3.069,12
Summer 2021,20,Medical Devices,3.069,12
Winter 2022,1,SaaS,26.633,106
Winter 2022,2,B2B,25.628,102
Winter 2022,3,Fintech,23.116,92
Winter 2022,4,Artificial Intelligence,14.07,56
Winter 2022,5,AI,13.568,54
Winter 2022,6,Consumer,9.799,39
Winter 2022,7,Developer Tools,8.543,34
Winter 2022,8,Marketplace,8.04,32
Winter 2022,9,E-commerce,6.281,25
Winter 2022,10,Machine Learning,6.03,24
Winter 2022,11,Climate,5.025,20
Winter 2022,12,Healthcare,4.774,19
Winter 2022,13,Payments,4.523,18
Winter 2022,14,Analytics,4.271,17
Winter 2022,15,API,4.271,17
Winter 2022,16,Crypto / Web3,4.02,16
Winter 2022,17,Neobank,3.769,15
Winter 2022,18,Proptech,3.518,14
Winter 2022,19,Digital Health,3.518,14
Winter 2022,20,Generative AI,3.266,13
Summer 2022,1,B2B,38.034,89
Summer 2022,2,SaaS,29.06,68
Summer 2022,3,Fintech,22.65,53
Summer 2022,4,AI,20.513,48
