tag,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Advertising,0.0,0.0,0.0,0.0,2.381,1.587,3.81,3.356,1.02,1.974,1.402,0.446,0.415,0.722,0.27,0.458,0.275,0.791,1.012,0.339,0.966,0.452,0.0
Aerospace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893,0.0,0.0,0.541,0.229,0.688,0.633,0.607,1.864,1.288,1.205,0.0
Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.0,1.974,0.935,0.446,2.49,1.083,0.27,0.686,0.275,0.475,0.202,0.508,0.322,0.452,0.0
Air Taxis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.0,0.0,0.415,0.0,0.541,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Airlines,0.0,0.0,0.0,0.0,2.381,0.0,0.0,0.0,0.0,0.0,0.0,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.202,0.169,0.0,0.151,0.0
Airplanes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.361,0.27,0.229,0.275,0.475,0.202,0.0,0.0,0.0,0.0
Alternative Battery Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alternative Fuels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.0
Analytics,0.0,0.0,0.0,0.0,2.381,6.349,4.762,6.04,8.163,5.263,2.336,2.232,1.245,2.527,2.162,2.288,2.889,4.43,5.061,3.22,2.576,0.602,0.0
Anti-Aging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415,1.083,0.0,0.0,0.413,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.0,0.658,0.0,0.0,0.0,0.0,0.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Architecture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.0,0.169,0.322,0.151,0.0
Art Trading Platforms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138,0.0,0.0,0.0,0.0,0.0,0.0
Artificial Intelligence,0.0,0.0,0.0,2.326,2.381,0.0,0.0,0.671,2.041,3.289,4.673,8.482,11.203,9.025,7.838,7.78,11.967,15.506,27.126,34.068,29.952,20.783,0.0
Assistive Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446,0.415,1.083,0.0,0.0,0.138,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Reality,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.0,1.02,1.316,0.935,0.0,1.245,1.805,0.811,0.229,0.275,0.158,0.0,0.169,0.161,0.0,0.0
Auto Commerce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446,0.0,0.0,0.27,0.229,0.138,0.158,0.0,0.0,0.0,0.0,0.0
Automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.013,1.02,1.316,0.0,0.446,0.83,0.722,0.27,0.686,0.688,0.633,3.036,3.898,2.576,2.56,0.0
Automotive,0.0,0.0,0.0,0.0,2.381,0.0,0.952,1.342,0.0,0.658,0.0,0.446,0.83,0.0,0.0,0.0,0.0,0.475,0.405,1.356,0.161,0.301,0.0
Autonomous Delivery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.0,0.893,0.415,0.0,0.0,0.458,0.275,0.0,0.0,0.0,0.0,0.0,0.0
Autonomous Shipping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.0,0.0
Autonomous Trucking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893,0.415,0.722,0.541,0.458,0.275,0.0,0.0,0.0,0.0,0.0,0.0
B2B,0.0,0.0,3.125,0.0,2.381,0.0,6.667,7.383,5.102,8.553,6.075,4.464,8.714,8.664,12.432,23.799,24.759,30.222,30.162,23.729,20.612,11.898,100.0
Banking as a Service,0.0,0.0,0.0,0.0,2.381,0.0,0.0,0.0,0.0,0.0,0.935,0.0,1.66,0.722,0.541,0.686,0.413,1.266,0.202,0.0,0.0,0.0,0.0
Batteryless IoT Sensors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beauty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.935,0.893,0.0,0.361,0.27,0.0,0.413,0.0,0.0,0.0,0.161,0.0,0.0
Big Data,0.0,0.0,0.0,0.0,0.0,0.0,0.952,1.342,1.02,0.0,0.0,0.446,0.415,0.0,0.27,0.229,0.413,0.158,0.405,0.847,0.966,0.602,0.0
Billing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138,0.158,0.405,0.169,0.0,0.0,0.0
Biometrics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.658,0.0,0.0,0.415,0.0,0.0,0.229,0.138,0.158,0.0,0.0,0.161,0.0,0.0
Bioplastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467,0.0,0.0,0.0,0.0,0.229,0.0,0.158,0.0,0.0,0.0,0.0,0.0
Biotech,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.671,0.0,1.316,2.804,2.232,1.245,5.776,1.622,3.432,2.751,2.848,2.632,3.22,1.771,1.807,0.0
Biotechnology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.0,0.446,0.415,0.361,0.27,0.229,0.275,0.316,0.0,0.169,0.483,0.452,0.0
Blockchain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467,0.0,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Booking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.0,0.0,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.0,0.0
COVID-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415,0.361,0.0,0.229,0.0,0.158,0.0,0.0,0.0,0.0,0.0
CRISPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.458,0.0,0.0,0.0,0.0,0.161,0.0,0.0
CRM,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.671,0.0,1.316,0.0,0.0,0.415,0.0,1.081,0.229,0.138,0.316,0.607,0.339,0.483,0.0,0.0
Calendar,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.0,0.0,0.0,0.0,0.415,0.361,0.0,0.229,0.138,0.0,0.0,0.0,0.0,0.0,0.0
Call Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.0,0.847,0.161,0.0,0.0
Cannabis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.402,0.0,0.0,0.361,0.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Capture and Removal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467,0.0,0.415,0.0,0.27,0.229,0.688,0.475,0.0,0.0,0.0,0.0,0.0
Careers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415,0.361,0.27,0.0,0.0,0.158,0.0,0.0,0.0,0.151,0.0
Cashierless Checkout,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.0,0.0,0.0,0.467,0.446,0.0,0.361,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0
Cell Therapy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415,0.0,0.27,0.0,0.0,0.316,0.202,0.0,0.0,0.0,0.0
Cellular Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.0,0.0,0.0,0.722,0.27,0.0,0.0,0.316,0.0,0.0,0.0,0.0,0.0
Chat,0.0,0.0,0.0,0.0,2.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415,0.0,0.0,0.0,0.138,0.0,0.0,0.0,0.322,0.151,0.0
Chatbot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722,0.27,0.229,0.275,0.158,0.405,0.0,0.0,0.0,0.0
Chatbots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.0,0.0,0.0
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467,0.0,0.415,0.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Civic Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467,0.446,0.415,0.722,0.27,0.0,0.0,0.0,0.0,0.339,0.0,0.0,0.0
Clean Meat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0
Climate,0.0,0.0,0.0,2.326,0.0,0.0,0.0,0.0,0.0,2.632,3.271,2.679,3.734,2.166,3.514,3.204,4.402,4.272,2.632,1.356,0.0,0.151,0.0
ClimateTech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467,0.446,0.83,0.722,0.541,0.229,0.688,0.949,1.012,0.339,0.483,0.301,0.0
Cloud Computing,0.0,0.0,0.0,0.0,2.381,0.0,0.952,2.013,1.02,0.658,0.467,0.893,0.83,0.0,0.27,0.229,0.413,1.108,1.012,1.356,1.288,1.054,0.0
Cloud Gaming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467,0.0,0.0,0.0,0.0,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloud Workload Protection,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.0,0.0,0.0,0.0,0.0,0.0,0.361,0.0,0.229,0.275,0.0,0.0,0.0,0.0,0.0,0.0
Coding Bootcamps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collaboration,0.0,5.882,0.0,0.0,0.0,1.587,2.857,2.685,2.041,0.0,1.402,0.0,0.0,1.444,1.892,0.229,0.688,0.949,1.012,0.339,0.0,0.0,0.0
Commercial Space Launch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361,0.541,0.229,0.138,0.158,0.0,0.0,0.0,0.0,0.0
Community,11.111,0.0,9.375,0.0,0.0,3.175,0.952,0.671,0.0,1.974,0.467,1.786,0.415,1.083,2.162,1.144,2.613,0.791,0.0,0.0,0.161,0.0,0.0
Compliance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.467,0.446,0.415,0.361,0.541,0.915,0.825,2.373,2.429,2.034,2.254,0.602,0.0
Computational Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,0.0,0.0,0.0,0.0,0.0,1.587,0.952,1.342,0.0,0.658,2.804,1.786,1.66,1.083,1.351,1.373,1.238,0.633,1.215,1.525,1.61,1.054,0.0
Construction,0.0,0.0,0.0,0.0,2.381,0.0,0.0,0.671,1.02,0.0,1.402,0.893,1.245,0.722,1.351,1.373,1.238,2.057,1.215,1.186,0.805,1.657,0.0
Consumer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.013,0.0,2.632,0.935,2.232,1.66,4.332,3.784,1.831,3.576,9.177,4.049,7.288,5.475,2.41,0.0
Consumer Finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361,0.27,0.686,0.688,0.475,0.81,1.017,1.127,0.602,0.0
Consumer Health Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,1.02,0.658,2.804,1.786,3.32,1.805,1.892,2.059,4.677,2.057,1.619,1.186,0.483,0.301,0.0
Consumer Products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446,0.0,0.722,0.27,0.0,0.275,0.158,0.202,0.0,0.483,0.151,0.0
Conversational AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467,0.0,0.0,1.083,0.0,0.229,0.413,0.633,1.215,1.864,2.415,0.301,0.0
Conversational Banking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202,0.0,0.0,0.0,0.0
Creator Economy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467,0.446,0.415,0.361,0.541,1.373,0.688,1.266,0.607,0.339,0.805,0.301,0.0
Crowdfunding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.013,2.041,1.974,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crowdsourcing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415,0.361,0.27,0.0,0.0,0.0,0.0,0.0,0.161,0.151,0.0
Crypto / Web3,0.0,0.0,0.0,0.0,2.381,0.0,0.0,0.671,0.0,2.632,0.467,0.0,1.245,2.888,1.892,1.144,2.201,4.589,1.215,0.678,0.644,0.602,0.0
Cryptocurrency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446,0.0,0.0,0.0,0.0,0.138,0.791,0.405,0.0,0.161,0.151,0.0
Cryptography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446,0.0,0.0,0.0,0.0,0.0,0.316,0.0,0.0,0.0,0.0,0.0
Cultivated Meat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Culture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361,0.0,0.0,0.138,0.0,0.0,0.0,0.0,0.151,0.0
Cultured Meat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.158,0.0,0.0,0.0,0.0,0.0
Customer Service,0.0,0.0,0.0,0.0,2.381,0.0,0.952,0.671,0.0,0.0,0.0,0.893,1.245,0.361,0.27,0.0,0.275,0.316,0.607,0.678,0.322,0.151,0.0
Customer Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.0,0.0,0.0,0.446,0.0,0.0,0.27,0.0,0.55,0.633,1.417,0.678,0.644,0.151,0.0
Customer Support,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446,0.0,0.0,0.541,0.0,0.275,0.791,1.822,1.186,0.483,0.151,0.0
Customization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.0,0.0,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyber Insurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cybersecurity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.869,0.893,0.0,0.361,1.081,0.686,0.55,0.158,1.215,0.847,1.771,1.054,0.0
DAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316,0.0,0.0,0.0,0.0,0.0
Data Engineering,0.0,0.0,0.0,2.326,0.0,0.0,0.952,0.0,3.061,0.0,1.402,0.446,0.415,0.361,1.892,3.204,2.063,3.006,2.227,1.864,1.127,1.807,0.0
Data Labeling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.138,0.475,0.202,0.339,0.966,0.753,0.0
Data Science,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.0,0.0,0.0,0.935,0.446,0.415,0.0,0.27,0.458,0.138,0.158,1.215,1.356,0.805,0.452,0.0
Data Visualization,0.0,0.0,0.0,0.0,2.381,1.587,0.0,0.671,1.02,0.0,0.0,0.0,0.0,0.0,0.541,0.915,0.413,0.0,1.619,1.017,0.483,0.0,0.0
Databases,0.0,0.0,0.0,0.0,2.381,0.0,1.905,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.458,0.275,0.316,1.012,0.508,0.805,0.151,0.0
Dating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342,0.0,0.658,0.0,0.0,0.83,0.0,0.0,0.0,0.138,0.0,0.0,0.0,0.0,0.0,0.0
DeFi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541,0.0,0.413,1.108,0.0,0.0,0.0,0.0,0.0
Deep Learning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,1.402,0.893,0.415,2.166,1.081,0.686,0.688,0.158,0.607,0.678,0.161,1.506,0.0
Deepfake Detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0
Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.0,0.658,0.0,0.446,0.0,0.0,0.27,0.0,0.55,0.158,0.0,0.847,0.644,1.657,0.0
Delivery,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.671,3.061,1.316,0.935,1.786,1.66,0.361,1.622,1.831,1.651,1.108,0.405,0.169,0.0,0.0,0.0
Dental,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361,0.0,0.0,0.0,0.0,0.0,0.339,0.322,0.0,0.0
Design,0.0,0.0,0.0,0.0,0.0,3.175,0.0,2.013,1.02,0.0,0.0,0.0,0.0,0.722,0.0,0.229,0.275,0.158,0.607,0.508,1.61,0.301,0.0
Design Tools,0.0,0.0,0.0,0.0,0.0,1.587,0.952,1.342,0.0,0.0,1.869,0.893,0.0,2.888,1.081,1.144,1.238,0.475,1.215,1.017,0.805,0.151,0.0
DevOps,0.0,0.0,0.0,2.326,0.0,3.175,0.952,1.342,2.041,1.316,0.935,0.446,0.415,0.0,0.27,1.373,0.413,0.316,1.619,1.186,0.966,0.602,0.0
DevSecOps,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.671,0.0,0.658,1.869,0.0,0.83,0.361,1.081,1.144,0.413,0.791,0.607,0.0,0.322,0.151,0.0
Developer Tools,0.0,0.0,0.0,2.326,2.381,0.0,6.667,5.369,4.082,2.632,6.075,3.571,2.905,4.693,8.649,10.984,9.216,9.177,16.397,13.729,11.755,6.325,0.0
Diagnostics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.0,1.316,0.935,1.786,1.245,0.722,0.27,0.915,0.688,0.633,0.405,0.339,0.0,0.0,0.0
Digital Freight Brokerage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458,0.0,0.0,0.0,0.0,0.0,0.151,0.0
Digital Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.974,1.402,0.893,2.49,2.527,2.432,1.831,2.889,3.165,2.024,2.203,1.449,0.602,0.0
Diversity & Inclusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446,0.0,0.361,0.0,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Documents,0.0,0.0,3.125,0.0,0.0,1.587,1.905,0.0,0.0,0.0,0.467,0.893,0.415,0.722,0.0,0.458,0.55,0.633,1.012,0.678,0.644,0.151,0.0
Drones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,1.02,0.658,1.402,0.446,0.83,1.083,0.541,0.458,0.275,0.316,0.202,0.339,0.322,1.355,0.0
Drug Delivery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722,0.27,0.0,0.0,0.158,0.202,0.0,0.161,0.0,0.0
Drug discovery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.935,0.446,0.415,0.0,1.351,0.915,0.688,0.791,0.607,1.017,0.161,0.151,0.0
E-Commerce,0.0,5.882,0.0,2.326,0.0,0.0,4.762,3.356,4.082,1.316,1.869,2.232,1.245,0.722,1.081,0.229,0.275,0.158,0.0,0.0,0.0,0.0,0.0
E-commerce,0.0,0.0,0.0,0.0,0.0,1.587,1.905,2.685,6.122,3.947,3.271,3.571,2.075,3.61,4.054,4.577,6.052,5.063,2.024,1.864,1.127,0.602,0.0
Edge Computing Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.169,0.161,0.151,0.0
Edtech,0.0,5.882,0.0,0.0,0.0,0.0,0.0,0.671,1.02,0.0,0.0,0.446,0.0,0.0,0.27,0.229,0.55,0.158,0.607,0.508,0.483,0.0,0.0
Education,0.0,0.0,0.0,0.0,2.381,1.587,5.714,4.698,6.122,4.605,1.869,3.571,3.734,3.971,4.595,3.661,4.402,1.741,1.215,1.186,2.093,0.301,0.0
Election Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electric Vehicles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.0,0.0,0.0,0.893,0.415,0.0,0.811,0.915,0.688,0.633,0.405,0.0,0.161,0.0,0.0
Electronics,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229,0.0,0.158,0.0,0.339,0.805,0.301,0.0
Email,0.0,0.0,0.0,2.326,2.381,3.175,1.905,1.342,0.0,1.316,0.0,0.893,0.415,0.0,0.0,0.229,0.413,0.316,0.0,0.678,0.483,0.0,0.0
Emerging Markets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893,0.0,0.0,0.27,0.0,0.138,0.0,0.202,0.339,0.161,0.151,0.0
Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,1.402,1.786,0.415,0.361,0.541,0.229,0.963,1.266,1.012,0.847,0.644,1.657,0.0
Energy Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.0,0.0,0.83,0.0,0.27,0.229,0.275,0.316,0.202,0.339,0.161,0.0,0.0
Enterprise,0.0,0.0,0.0,0.0,0.0,1.587,1.905,2.013,2.041,0.658,0.935,2.232,0.415,1.083,0.811,1.602,1.1,3.165,4.453,2.373,1.61,1.355,0.0
Enterprise Software,0.0,0.0,0.0,0.0,0.0,1.587,0.952,0.0,0.0,1.316,0.935,1.339,0.0,1.083,1.081,0.915,1.1,2.373,4.049,3.898,3.543,3.614,0.0
Entertainment,0.0,0.0,0.0,0.0,0.0,0.0,0.952,1.342,0.0,0.0,0.467,1.339,1.245,1.805,0.541,2.059,0.413,1.266,0.81,1.017,0.483,0.301,0.0
Exascale Computing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.0
Fashion,0.0,0.0,0.0,0.0,0.0,0.0,0.952,2.013,3.061,0.658,0.467,0.893,0.415,0.0,1.081,0.458,0.0,0.158,0.202,0.0,0.0,0.0,0.0
Feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138,0.0,0.0,0.678,0.0,0.0,0.0
