tag,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Assistive Tech,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0
Augmented Reality,0,0,0,0,0,0,1,0,1,2,2,0,3,5,3,1,2,1,0,1,1,0,0
Auto Commerce,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
Automation,0,0,0,0,0,0,0,3,1,2,0,1,2,2,1,3,5,4,15,23,16,17,0
Automotive,0,0,0,0,1,0,1,2,0,1,0,1,2,0,0,0,0,3,2,8,1,2,0
Autonomous Delivery,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,2,0,0,0,0,0,0
Autonomous Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Autonomous Trucking,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,2,0,0,0,0,0,0
B2B,0,0,1,0,1,0,7,11,5,13,13,10,21,24,46,104,180,191,149,140,128,79,1
Banking as a Service,0,0,0,0,1,0,0,0,0,0,2,0,4,2,2,3,3,8,1,0,0,0,0
Batteryless IoT Sensors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Beauty,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,0,3,0,0,0,1,0,0
Big Data,0,0,0,0,0,0,1,2,1,0,0,1,1,0,1,1,3,1,2,5,6,4,0
Billing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0
Biometrics,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0
Bioplastic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Biotech,0,0,0,0,0,0,1,1,0,2,6,5,3,16,6,15,20,18,13,19,11,12,0
Biotechnology,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,2,2,0,1,3,3,0
Blockchain,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Booking,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
COVID-19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
CRISPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
CRM,0,0,0,0,0,0,1,1,0,2,0,0,1,0,4,1,1,2,3,2,3,0,0
Calendar,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Call Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,1,0,0
Cannabis,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0
Carbon Capture and Removal,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,3,0,0,0,0,0
Careers,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0
Cashierless Checkout,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
Cell Therapy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0
Cellular Agriculture,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0
Chat,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0
Chatbot,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,2,0,0,0,0
Chatbots,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
China,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Civic Tech,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,2,0,0,0
Clean Meat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Climate,0,0,0,1,0,0,0,0,0,4,7,6,9,6,13,14,32,27,13,8,0,1,0
ClimateTech,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,5,6,5,2,3,2,0
Cloud Computing,0,0,0,0,1,0,1,3,1,1,1,2,2,0,1,1,3,7,5,8,8,7,0
Cloud Gaming,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Cloud Workload Protection,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0
Coding Bootcamps,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collaboration,0,1,0,0,0,1,3,4,2,0,3,0,0,4,7,1,5,6,5,2,0,0,0
Commercial Space Launch,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0
Community,1,0,3,0,0,2,1,1,0,3,1,4,1,3,8,5,19,5,0,0,1,0,0
Compliance,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,6,15,12,12,14,4,0
Computational Storage,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Computer Vision,0,0,0,0,0,1,1,2,0,1,6,4,4,3,5,6,9,4,6,9,10,7,0
Construction,0,0,0,0,1,0,0,1,1,0,3,2,3,2,5,6,9,13,6,7,5,11,0
Consumer,0,0,0,0,0,0,0,3,0,4,2,5,4,12,14,8,26,58,20,43,34,16,0
Consumer Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,3,4,6,7,4,0
Consumer Health Services,0,0,0,0,0,0,0,1,1,1,6,4,8,5,7,9,34,13,8,7,3,2,0
Consumer Products,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,1,1,0,3,1,0
Conversational AI,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,3,4,6,11,15,2,0
Conversational Banking,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Creator Economy,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,6,5,8,3,2,5,2,0
Crowdfunding,0,0,0,0,0,0,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Crowdsourcing,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
Crypto / Web3,0,0,0,0,1,0,0,1,0,4,1,0,3,8,7,5,16,29,6,4,4,4,0
Cryptocurrency,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,2,0,1,1,0
Cryptography,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
Cultivated Meat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Culture,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Cultured Meat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Customer Service,0,0,0,0,1,0,1,1,0,0,0,2,3,1,1,0,2,2,3,4,2,1,0
Customer Success,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,4,4,7,4,4,1,0
Customer Support,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,5,9,7,3,1,0
Customization,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cyber Insurance,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cybersecurity,0,0,0,0,0,0,0,0,0,0,4,2,0,1,4,3,4,1,6,5,11,7,0
DAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Data Engineering,0,0,0,1,0,0,1,0,3,0,3,1,1,1,7,14,15,19,11,11,7,12,0
Data Labeling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2,6,5,0
Data Science,0,0,0,0,0,0,1,0,0,0,2,1,1,0,1,2,1,1,6,8,5,3,0
Data Visualization,0,0,0,0,1,1,0,1,1,0,0,0,0,0,2,4,3,0,8,6,3,0,0
Databases,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,2,2,2,5,3,5,1,0
Dating,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0
DeFi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,7,0,0,0,0,0
Deep Learning,0,0,0,0,0,0,0,0,0,1,3,2,1,6,4,3,5,1,3,4,1,10,0
Deepfake Detection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Defense,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,4,1,0,5,4,11,0
Delivery,0,0,0,0,0,0,1,1,3,2,2,4,4,1,6,8,12,7,2,1,0,0,0
Dental,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0
Design,0,0,0,0,0,2,0,3,1,0,0,0,0,2,0,1,2,1,3,3,10,2,0
Design Tools,0,0,0,0,0,1,1,2,0,0,4,2,0,8,4,5,9,3,6,6,5,1,0
DevOps,0,0,0,1,0,2,1,2,2,2,2,1,1,0,1,6,3,2,8,7,6,4,0
DevSecOps,0,0,0,0,0,0,1,1,0,1,4,0,2,1,4,5,3,5,3,0,2,1,0
Developer Tools,0,0,0,1,1,0,7,8,4,4,13,8,7,13,32,48,67,58,81,81,73,42,0
Diagnostics,0,0,0,0,0,0,0,1,0,2,2,4,3,2,1,4,5,4,2,2,0,0,0
Digital Freight Brokerage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
Digital Health,0,0,0,0,0,0,0,0,1,3,3,2,6,7,9,8,21,20,10,13,9,4,0
Diversity & Inclusion,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Documents,0,0,1,0,0,1,2,0,0,0,1,2,1,2,0,2,4,4,5,4,4,1,0
Drones,0,0,0,0,0,0,0,1,1,1,3,1,2,3,2,2,2,2,1,2,2,9,0
Drug Delivery,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,0
Drug discovery,0,0,0,0,0,0,0,0,0,0,2,1,1,0,5,4,5,5,3,6,1,1,0
E-Commerce,0,1,0,1,0,0,5,5,4,2,4,5,3,2,4,1,2,1,0,0,0,0,0
E-commerce,0,0,0,0,0,1,2,4,6,6,7,8,5,10,15,20,44,32,10,11,7,4,0
Edge Computing Semiconductors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
Edtech,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,4,1,3,3,3,0,0
Education,0,0,0,0,1,1,6,7,6,7,4,8,9,11,17,16,32,11,6,7,13,2,0
Election Tech,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Electric Vehicles,0,0,0,0,0,0,0,1,0,0,0,2,1,0,3,4,5,4,2,0,1,0,0
Electronics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,5,2,0
Email,0,0,0,1,1,2,2,2,0,2,0,2,1,0,0,1,3,2,0,4,3,0,0
Emerging Markets,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,2,1,1,0
Energy,0,0,0,0,0,0,0,0,0,1,3,4,1,1,2,1,7,8,5,5,4,11,0
Energy Storage,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,2,2,1,2,1,0,0
Enterprise,0,0,0,0,0,1,2,3,2,1,2,5,1,3,3,7,8,20,22,14,10,9,0
Enterprise Software,0,0,0,0,0,1,1,0,0,2,2,3,0,3,4,4,8,15,20,23,22,24,0
Entertainment,0,0,0,0,0,0,1,2,0,0,1,3,3,5,2,9,3,8,4,6,3,2,0
Exascale Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fashion,0,0,0,0,0,0,1,3,3,1,1,2,1,0,4,2,0,1,1,0,0,0,0
Feedback,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0
Femtech,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0
Fertility Tech,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0
FinOps,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,9,5,5,2,4,1,0
Finance,0,0,0,0,0,0,1,1,0,0,1,1,3,1,6,6,8,8,17,19,12,15,0
Fintech,0,0,1,0,2,2,5,7,5,15,22,20,28,32,54,80,139,145,56,42,26,24,0
Fitness,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,5,5,0,2,3,0,0,0
Food,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,3,1,1,0,0,0,0
Food & Beverage,0,0,0,0,0,1,1,0,1,4,2,2,1,4,2,2,3,0,3,2,1,1,0
Food Service Robots & Machines,0,0,0,0,0,1,0,0,0,0,3,0,2,1,0,0,3,0,0,0,0,0,0
Food Tech,0,0,0,0,0,0,2,1,0,0,3,2,4,3,7,4,7,11,2,1,1,0,0
Fraud Detection,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,2,1,0,1,0
Fraud Prevention,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0
Fundraising,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Furniture,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0
Fusion Energy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
Gaming,0,1,1,2,0,1,3,4,0,5,1,2,5,7,11,7,7,14,4,4,3,6,0
Gardening,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gene Therapy,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,1,2,1,2,1,1,0
Generative AI,0,0,0,0,0,0,0,0,0,1,1,0,3,6,6,11,19,35,78,50,33,12,0
Genetic Engineering,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
Genomics,0,0,0,0,0,0,0,0,0,1,0,2,4,2,8,4,3,2,0,0,1,1,0
Geographic Information System,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,1,0
Ghost Kitchens,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,6,1,0,0,0,0,0
GovTech,0,0,0,0,0,0,0,0,0,1,3,2,6,4,4,0,6,5,2,5,9,6,0
GraphQL,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Grocery,0,0,0,0,0,0,1,1,0,0,0,3,1,3,4,4,9,2,3,0,1,0,0
HR Tech,0,0,0,0,0,0,0,3,1,1,6,1,4,3,4,7,12,11,8,6,4,3,0
Hard Tech,0,0,0,0,0,0,0,2,0,2,0,5,3,3,7,6,20,13,4,14,17,36,0
Hardware,0,0,0,0,1,0,1,3,5,3,8,9,11,8,15,6,12,12,3,9,25,29,0
Health & Wellness,0,0,0,0,0,1,0,0,1,4,1,1,0,2,1,7,12,2,3,2,6,6,0
Health Insurance,0,0,0,0,0,0,0,3,1,0,0,0,1,1,1,3,4,0,7,2,3,2,0
Health Tech,0,0,0,0,0,0,2,2,2,6,7,8,11,9,11,18,17,20,22,16,17,5,0
Healthcare,0,0,0,0,0,0,2,3,2,1,7,8,11,12,6,16,25,27,33,27,18,13,0
Healthcare IT,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,5,4,10,4,7,3,0
Home Automation,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0
Home Services,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,2,3,3,4,0
Housing,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,3,3,1,0,1,1,1,0
Human Resources,0,0,0,0,0,0,0,1,0,1,2,0,0,3,2,1,4,4,0,2,0,2,0
Hydrogen Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Identity,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,3,7,0,1,0,1,0
Immigration,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,2,0,0
Income Share Agreements,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,2,2,8,3,5,7,3,4,1,0,0,0,0
Indoor Mapping,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Industrial,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,7,13,9,0
Industrial Workplace Safety,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0
Infrastructure,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,10,9,18,23,32,35,0
Insurance,0,0,0,0,0,0,1,0,0,0,2,4,8,3,5,3,8,15,5,11,7,11,1
International,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,0
Investing,0,0,1,0,0,0,1,2,1,2,5,0,4,2,3,2,6,8,6,7,5,9,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1,0
IoT,0,0,0,0,1,0,1,2,2,6,2,6,6,3,5,3,4,2,0,0,0,1,0
IoT Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Kids,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,3,2,0,0,0,0,0,0
Kubernetes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,1,3,2,0,0,1,0
Lab-on-a-chip,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Latin America,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,5,4,2,1,1,0,0,0
Legal,0,0,0,0,0,0,1,0,2,0,0,0,1,3,2,0,2,3,4,9,10,3,0
LegalTech,0,0,0,0,0,0,1,0,2,1,4,1,0,2,5,3,6,6,4,11,9,3,0
Lending,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,4,0,3,1,1,0
Lidar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Live,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,1,0,0,0
Livestock Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Location-based,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Logistics,0,0,0,0,0,0,0,1,4,5,6,6,5,9,11,9,13,20,12,11,11,10,0
ML,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,3,3,3,3,4,0
Machine Learning,0,0,0,0,1,0,2,1,0,7,7,6,10,13,15,27,30,35,23,22,22,15,0
Manufacturing,0,0,0,0,0,0,0,2,1,0,3,2,4,2,3,3,6,11,6,15,22,19,0
Maritime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
Market Research,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,2,2,5,3,0
Marketing,0,0,1,0,0,4,3,5,2,3,1,3,2,0,7,3,8,17,16,15,14,6,0
Marketplace,0,1,0,1,5,4,12,8,12,14,16,20,22,14,23,30,53,37,13,8,8,6,0
Media,0,1,1,2,0,3,0,4,0,2,2,2,2,2,3,1,3,2,4,6,2,0,0
Medical Devices,0,0,0,0,0,0,0,0,1,0,7,5,3,9,6,6,14,10,3,1,1,1,0
Medical Robotics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0
Mental Health,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0,0,0,1,1,0
Mental Health Tech,0,0,0,0,0,0,0,0,1,1,0,3,2,4,1,5,10,7,2,0,0,0,0
Messaging,0,0,2,0,0,1,4,6,1,3,3,4,3,2,2,3,2,4,0,2,0,1,0
Metaverse,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,2,0,0,0,0,0
Microfluidics,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0
Microinsurance,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Mining,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,0,0,0
Mobility,0,0,0,0,0,0,0,1,1,0,1,2,0,2,1,1,2,1,0,1,0,0,0
Monitoring,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,3,3,2,2,0
Music,0,1,1,2,1,0,2,1,2,0,0,1,2,0,0,1,1,2,0,2,1,0,0
NFT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
NLP,0,0,0,0,0,0,0,0,0,2,0,1,5,0,3,0,3,4,1,1,1,0,0
Nanomedicine,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0
Nanosensors,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0
Nanotechnology,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,1,2,0,0,0,0
Navigation,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
Neobank,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,3,7,22,6,3,5,1,0
Networks,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
Neurotechnology,0,0,0,0,0,0,0,0,1,1,0,0,1,3,3,0,3,3,0,1,1,1,0
Next-gen Network Security,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0
No-code,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,6,6,4,6,5,0,0
Nonprofit,0,0,0,0,0,0,0,1,0,3,5,3,4,1,3,2,2,2,0,0,0,0,0
Note-taking,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
Notifications,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Oncology,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,1,2,4,2,5,0,2,0
Open Source,0,0,0,0,1,1,2,1,2,2,4,1,0,4,8,17,21,24,32,19,21,10,0
Operations,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,3,4,12,8,4,0
Payments,0,0,0,1,0,0,4,2,4,4,6,3,6,4,12,9,23,33,20,9,4,2,0
Payroll,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,2,2,4,2,0,1,0
Pediatrics,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
Personalization,0,0,0,0,0,0,0,1,0,1,1,2,1,0,1,1,0,0,0,1,1,3,0
Plant-based Meat,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Podcasts,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0
Primary Care,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,1,0,0,0,0,0
Privacy,0,0,0,0,0,0,0,2,0,2,0,3,0,0,1,0,3,3,2,2,1,1,0
Procurement,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,0,1,3,1,2,0
Productivity,0,1,1,0,1,3,4,3,3,2,2,3,3,3,10,14,20,26,19,23,20,7,0
Proptech,0,0,0,1,0,0,1,1,0,1,3,2,4,1,5,7,15,21,10,8,4,0,0
Psychedelics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Quantum Computing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
Radar,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Real Estate,0,0,0,0,1,2,3,1,2,1,3,4,4,4,8,3,6,17,7,8,5,5,0
Recommendation System,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Recruiting,0,0,0,0,0,1,2,1,2,0,3,1,8,2,11,6,13,4,3,3,5,4,0
Referrals,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Regtech,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,4,3,1,2,0
Reinforcement Learning,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,5,16,18,0
Remittances,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0
Remote,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,2,0,0,0,0,0,0
