subindustry,Summer 2005,Winter 2006,Summer 2006,Winter 2007,Summer 2007,Winter 2008,Summer 2008,Winter 2009,Summer 2009,Winter 2010,Summer 2010,Winter 2011,Summer 2011,Winter 2012,Summer 2012,Winter 2013,Summer 2013,Winter 2014,Summer 2014,Winter 2015,Summer 2015,Winter 2016,Summer 2016,Winter 2017,Summer 2017,Winter 2018,Summer 2018,Winter 2019,Summer 2019,Winter 2020,Summer 2020,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
B2B -> Productivity,11.111,0.0,20.0,7.692,10.526,14.286,4.545,12.5,0.0,0.0,13.889,11.111,6.667,9.091,8.434,6.522,5.769,4.054,2.564,4.545,0.962,4.918,2.941,5.172,2.4,3.425,3.817,3.608,1.705,3.947,5.263,3.571,2.302,2.764,4.274,1.825,4.545,2.823,4.032,3.191,4.217,2.797,4.217,1.37,3.015,4.103,1.702,2.857,0.0
B2B -> Recruiting and Talent,0.0,0.0,0.0,0.0,0.0,9.524,4.545,0.0,0.0,0.0,0.0,0.0,1.667,3.03,2.41,2.174,1.923,0.0,0.0,1.818,5.769,1.639,0.0,1.724,4.0,2.74,0.763,3.608,2.841,1.754,0.957,1.786,0.512,0.503,0.855,0.0,0.909,0.403,0.0,1.064,3.012,0.0,0.0,0.0,0.503,1.538,0.426,0.0,0.0
B2B -> Retail,0.0,0.0,0.0,0.0,0.0,0.0,4.545,0.0,7.692,14.815,2.778,11.111,0.0,1.515,1.205,10.87,7.692,5.405,2.564,5.455,2.885,4.098,4.902,2.586,2.4,2.055,2.29,1.546,2.273,4.386,4.306,2.679,1.279,1.256,0.427,1.095,2.273,0.403,2.016,1.064,0.0,1.399,0.602,0.685,0.0,0.513,0.426,0.0,0.0
B2B -> Sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.704,0.0,2.222,3.333,0.0,3.614,0.0,0.0,4.054,3.846,0.0,0.962,3.279,1.961,2.586,0.8,0.685,0.763,2.577,0.568,2.193,3.349,1.488,2.046,2.01,4.701,4.015,5.0,3.226,1.21,4.255,3.012,1.399,3.012,2.74,1.005,1.026,0.851,0.0,0.0
B2B -> Security,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,0.0,0.0,0.0,0.0,0.0,0.0,2.727,4.808,3.279,0.98,1.724,2.4,3.425,0.0,1.546,2.273,1.316,2.392,1.19,2.302,2.513,0.855,2.92,2.727,2.016,1.613,1.064,1.205,5.594,1.807,2.055,3.015,1.538,2.979,0.0,0.0
B2B -> Supply Chain and Logistics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,2.174,3.846,2.703,1.282,2.727,2.885,1.639,1.961,1.724,0.8,1.37,2.29,4.639,1.705,3.947,1.914,2.976,2.302,3.015,1.282,1.825,3.182,2.419,3.226,1.064,0.602,2.797,3.614,0.685,1.508,1.538,3.404,0.0,0.0
Consumer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.704,0.0,0.0,0.0,0.0,2.41,0.0,0.0,2.703,0.0,0.0,0.0,0.0,1.961,3.448,1.6,2.055,0.0,2.577,1.136,1.316,0.478,2.083,4.604,3.769,3.419,4.38,2.273,6.452,4.435,7.447,3.012,3.497,5.422,6.849,1.508,3.59,2.553,2.857,0.0
Consumer -> Apparel and Cosmetics,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.444,0.0,3.03,1.205,6.522,3.846,2.703,2.564,0.909,2.885,3.279,2.941,0.0,1.6,1.37,1.527,0.515,2.841,0.877,0.478,0.893,0.256,0.251,0.855,0.365,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumer -> Consumer Electronics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.692,0.0,2.778,2.222,1.667,0.0,2.41,0.0,7.692,5.405,1.282,1.818,0.962,4.098,2.941,0.862,0.8,0.0,0.0,0.0,0.568,0.439,0.478,0.298,0.0,0.503,0.0,0.0,0.0,0.806,0.0,1.064,0.602,0.699,0.0,0.685,1.005,1.026,0.0,5.714,0.0
Consumer -> Content,11.111,14.286,20.0,15.385,21.053,9.524,22.727,6.25,7.692,11.111,2.778,2.222,3.333,6.061,8.434,0.0,1.923,0.0,2.564,1.818,2.885,0.0,1.961,1.724,1.6,4.11,0.0,2.062,2.273,1.316,2.392,1.19,0.767,2.01,0.427,1.46,0.455,2.823,1.21,1.064,0.602,0.0,1.205,2.055,0.0,0.513,0.851,0.0,0.0
Consumer -> Food and Beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,2.222,3.333,1.515,2.41,2.174,3.846,1.351,5.128,1.818,2.885,1.639,0.98,2.586,2.4,4.11,4.58,4.639,0.568,1.754,3.349,2.679,2.558,1.256,2.137,0.365,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857,0.0
Consumer -> Gaming,0.0,0.0,20.0,0.0,5.263,19.048,9.091,12.5,0.0,7.407,8.333,4.444,3.333,3.03,1.205,0.0,0.0,0.0,1.282,0.0,0.962,1.639,0.98,0.0,3.2,2.74,1.527,2.062,1.136,1.754,0.478,0.298,0.512,0.251,1.709,0.365,0.0,0.0,0.806,0.0,0.0,0.699,0.0,1.37,1.508,1.026,0.851,0.0,0.0
Consumer -> Home and Personal,0.0,14.286,10.0,7.692,10.526,0.0,13.636,0.0,7.692,7.407,11.111,8.889,8.333,7.576,7.229,8.696,7.692,5.405,5.128,6.364,7.692,3.279,9.804,5.172,2.4,2.055,0.763,2.577,2.841,1.754,0.957,2.083,0.767,0.251,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumer -> Job and Career Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,1.282,0.909,0.0,0.0,0.0,0.862,1.6,0.0,0.0,0.0,1.136,0.877,0.478,0.893,0.0,0.0,0.427,0.0,0.0,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.513,0.426,0.0,0.0
Consumer -> Social,22.222,14.286,20.0,30.769,21.053,9.524,13.636,25.0,11.538,3.704,16.667,4.444,6.667,6.061,3.614,0.0,1.923,4.054,2.564,3.636,0.962,2.459,3.922,2.586,7.2,3.425,2.29,2.062,1.705,1.754,2.871,0.595,0.256,0.754,0.0,0.0,0.0,0.806,0.0,1.064,0.0,0.0,0.602,0.685,0.0,0.0,0.0,0.0,0.0
Consumer -> Transportation Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,0.0,0.0,3.333,3.03,1.205,2.174,0.0,0.0,3.846,0.909,0.962,0.82,1.961,0.862,1.6,0.685,0.763,0.515,0.568,0.877,0.0,0.298,0.0,0.0,0.427,0.0,0.0,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Consumer -> Travel, Leisure and Tourism",0.0,0.0,0.0,0.0,5.263,0.0,4.545,6.25,3.846,0.0,2.778,0.0,0.0,0.0,2.41,4.348,0.0,2.703,2.564,0.909,2.885,0.0,1.961,0.0,0.8,1.37,0.763,1.546,0.568,0.0,0.478,0.0,0.256,0.251,0.0,0.0,0.909,0.403,0.403,1.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857,0.0
Consumer -> Virtual and Augmented Reality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515,0.0,2.174,1.923,0.0,0.0,0.0,0.962,0.82,1.961,0.862,1.6,2.055,1.527,0.515,0.0,0.0,0.478,0.298,0.0,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,2.778,4.444,5.0,3.03,6.024,0.0,3.846,2.703,0.0,0.0,2.885,1.639,3.922,1.724,4.8,2.74,3.053,3.608,2.841,2.193,1.914,3.869,3.836,2.01,0.427,1.095,1.364,1.21,0.403,1.064,3.012,2.098,1.205,0.0,0.0,0.0,0.426,0.0,0.0
Fintech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.923,0.0,0.0,0.0,2.885,0.0,0.0,0.0,1.6,0.685,1.527,1.546,1.705,0.877,1.914,1.488,5.371,9.548,9.829,5.109,4.091,2.419,1.21,4.255,1.807,0.699,1.807,1.37,4.02,1.538,2.553,0.0,0.0
Fintech -> Asset Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,1.205,2.174,0.0,2.703,2.564,1.818,0.0,1.639,0.0,1.724,0.8,0.685,1.527,1.031,0.0,0.439,0.0,1.19,1.535,1.759,0.855,1.095,0.0,0.806,1.21,0.0,0.0,0.0,0.0,0.0,0.0,2.564,1.277,0.0,0.0
Fintech -> Banking and Exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205,0.0,5.769,1.351,3.846,2.727,0.962,0.82,1.961,1.724,0.8,1.37,2.29,2.062,1.136,3.07,2.871,2.381,1.279,0.754,1.282,0.73,0.0,0.403,0.403,0.0,1.205,1.399,0.0,0.0,1.005,0.513,0.426,0.0,0.0
Fintech -> Consumer Finance,11.111,0.0,0.0,7.692,0.0,0.0,0.0,0.0,0.0,0.0,5.556,2.222,6.667,1.515,1.205,2.174,0.0,0.0,1.282,1.818,0.962,0.82,0.98,1.724,0.8,1.37,1.527,2.062,3.409,2.193,2.392,2.083,2.046,1.759,0.855,1.825,0.455,0.403,0.0,1.064,1.205,0.699,1.205,1.37,1.005,1.538,0.426,0.0,0.0
Fintech -> Credit and Lending,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515,0.0,0.0,0.0,1.351,1.282,0.0,0.962,1.639,2.941,1.724,1.6,0.685,0.763,2.062,2.841,3.509,0.478,3.274,1.79,2.764,0.427,1.095,0.455,0.403,0.403,0.0,0.0,0.699,0.602,0.0,1.005,0.513,0.0,0.0,0.0
Fintech -> Insurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.639,0.0,1.724,3.2,1.37,0.0,1.031,1.705,0.877,0.478,1.488,0.512,2.01,1.282,0.0,0.909,1.21,0.806,1.064,1.807,1.399,1.205,2.055,1.005,2.564,2.128,8.571,0.0
Fintech -> Payments,0.0,0.0,0.0,0.0,0.0,4.762,0.0,0.0,3.846,0.0,0.0,2.222,0.0,4.545,0.0,0.0,0.0,0.0,3.846,1.818,2.885,1.639,0.98,1.724,2.4,1.37,3.053,1.546,3.409,3.07,3.828,3.274,3.581,4.02,3.846,1.825,1.364,1.613,0.806,0.0,1.205,0.0,0.602,0.685,1.005,1.538,0.0,0.0,0.0
Government,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,2.727,0.0,0.82,0.98,0.862,3.2,1.37,0.763,1.031,1.136,0.0,1.435,0.298,0.256,0.251,0.0,0.365,0.0,0.403,1.613,1.064,2.41,1.399,0.602,1.37,0.0,0.513,0.851,2.857,0.0
Healthcare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.174,0.0,2.703,1.282,0.0,0.0,0.0,1.961,0.862,0.0,0.685,0.0,0.515,0.0,0.439,2.392,0.893,2.813,1.508,2.137,1.46,2.273,3.226,2.823,6.383,1.807,2.098,1.807,4.11,2.513,2.564,5.106,0.0,0.0
Healthcare -> Consumer Health and Wellness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205,0.0,5.769,0.0,2.564,5.455,2.885,4.098,0.98,2.586,3.2,1.37,4.58,1.546,3.409,4.825,2.871,2.381,4.092,2.01,1.282,0.365,2.273,1.21,0.403,1.064,0.602,1.399,0.0,1.37,0.503,1.026,0.851,0.0,0.0
Healthcare -> Diagnostics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,2.727,1.923,3.279,1.961,1.724,4.8,0.685,3.053,2.062,0.568,2.193,0.957,0.893,1.79,0.754,0.427,0.365,0.909,0.403,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0
Healthcare -> Drug Discovery and Delivery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.818,1.923,0.82,0.0,1.724,0.0,2.055,1.527,0.0,1.136,3.07,1.914,0.0,2.302,0.503,0.427,2.555,0.909,0.0,0.806,0.0,0.0,0.0,1.205,0.685,2.01,0.513,1.277,0.0,0.0
Healthcare -> Healthcare IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.444,3.333,1.515,2.41,4.348,0.0,0.0,5.128,2.727,1.923,2.459,2.941,3.448,4.0,4.11,4.58,2.577,1.136,0.877,1.914,3.869,0.767,1.508,2.991,2.19,4.091,3.629,2.823,2.128,2.41,2.797,3.012,1.37,2.01,0.513,0.426,0.0,0.0
Healthcare -> Healthcare Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,1.515,1.205,6.522,1.923,0.0,1.282,0.909,1.923,1.639,1.961,2.586,1.6,4.11,3.817,1.031,2.273,0.877,0.957,0.893,0.767,2.01,0.427,0.73,1.364,0.403,0.403,0.0,0.602,1.399,0.0,0.0,1.005,2.051,0.851,0.0,0.0
Healthcare -> Industrial Bio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,1.818,0.0,0.82,0.98,0.862,0.0,0.685,4.58,1.031,1.136,0.877,1.914,0.595,0.256,0.503,0.0,0.365,0.0,0.0,0.806,0.0,0.0,0.0,0.602,0.0,0.0,0.513,0.0,0.0,0.0
Healthcare -> Medical Devices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.727,0.0,2.459,0.0,0.862,0.8,2.055,0.763,0.515,2.273,0.877,1.435,0.893,2.046,1.508,0.427,0.0,0.909,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0
Healthcare -> Therapeutics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.8,3.425,5.344,3.608,1.705,1.754,0.957,1.786,1.535,0.754,2.137,0.365,0.0,2.419,0.806,0.0,1.205,0.0,0.602,0.0,0.0,0.513,0.426,0.0,0.0
Industrials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.568,0.439,0.0,0.298,0.0,0.503,0.427,1.095,0.455,0.0,2.016,0.0,1.205,1.399,1.807,0.0,3.015,0.513,5.957,0.0,0.0
Industrials -> Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515,0.0,0.0,0.0,2.703,1.282,0.0,1.923,1.639,0.0,2.586,1.6,2.055,1.527,0.515,0.568,0.439,0.0,0.0,0.512,0.251,0.0,0.0,0.909,0.0,0.0,0.0,1.205,0.0,0.602,0.0,0.503,0.0,0.426,0.0,0.0
Industrials -> Automotive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351,0.0,0.0,0.962,1.639,0.98,0.862,1.6,0.0,1.527,0.515,0.568,0.877,0.0,0.595,0.256,0.503,0.0,0.0,0.0,0.0,0.0,1.064,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0
Industrials -> Aviation and Space,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.0,2.459,0.98,0.862,2.4,0.0,0.763,1.546,0.568,1.316,0.0,1.786,1.279,0.754,1.709,0.73,0.455,1.613,1.21,3.191,2.41,1.399,0.0,0.685,2.01,1.026,1.277,2.857,0.0
Industrials -> Climate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351,0.0,0.909,1.923,0.0,0.98,0.862,3.2,0.685,0.0,1.546,1.136,1.316,0.957,0.893,1.279,2.513,2.137,0.0,0.455,0.0,1.613,0.0,0.0,0.699,0.0,0.0,0.503,0.0,0.851,0.0,0.0
Industrials -> Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.0,0.0,0.0,0.0,0.0,0.403,0.0,0.0,0.602,0.0,1.205,1.37,1.005,3.077,3.83,0.0,0.0
Industrials -> Drones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205,2.174,0.0,0.0,0.0,0.909,1.923,0.0,1.961,0.862,1.6,0.0,1.527,0.0,0.0,0.439,0.0,0.0,0.512,0.251,0.0,0.0,0.0,0.0,0.806,0.0,0.602,0.0,0.0,0.0,1.005,0.513,0.0,2.857,0.0
Industrials -> Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.564,0.909,1.923,1.639,1.961,0.862,1.6,0.0,0.0,1.031,0.568,0.439,0.957,1.488,0.767,0.503,0.855,0.365,0.455,0.403,0.806,0.0,1.205,0.699,0.0,0.685,3.015,1.026,1.277,2.857,0.0
Industrials -> Manufacturing and Robotics,0.0,0.0,0.0,15.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515,0.0,0.0,0.0,1.351,3.846,0.0,0.962,0.82,1.961,3.448,0.8,2.74,1.527,2.577,2.841,2.193,0.957,1.488,0.512,0.754,0.855,0.0,0.0,1.613,3.629,1.064,4.217,6.294,4.217,6.849,3.015,6.667,10.213,14.286,0.0
Real Estate and Construction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.136,0.0,0.0,0.0,0.0,1.005,1.282,0.73,0.909,0.0,0.806,1.064,0.0,0.0,1.807,0.0,1.005,1.026,0.0,0.0,0.0
Real Estate and Construction -> Construction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515,0.0,0.0,0.0,0.0,0.0,1.818,0.962,0.82,1.961,0.0,1.6,0.685,0.0,0.515,1.705,1.316,0.957,0.595,1.023,1.005,0.855,0.365,1.364,0.806,0.0,3.191,1.205,0.699,0.0,1.37,0.503,1.026,1.277,0.0,0.0
Real Estate and Construction -> Housing and Real Estate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,3.846,3.704,2.778,2.222,3.333,3.03,0.0,0.0,1.923,2.703,1.282,3.636,0.962,1.639,1.961,4.31,2.4,1.37,2.29,2.062,3.409,2.632,1.435,1.19,1.023,1.508,1.709,0.365,0.455,0.403,0.806,0.0,0.0,0.0,0.602,2.055,0.0,0.0,1.277,0.0,0.0
Unspecified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.405,1.282,2.727,1.923,2.459,1.961,2.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
