tag_a,tag_b,cooccurrence_2021-2022,cooccurrence_2023-2024,cooccurrence_2025-present,jaccard_2021-2022,jaccard_2023-2024,jaccard_2025-present,lift_2021-2022,lift_2023-2024,lift_2025-present,lift_change,relationship
AI,Security,,9.0,6.0,,0.0273,0.0201,,1.782,1.674,,newly emerging
AI,Semiconductors,,,6.0,,,0.0204,,,2.233,,newly emerging
AI,Supply Chain,,10.0,6.0,,0.0299,0.0199,,1.53,1.41,,newly emerging
AI,Video,,10.0,,,0.03,,,1.603,,,stable
AI,Workflow Automation,5.0,7.0,5.0,0.0286,0.0202,0.0162,3.371,0.76,0.893,-2.4779999999999998,weakening
AI Assistant,Artificial Intelligence,16.0,34.0,12.0,0.0788,0.0914,0.0343,3.457,1.55,1.253,-2.2039999999999997,weakening
AI Assistant,B2B,7.0,9.0,9.0,0.0176,0.0256,0.038,0.754,0.475,1.464,0.71,strengthening
AI Assistant,Consumer,,6.0,6.0,,0.0469,0.0732,,1.454,4.061,,newly emerging
AI Assistant,Conversational AI,,5.0,,,0.0602,,,4.49,,,stable
AI Assistant,Developer Tools,,10.0,5.0,,0.0448,0.0338,,0.942,1.471,,newly emerging
AI Assistant,Fintech,7.0,,,0.0225,,,0.985,,,,disappeared
AI Assistant,Generative AI,,10.0,,,0.0529,,,1.193,,,stable
AI Assistant,Open Source,,5.0,,,0.0427,,,1.497,,,stable
AI Assistant,Productivity,,10.0,7.0,,0.0971,0.1207,,3.635,8.774,,newly emerging
AI Assistant,SaaS,10.0,9.0,6.0,0.0243,0.0324,0.0438,1.03,0.636,1.934,0.9039999999999999,strengthening
AI-Enhanced Learning,Education,5.0,6.0,9.0,0.1,0.2727,0.5294,13.169,33.354,70.145,56.976,strengthening
AI-powered Drug Discovery,Biotech,5.0,,,0.1163,,,17.882,,,,disappeared
AIOps,Artificial Intelligence,6.0,11.0,10.0,0.0314,0.0317,0.0298,3.673,1.548,1.804,-1.869,weakening
AIOps,B2B,,6.0,,,0.0196,,,0.978,,,stable
AIOps,Developer Tools,5.0,12.0,8.0,0.0379,0.0694,0.062,4.53,3.491,4.066,-0.4640000000000004,stable
AIOps,Machine Learning,5.0,,,0.0694,,,8.712,,,,disappeared
AIOps,SaaS,,,5.0,,,0.041,,,2.784,,newly emerging
API,Artificial Intelligence,6.0,12.0,6.0,0.0267,0.0333,0.018,0.958,1.049,1.488,0.53,strengthening
API,B2B,18.0,16.0,5.0,0.0451,0.0516,0.0228,1.433,1.622,1.932,0.4989999999999999,stable
API,Developer Tools,15.0,18.0,9.0,0.0962,0.0994,0.0738,3.545,3.255,6.29,2.745,strengthening
API,Fintech,12.0,,,0.0377,,,1.248,,,,disappeared
API,Infrastructure,,,7.0,,,0.0921,,,8.397,,newly emerging
API,Open Source,,6.0,,,0.0732,,,3.447,,,stable
API,Payments,5.0,,,0.0515,,,2.638,,,,disappeared
API,SaaS,12.0,9.0,,0.0284,0.0369,,0.914,1.221,,,disappeared
Aerospace,Artificial Intelligence,,5.0,,,0.0145,,,1.156,,,stable
Aerospace,Hard Tech,,,11.0,,,0.1897,,,16.682,,newly emerging
Analytics,Artificial Intelligence,6.0,14.0,9.0,0.0263,0.0384,0.0269,0.9,1.03,1.786,0.886,strengthening
Analytics,B2B,18.0,17.0,7.0,0.0448,0.0538,0.0317,1.346,1.449,2.164,0.8180000000000001,strengthening
Analytics,Data Engineering,13.0,7.0,,0.1857,0.1186,,10.604,7.839,,,disappeared
Analytics,Developer Tools,9.0,9.0,,0.0545,0.0457,,1.997,1.369,,,disappeared
Analytics,Fintech,6.0,,,0.0183,,,0.586,,,,disappeared
Analytics,Generative AI,,6.0,,,0.0361,,,1.155,,,stable
Analytics,SaaS,20.0,13.0,,0.048,0.0526,,1.43,1.483,,,disappeared
Artificial Intelligence,Automation,,19.0,18.0,,0.0537,0.0531,,1.618,2.165,,newly emerging
Artificial Intelligence,B2B,55.0,99.0,95.0,0.1098,0.1886,0.2174,1.089,1.108,1.813,0.724,strengthening
Artificial Intelligence,Biotech,,8.0,9.0,,0.0223,0.0266,,0.809,1.553,,newly emerging
Artificial Intelligence,Climate,,5.0,,,0.0142,,,0.77,,,stable
Artificial Intelligence,Cloud Computing,,,5.0,,,0.015,,,1.323,,newly emerging
Artificial Intelligence,Compliance,,8.0,5.0,,0.0228,0.0148,,1.079,1.103,,newly emerging
Artificial Intelligence,Computer Vision,6.0,7.0,5.0,0.0312,0.0204,0.0149,3.39,1.51,1.167,-2.223,weakening
Artificial Intelligence,Consumer,9.0,23.0,21.0,0.0346,0.0613,0.0595,0.787,1.181,1.667,0.88,strengthening
Artificial Intelligence,Consumer Health Services,,5.0,,,0.0145,,,1.079,,,stable
Artificial Intelligence,Conversational AI,,5.0,6.0,,0.0144,0.0179,,0.952,1.401,,newly emerging
Artificial Intelligence,Cybersecurity,,5.0,5.0,,0.0147,0.0148,,1.471,1.103,,newly emerging
Artificial Intelligence,Data Engineering,,6.0,6.0,,0.0171,0.0178,,0.882,1.253,,newly emerging
Artificial Intelligence,Data Labeling,,,6.0,,,0.0182,,,2.165,,newly emerging
Artificial Intelligence,Data Science,,6.0,,,0.0175,,,1.387,,,stable
Artificial Intelligence,Data Visualization,,5.0,,,0.0145,,,1.156,,,stable
Artificial Intelligence,Deep Learning,,,5.0,,,0.0152,,,1.804,,newly emerging
Artificial Intelligence,Design,,,7.0,,,0.0213,,,2.315,,newly emerging
Artificial Intelligence,DevOps,,6.0,5.0,,0.0174,0.0152,,1.294,1.985,,newly emerging
Artificial Intelligence,Developer Tools,23.0,60.0,57.0,0.0801,0.1373,0.1492,1.352,1.198,1.967,0.615,strengthening
Artificial Intelligence,Digital Health,,8.0,,,0.0229,,,1.126,,,stable
Artificial Intelligence,E-commerce,10.0,9.0,8.0,0.0398,0.0259,0.0245,0.967,1.387,2.887,1.92,strengthening
Artificial Intelligence,Education,,5.0,7.0,,0.0146,0.0211,,1.245,1.852,,newly emerging
Artificial Intelligence,Enterprise,5.0,14.0,9.0,0.024,0.0392,0.0269,1.312,1.258,1.88,0.5679999999999998,strengthening
Artificial Intelligence,Enterprise Software,,20.0,19.0,,0.0559,0.0541,,1.505,1.639,,newly emerging
Artificial Intelligence,Finance,,12.0,13.0,,0.0334,0.0385,,1.079,1.911,,newly emerging
Artificial Intelligence,Fintech,19.0,19.0,16.0,0.0422,0.0459,0.0447,0.491,0.627,1.27,0.779,strengthening
Artificial Intelligence,Generative AI,17.0,52.0,15.0,0.0766,0.1265,0.0424,2.313,1.315,1.323,-0.9900000000000002,weakening
Artificial Intelligence,Hard Tech,7.0,6.0,10.0,0.0332,0.0173,0.0272,1.558,1.079,0.749,-0.809,weakening
Artificial Intelligence,Hardware,,,19.0,,,0.0529,,,1.397,,newly emerging
Artificial Intelligence,Health & Wellness,,,6.0,,,0.0182,,,1.985,,newly emerging
Artificial Intelligence,Health Tech,5.0,17.0,11.0,0.023,0.0478,0.0328,0.993,1.448,1.985,0.9920000000000001,strengthening
Artificial Intelligence,Healthcare,5.0,25.0,10.0,0.0216,0.0676,0.029,0.706,1.348,1.28,0.5740000000000001,strengthening
Artificial Intelligence,Healthcare IT,,5.0,,,0.0145,,,1.156,,,stable
Artificial Intelligence,Infrastructure,,5.0,25.0,,0.0135,0.0683,,0.395,1.481,,newly emerging
Artificial Intelligence,Insurance,5.0,5.0,8.0,0.0246,0.0145,0.0239,1.597,1.011,1.671,0.07400000000000007,stable
Artificial Intelligence,Investing,,,6.0,,,0.0181,,,1.701,,newly emerging
Artificial Intelligence,Legal,,9.0,8.0,,0.0265,0.0243,,2.24,2.443,,newly emerging
Artificial Intelligence,LegalTech,,9.0,6.0,,0.0264,0.0182,,1.941,1.985,,newly emerging
Artificial Intelligence,Logistics,,8.0,7.0,,0.0229,0.0207,,1.126,1.323,,newly emerging
Artificial Intelligence,Machine Learning,16.0,16.0,13.0,0.0684,0.044,0.0374,1.808,1.151,1.395,-0.41300000000000003,stable
Artificial Intelligence,Manufacturing,6.0,,7.0,0.0306,,0.0196,2.593,,0.678,-1.915,weakening
Artificial Intelligence,Marketing,,13.0,9.0,,0.0368,0.0269,,1.357,1.786,,newly emerging
Artificial Intelligence,Marketplace,,,5.0,,,0.015,,,1.418,,newly emerging
Artificial Intelligence,Open Source,6.0,15.0,13.0,0.0268,0.0404,0.038,0.979,0.952,1.664,0.6849999999999999,strengthening
Artificial Intelligence,Operations,,6.0,7.0,,0.0174,0.0213,,1.213,2.315,,newly emerging
Artificial Intelligence,Payments,,6.0,,,0.0168,,,0.669,,,stable
Artificial Intelligence,Productivity,9.0,13.0,14.0,0.0405,0.0357,0.0415,1.437,1.002,2.058,0.6209999999999998,strengthening
Artificial Intelligence,Real Estate,5.0,,,0.0246,,,1.597,,,,disappeared
Artificial Intelligence,Reinforcement Learning,,,15.0,,,0.0437,,,1.751,,newly emerging
Artificial Intelligence,Retail,,5.0,,,0.0147,,,1.471,,,stable
Artificial Intelligence,Robotics,,,15.0,,,0.0399,,,0.889,,newly emerging
Artificial Intelligence,SaaS,52.0,64.0,37.0,0.0998,0.1314,0.0944,0.985,0.959,1.399,0.41400000000000003,stable
Artificial Intelligence,Sales,10.0,15.0,8.0,0.0469,0.0419,0.0236,1.933,1.277,1.381,-0.552,weakening
Artificial Intelligence,Sales Enablement,5.0,,,0.0258,,,2.624,,,,disappeared
Artificial Intelligence,Security,,6.0,7.0,,0.0173,0.021,,1.142,1.736,,newly emerging
Artificial Intelligence,Supply Chain,6.0,6.0,7.0,0.03,0.0171,0.0208,2.099,0.882,1.462,-0.6370000000000002,weakening
Artificial Intelligence,Video,5.0,12.0,,0.0258,0.0349,,2.624,1.849,,,disappeared
Artificial Intelligence,Workflow Automation,,14.0,9.0,,0.0398,0.0265,,1.461,1.429,,newly emerging
Automation,B2B,,12.0,10.0,,0.0381,0.0433,,1.184,1.874,,newly emerging
Automation,Developer Tools,,5.0,6.0,,0.0256,0.0423,,0.88,2.033,,newly emerging
Automation,Enterprise,,5.0,,,0.0725,,,3.962,,,stable
Automation,Generative AI,,5.0,,,0.0311,,,1.114,,,stable
Automation,Productivity,,5.0,,,0.0667,,,3.396,,,stable
Automation,Robotics,,,7.0,,,0.0753,,,4.071,,newly emerging
Automation,SaaS,,,5.0,,,0.0376,,,1.856,,newly emerging
B2B,Banking as a Service,7.0,,,0.0187,,,2.331,,,,disappeared
B2B,Biotech,,,8.0,,,0.0359,,,2.151,,newly emerging
B2B,Climate,5.0,,,0.0118,,,0.31,,,,disappeared
B2B,Cloud Computing,,5.0,,,0.0168,,,1.443,,,stable
B2B,Compliance,10.0,12.0,7.0,0.0262,0.0399,0.032,1.744,1.875,2.404,0.6599999999999999,strengthening
B2B,Construction,7.0,5.0,,0.0181,0.0168,,1.166,1.443,,,disappeared
B2B,Consumer,6.0,5.0,9.0,0.0134,0.0144,0.0361,0.262,0.298,1.113,0.851,strengthening
B2B,Crypto / Web3,6.0,,,0.0146,,,0.488,,,,disappeared
B2B,Customer Success,,5.0,,,0.0169,,,1.705,,,stable
B2B,Customer Support,,5.0,,,0.0167,,,1.172,,,stable
B2B,Cybersecurity,,,7.0,,,0.032,,,2.404,,newly emerging
B2B,Data Engineering,9.0,6.0,,0.0227,0.0197,,0.97,1.023,,,disappeared
B2B,Developer Tools,41.0,51.0,27.0,0.0901,0.1275,0.0912,1.201,1.181,1.452,0.2509999999999999,stable
B2B,Digital Health,8.0,,,0.0198,,,0.715,,,,disappeared
B2B,E-commerce,22.0,9.0,,0.0518,0.0299,,1.06,1.608,,,disappeared
B2B,Enterprise,15.0,19.0,9.0,0.0391,0.0621,0.0413,1.962,1.98,2.929,0.9669999999999999,strengthening
B2B,Enterprise Software,9.0,23.0,15.0,0.0234,0.0744,0.0628,1.433,2.006,2.016,0.583,strengthening
B2B,FinOps,9.0,,,0.0239,,,2.355,,,,disappeared
B2B,Finance,6.0,13.0,7.0,0.0157,0.0417,0.0307,1.374,1.354,1.603,0.22899999999999987,stable
B2B,Fintech,84.0,41.0,10.0,0.1471,0.1185,0.0403,1.083,1.569,1.237,0.15400000000000014,stable
B2B,Generative AI,22.0,30.0,12.0,0.0546,0.0775,0.0498,1.492,0.879,1.649,0.15700000000000003,stable
B2B,HR Tech,13.0,8.0,,0.0341,0.0271,,2.07,2.143,,,disappeared
B2B,Hard Tech,,,5.0,,,0.0195,,,0.583,,newly emerging
B2B,Hardware,,,10.0,,,0.0397,,,1.145,,newly emerging
B2B,Health Tech,,13.0,,,0.0414,,,1.283,,,stable
B2B,Healthcare,5.0,14.0,6.0,0.012,0.0418,0.0258,0.352,0.875,1.197,0.8450000000000001,strengthening
B2B,Identity,5.0,,,0.0133,,,1.832,,,,disappeared
B2B,Infrastructure,6.0,13.0,16.0,0.0156,0.041,0.0618,1.157,1.189,1.476,0.31899999999999995,stable
B2B,Insurance,,6.0,,,0.0201,,,1.407,,,stable
B2B,Legal,,7.0,8.0,,0.0237,0.0376,,2.02,3.805,,newly emerging
B2B,LegalTech,,6.0,7.0,,0.0201,0.0329,,1.5,3.607,,newly emerging
B2B,Logistics,10.0,8.0,,0.0254,0.0263,,1.11,1.305,,,disappeared
B2B,Machine Learning,13.0,7.0,6.0,0.0307,0.0214,0.0251,0.733,0.583,1.003,0.2699999999999999,stable
B2B,Manufacturing,,5.0,7.0,,0.0164,0.0289,,0.893,1.056,,newly emerging
B2B,Marketing,18.0,11.0,6.0,0.0476,0.0356,0.027,2.637,1.331,1.855,-0.782,weakening
B2B,Marketplace,16.0,6.0,,0.036,0.0197,,0.651,1.072,,,disappeared
B2B,Neobank,6.0,,,0.0152,,,0.758,,,,disappeared
B2B,Open Source,16.0,10.0,,0.04,0.0303,,1.302,0.735,,,disappeared
B2B,Operations,,7.0,,,0.0235,,,1.641,,,stable
B2B,Payments,17.0,16.0,,0.0415,0.053,,1.112,2.069,,,disappeared
B2B,Productivity,18.0,13.0,8.0,0.0451,0.0409,0.0352,1.433,1.161,1.832,0.399,stable
B2B,Proptech,6.0,9.0,,0.015,0.0302,,0.611,1.875,,,disappeared
B2B,Real Estate,5.0,7.0,,0.0129,0.0236,,0.796,1.75,,,disappeared
B2B,Recruiting,8.0,,,0.0211,,,1.724,,,,disappeared
B2B,Retail,,7.0,,,0.0239,,,2.387,,,stable
B2B,Robotics,,,5.0,,,0.0185,,,0.461,,newly emerging
B2B,SaaS,206.0,126.0,46.0,0.3725,0.3325,0.1723,1.945,2.188,2.709,0.764,strengthening
B2B,Sales,27.0,22.0,11.0,0.0707,0.0721,0.05,2.603,2.172,2.957,0.35399999999999965,stable
B2B,Sales Enablement,9.0,,,0.0239,,,2.355,,,,disappeared
B2B,Security,10.0,7.0,,0.0258,0.0234,,1.409,1.544,,,disappeared
B2B,Subscriptions,5.0,,,0.013,,,0.964,,,,disappeared
B2B,Supply Chain,8.0,8.0,6.0,0.0208,0.0264,0.0271,1.395,1.364,1.952,0.5569999999999999,strengthening
B2B,Video,,5.0,,,0.0164,,,0.893,,,stable
B2B,Workflow Automation,8.0,10.0,11.0,0.0213,0.0323,0.0495,2.442,1.21,2.72,0.278,stable
Banking as a Service,Fintech,11.0,,,0.0387,,,4.785,,,,disappeared
Biotech,Climate,5.0,,,0.0543,,,3.031,,,,disappeared
Biotech,Drug discovery,7.0,,,0.1707,,,25.034,,,,disappeared
Biotech,Healthcare,6.0,8.0,,0.0714,0.0952,,4.127,4.517,,,disappeared
Biotech,Machine Learning,5.0,,,0.051,,,2.751,,,,disappeared
Biotech,SaaS,,5.0,,,0.0206,,,0.784,,,stable
Biotech,Synthetic Biology,,11.0,,,0.3438,,,33.875,,,stable
Biotech,Therapeutics,11.0,9.0,,0.2444,0.2727,,21.855,30.488,,,disappeared
Climate,ClimateTech,10.0,,,0.1667,,,20.94,,,,disappeared
Climate,Energy,8.0,5.0,,0.1212,0.1923,,12.285,25.81,,,disappeared
Climate,Food Tech,6.0,,,0.0845,,,7.678,,,,disappeared
Climate,Hard Tech,7.0,,,0.0824,,,4.886,,,,disappeared
Climate,SaaS,6.0,,,0.0136,,,0.356,,,,disappeared
Cloud Computing,Developer Tools,5.0,9.0,10.0,0.0385,0.0542,0.0833,5.436,4.632,7.455,2.019,strengthening
Cloud Computing,Infrastructure,,7.0,5.0,,0.1489,0.0649,,14.236,6.398,,newly emerging
Collaboration,Productivity,7.0,,,0.14,,,18.8,,,,disappeared
Collaboration,SaaS,8.0,,,0.0205,,,2.547,,,,disappeared
Community,SaaS,7.0,,,0.0173,,,1.022,,,,disappeared
Compliance,Cybersecurity,,,5.0,,,0.1613,,,19.846,,newly emerging
Compliance,Fintech,5.0,11.0,,0.0167,0.0991,,1.139,5.07,,,disappeared
Compliance,SaaS,7.0,7.0,,0.0174,0.03,,1.168,1.464,,,disappeared
Compliance,Security,6.0,,,0.1463,,,14.934,,,,disappeared
Computer Vision,Machine Learning,,,5.0,,,0.102,,,10.223,,newly emerging
Construction,Proptech,5.0,,,0.0943,,,8.58,,,,disappeared
Construction,SaaS,6.0,5.0,,0.0149,0.0223,,0.955,1.93,,,disappeared
Consumer,Consumer Health Services,7.0,,,0.0565,,,2.41,,,,disappeared
Consumer,Crypto / Web3,5.0,,,0.0403,,,1.798,,,,disappeared
Consumer,Digital Health,5.0,,,0.0417,,,1.973,,,,disappeared
Consumer,E-commerce,10.0,,,0.0667,,,2.129,,,,disappeared
Consumer,Entertainment,,6.0,,,0.0896,,,10.324,,,stable
Consumer,Fintech,27.0,9.0,5.0,0.0792,0.0592,0.0526,1.538,1.58,2.572,1.034,strengthening
Consumer,Gaming,9.0,,,0.0938,,,6.934,,,,disappeared
Consumer,Generative AI,,13.0,,,0.073,,,1.748,,,stable
Consumer,Marketplace,10.0,,5.0,0.061,,0.0847,1.798,,9.186,7.388,strengthening
Consumer,Neobank,7.0,,,0.066,,,3.905,,,,disappeared
Consumer,Payments,5.0,,,0.037,,,1.445,,,,disappeared
Consumer,Productivity,,9.0,5.0,,0.0938,0.0694,,3.687,4.763,,newly emerging
Consumer,SaaS,,6.0,,,0.022,,,0.478,,,stable
Consumer,Social,7.0,,,0.0795,,,10.295,,,,disappeared
Consumer,Social Media,,5.0,,,0.0725,,,7.821,,,stable
Consumer,Video,,6.0,,,0.0769,,,4.916,,,stable
Consumer Finance,Fintech,,8.0,7.0,,0.08,0.1296,,8.849,16.367,,newly emerging
Consumer Health Services,Digital Health,18.0,6.0,,0.2571,0.1875,,12.694,18.852,,,disappeared
Consumer Health Services,Health Tech,9.0,,,0.12,,,7.033,,,,disappeared
Consumer Health Services,Healthcare,14.0,6.0,,0.1647,0.087,,7.785,7.227,,,disappeared
Consumer Health Services,Mental Health Tech,6.0,,,0.1034,,,10.205,,,,disappeared
Consumer Health Services,Telehealth,6.0,,,0.1111,,,13.345,,,,disappeared
Consumer Health Services,Telemedicine,10.0,,,0.1887,,,18.072,,,,disappeared
Conversational AI,Generative AI,,5.0,,,0.0357,,,2.491,,,stable
Creator Economy,Fintech,5.0,,,0.0171,,,1.84,,,,disappeared
Crypto / Web3,DeFi,8.0,,,0.1702,,,24.16,,,,disappeared
Crypto / Web3,Developer Tools,7.0,,,0.0429,,,1.691,,,,disappeared
Crypto / Web3,Fintech,17.0,6.0,,0.0545,0.0588,,1.808,6.637,,,disappeared
Crypto / Web3,Payments,7.0,,,0.0745,,,3.775,,,,disappeared
Crypto / Web3,SaaS,8.0,,,0.0188,,,0.623,,,,disappeared
Customer Success,Customer Support,,8.0,,,0.4211,,,49.273,,,stable
Cybersecurity,Security,,5.0,6.0,,0.2174,0.2143,,28.984,26.792,,newly emerging
Data Engineering,Developer Tools,13.0,5.0,,0.089,0.0279,,4.157,1.521,,,disappeared
Data Engineering,Machine Learning,6.0,,,0.0645,,,3.69,,,,disappeared
Data Engineering,Open Source,7.0,,,0.0972,,,6.218,,,,disappeared
Data Engineering,Reinforcement Learning,,,5.0,,,0.1042,,,9.954,,newly emerging
Data Engineering,SaaS,10.0,6.0,,0.0243,0.0259,,1.03,1.369,,,disappeared
Data Science,Data Visualization,,5.0,,,0.2174,,,27.653,,,stable
Defense,Drones,,,6.0,,,0.3,,,46.764,,newly emerging
Defense,Hard Tech,,,8.0,,,0.1333,,,12.941,,newly emerging
Defense,Hardware,,,5.0,,,0.0781,,,7.938,,newly emerging
Defense,Robotics,,,6.0,,,0.0789,,,7.678,,newly emerging
Delivery,Grocery,6.0,,,0.25,,,39.014,,,,disappeared
Delivery,Logistics,5.0,,,0.1064,,,10.837,,,,disappeared
Delivery,Marketplace,8.0,,,0.0792,,,6.358,,,,disappeared
Design,Developer Tools,,,5.0,,,0.041,,,4.659,,newly emerging
Design Tools,Developer Tools,,5.0,,,0.0296,,,2.788,,,stable
Design Tools,SaaS,6.0,,,0.0152,,,1.751,,,,disappeared
DevOps,Developer Tools,,13.0,9.0,,0.0793,0.0776,,5.799,10.064,,newly emerging
DevOps,SaaS,,5.0,,,0.0221,,,1.673,,,stable
Developer Tools,Enterprise,,7.0,,,0.0366,,,1.301,,,stable
Developer Tools,Enterprise Software,,7.0,12.0,,0.0354,0.0805,,1.089,2.917,,newly emerging
Developer Tools,Fintech,5.0,,,0.0124,,,0.191,,,,disappeared
Developer Tools,Generative AI,,30.0,8.0,,0.1154,0.0526,,1.568,1.988,,newly emerging
Developer Tools,Infrastructure,,27.0,26.0,,0.1534,0.1667,,4.407,4.34,,newly emerging
Developer Tools,Machine Learning,6.0,9.0,,0.0326,0.0455,,1.004,1.338,,,disappeared
Developer Tools,Open Source,31.0,33.0,15.0,0.223,0.1833,0.1145,7.49,4.33,5.411,-2.0790000000000006,weakening
Developer Tools,Productivity,,6.0,,,0.0303,,,0.956,,,stable
Developer Tools,SaaS,51.0,47.0,13.0,0.1104,0.142,0.0628,1.429,1.456,1.385,-0.04400000000000004,stable
Developer Tools,Security,5.0,6.0,5.0,0.0342,0.0347,0.0397,2.091,2.362,3.495,1.404,strengthening
Digital Health,Health & Wellness,5.0,,6.0,0.1,,0.3158,11.838,,49.462,37.624,strengthening
Digital Health,Health Tech,13.0,11.0,6.0,0.2,0.22,0.2069,11.646,13.643,26.979,15.332999999999998,strengthening
Digital Health,Healthcare,16.0,11.0,,0.2078,0.1528,,10.199,8.641,,,disappeared
Digital Health,SaaS,6.0,,,0.0142,,,0.513,,,,disappeared
Digital Health,Telehealth,7.0,,,0.1489,,,17.848,,,,disappeared
Digital Health,Telemedicine,8.0,,,0.1633,,,16.573,,,,disappeared
Drug discovery,Therapeutics,5.0,,,0.2174,,,37.75,,,,disappeared
E-commerce,Fintech,10.0,,,0.0286,,,0.63,,,,disappeared
E-commerce,Grocery,6.0,,,0.0741,,,9.754,,,,disappeared
E-commerce,Logistics,8.0,,,0.0792,,,4.335,,,,disappeared
