tag,Summer 2005,Winter 2006,Summer 2006,Winter 2007,Summer 2007,Winter 2008,Summer 2008,Winter 2009,Summer 2009,Winter 2010,Summer 2010,Winter 2011,Summer 2011,Winter 2012,Summer 2012,Winter 2013,Summer 2013,Winter 2014,Summer 2014,Winter 2015,Summer 2015,Winter 2016,Summer 2016,Winter 2017,Summer 2017,Winter 2018,Summer 2018,Winter 2019,Summer 2019,Winter 2020,Summer 2020,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
Automotive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.667,0.0,0.0,0.0,2.0,3.279,0.0,0.0,0.0,0.0,1.316,0.0,0.0,0.0,1.031,0.87,0.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.893,0.418,0.535,1.951,0.99,2.703,0.0,0.0,0.0,0.847,2.083,0.0,0.431,0.0,0.0
Autonomous Delivery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.449,0.0,0.0,0.0,0.0,2.062,0.87,0.0,0.0,0.0,0.0,0.0,0.452,0.493,0.305,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Autonomous Shipping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Autonomous Trucking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893,1.031,0.87,0.0,1.418,0.0,1.064,0.0,0.452,0.493,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2B,0.0,0.0,0.0,16.667,0.0,0.0,0.0,0.0,6.667,0.0,0.0,2.632,12.0,8.197,7.895,2.174,8.696,11.594,6.579,5.825,7.527,7.143,2.062,9.565,8.264,12.057,5.512,14.362,11.047,20.814,28.571,23.78,26.702,26.221,39.732,40.586,27.807,27.805,32.178,24.324,25.781,23.636,28.205,30.508,22.917,22.0,22.845,11.765,100.0
Banking as a Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.942,0.0,0.0,0.0,1.739,1.653,0.709,0.787,1.064,0.0,0.905,0.493,0.61,0.262,1.542,0.893,0.0,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batteryless IoT Sensors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beauty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.449,0.0,0.0,2.151,0.893,1.031,0.0,0.0,0.709,0.0,0.532,0.0,0.0,0.0,0.61,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.0,0.0,0.0
Big Data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.639,1.316,2.174,0.0,0.0,0.0,0.0,0.0,0.893,0.0,0.87,0.0,0.0,0.0,0.0,0.581,0.0,0.493,0.0,0.785,0.0,0.446,0.0,1.07,0.488,0.99,2.703,0.781,0.909,1.709,1.695,0.0,2.0,1.293,0.0,0.0
Billing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262,0.257,0.0,0.0,1.07,0.0,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biometrics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.174,0.0,0.0,1.316,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.493,0.0,0.262,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.0,0.0,0.0
Bioplastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452,0.0,0.0,0.0,0.0,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biotech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.316,0.0,0.0,1.449,1.316,4.854,1.075,3.571,1.031,2.609,0.0,3.546,8.661,1.596,1.744,4.977,1.97,1.524,3.927,2.571,3.571,2.929,3.209,2.927,5.446,2.703,1.562,2.727,2.564,2.542,2.083,4.0,3.879,0.0,0.0
Biotechnology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.316,0.0,0.0,0.893,0.0,0.87,0.0,0.0,0.787,0.532,0.0,0.452,0.0,0.0,0.524,0.257,0.446,0.0,0.0,0.0,0.495,0.0,0.781,0.0,0.855,0.847,2.083,0.0,0.862,0.0,0.0
Blockchain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075,0.0,0.0,0.0,0.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Booking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.316,0.0,0.0,0.0,0.0,0.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COVID-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.826,0.709,0.0,0.0,0.0,0.452,0.0,0.0,0.0,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRISPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.0,0.452,0.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.316,0.0,0.0,0.0,2.632,0.0,0.0,0.0,0.0,0.0,0.826,0.0,0.0,1.064,1.163,0.0,0.493,0.0,0.262,0.257,0.446,0.418,1.07,0.488,0.495,0.0,1.562,0.0,0.0,0.847,0.0,0.0,0.0,0.0,0.0
Calendar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.787,0.0,0.0,0.452,0.0,0.0,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Call Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.893,0.0,0.0,0.488,1.485,1.351,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cannabis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971,2.151,0.0,0.0,0.0,0.0,0.709,0.0,1.064,0.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Capture and Removal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971,0.0,0.0,0.0,0.0,0.826,0.0,0.0,0.532,0.0,0.452,0.0,0.305,1.047,0.514,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Careers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.826,0.709,0.0,0.532,0.0,0.0,0.0,0.0,0.0,0.0,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Cashierless Checkout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971,0.0,0.893,0.0,0.0,0.0,0.0,0.787,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cell Therapy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.532,0.0,0.0,0.0,0.0,0.0,0.257,0.446,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cellular Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.316,0.0,0.0,0.0,0.0,0.0,0.0,0.709,0.787,0.0,0.581,0.0,0.0,0.0,0.0,0.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.826,0.0,0.0,0.0,0.0,0.0,0.0,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.781,0.0,0.855,0.0,0.0,2.0,0.0,0.0,0.0
Chatbot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.575,0.532,0.0,0.0,0.493,0.305,0.262,0.257,0.0,0.418,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chatbots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075,0.0,0.0,0.87,0.0,0.0,0.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Civic Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971,0.0,0.0,1.031,0.87,0.0,0.0,1.575,0.0,0.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clean Meat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Climate,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.899,2.632,2.913,4.301,2.679,3.093,2.609,4.959,1.418,3.15,4.787,2.326,3.167,3.448,3.963,4.974,5.141,3.125,3.347,2.674,0.976,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
ClimateTech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075,0.0,1.031,0.87,0.826,0.709,0.787,0.532,0.581,0.452,0.0,0.61,0.785,1.028,0.893,1.674,0.535,0.0,0.99,0.0,1.562,0.0,0.855,0.0,0.0,0.0,0.862,0.0,0.0
Cloud Computing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.667,0.0,0.0,2.632,0.0,1.639,2.632,0.0,2.174,0.0,1.316,0.971,0.0,0.893,1.031,1.739,0.0,0.0,0.0,0.0,0.581,0.0,0.493,0.61,0.262,1.285,0.893,1.674,0.535,0.976,2.97,0.0,1.562,2.727,2.564,0.0,0.0,2.0,1.724,5.882,0.0
