tag,Summer 2005,Winter 2006,Summer 2006,Winter 2007,Summer 2007,Winter 2008,Summer 2008,Winter 2009,Summer 2009,Winter 2010,Summer 2010,Winter 2011,Summer 2011,Winter 2012,Summer 2012,Winter 2013,Summer 2013,Winter 2014,Summer 2014,Winter 2015,Summer 2015,Winter 2016,Summer 2016,Winter 2017,Summer 2017,Winter 2018,Summer 2018,Winter 2019,Summer 2019,Winter 2020,Summer 2020,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
Advanced Materials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351,1.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.851,2.857,0.0
Advertising,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,2.778,2.222,5.0,0.0,6.024,0.0,1.923,2.703,1.282,2.727,0.0,0.0,0.98,0.0,0.8,0.0,1.527,0.0,0.568,0.877,0.0,0.0,0.512,1.005,0.427,1.095,0.909,0.403,0.0,1.064,0.0,0.699,0.0,3.425,0.503,1.026,0.0,0.0,0.0
Aerospace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.98,0.0,0.0,0.0,0.0,0.515,0.568,0.439,0.0,0.595,0.767,0.251,1.282,0.365,0.909,1.21,2.016,3.191,0.602,2.098,0.0,2.74,0.0,1.026,2.128,2.857,0.0
Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515,0.0,0.0,0.0,2.703,1.282,0.909,0.962,0.82,0.0,1.724,3.2,1.37,0.763,0.515,0.0,0.877,0.478,0.298,0.256,0.503,0.427,0.0,0.455,0.403,0.806,0.0,0.0,0.0,1.205,0.0,0.503,0.0,0.851,0.0,0.0
Air Taxis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.031,0.0,0.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.0,0.0,1.064,0.0,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0
Airplanes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.8,0.0,0.763,0.515,0.0,0.439,0.0,0.298,0.256,0.251,0.855,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alternative Battery Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alternative Fuels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0
Analytics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,11.111,4.444,5.0,6.061,6.024,13.043,3.846,4.054,6.41,3.636,0.962,4.098,0.0,1.724,0.8,2.74,2.29,1.546,2.841,2.193,2.392,2.679,3.069,4.271,4.701,5.474,4.545,3.226,4.032,1.064,3.012,2.797,1.205,3.425,0.503,0.0,1.277,0.0,0.0
Anti-Aging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,2.29,0.0,0.0,0.0,0.0,0.595,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205,0.0,0.0,0.0,1.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Architecture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251,0.0,0.0,0.0,0.403,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.426,0.0,0.0
Art Trading Platforms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artificial Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,4.545,0.0,3.846,0.0,0.0,0.0,0.0,0.0,1.205,2.174,1.923,2.703,3.846,7.273,1.923,6.557,10.784,12.069,10.4,8.904,9.16,8.247,7.386,9.211,6.22,11.905,12.02,14.07,17.949,21.533,34.091,37.5,33.468,26.596,30.723,27.273,33.735,27.397,11.055,8.205,37.021,37.143,0.0
Assistive Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.8,0.685,1.527,0.0,0.0,0.0,0.0,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Reality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,0.0,0.0,0.0,1.923,1.351,1.282,0.909,0.962,0.0,0.0,0.862,1.6,2.055,1.527,1.031,0.568,0.0,0.478,0.298,0.256,0.0,0.427,0.0,0.0,0.0,0.403,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auto Commerce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.515,0.0,0.439,0.0,0.0,0.256,0.0,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,1.205,0.0,1.923,0.0,2.564,0.0,0.0,0.0,0.98,0.0,1.6,0.0,1.527,0.0,0.568,0.877,0.478,1.19,0.256,0.251,1.282,2.92,3.182,4.435,3.226,4.255,2.41,3.497,1.807,2.74,1.508,1.026,4.681,2.857,0.0
Automotive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,0.0,0.0,1.667,3.03,0.0,0.0,0.0,0.0,1.282,0.0,0.0,0.0,0.98,0.862,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251,0.855,0.365,0.455,1.613,0.806,2.128,0.0,0.0,0.0,0.685,0.503,0.0,0.426,0.0,0.0
Autonomous Delivery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351,0.0,0.0,0.0,0.0,1.961,0.862,0.0,0.0,0.0,0.0,0.0,0.439,0.478,0.298,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Autonomous Shipping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Autonomous Trucking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.98,0.862,0.0,1.37,0.0,1.031,0.0,0.439,0.478,0.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2B,0.0,0.0,0.0,7.692,0.0,0.0,0.0,0.0,3.846,0.0,0.0,2.222,10.0,7.576,7.229,2.174,7.692,10.811,6.41,5.455,6.731,6.557,1.961,9.483,8.0,11.644,5.344,13.918,10.795,20.175,27.751,23.214,26.087,25.628,38.034,35.401,23.636,22.984,26.21,19.149,19.88,18.182,19.88,24.658,5.528,5.641,22.553,11.429,100.0
Banking as a Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.818,0.0,0.0,0.0,1.724,1.6,0.685,0.763,1.031,0.0,0.877,0.478,0.595,0.256,1.508,0.855,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batteryless IoT Sensors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beauty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351,0.0,0.0,1.923,0.82,0.98,0.0,0.0,0.685,0.0,0.515,0.0,0.0,0.0,0.595,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0
Big Data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,1.515,1.205,2.174,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.862,0.0,0.0,0.0,0.0,0.568,0.0,0.478,0.0,0.767,0.0,0.427,0.0,0.909,0.403,0.806,2.128,0.602,0.699,1.205,1.37,0.0,0.513,1.277,0.0,0.0
Billing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.251,0.0,0.0,0.909,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biometrics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.174,0.0,0.0,1.282,0.0,0.0,0.0,0.0,0.862,0.0,0.0,0.0,0.0,0.0,0.0,0.478,0.0,0.256,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0
Bioplastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439,0.0,0.0,0.0,0.0,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biotech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,0.0,1.205,0.0,0.0,1.351,1.282,4.545,0.962,3.279,0.98,2.586,0.0,3.425,8.397,1.546,1.705,4.825,1.914,1.488,3.836,2.513,3.419,2.555,2.727,2.419,4.435,2.128,1.205,2.098,1.807,2.055,0.503,1.026,3.83,0.0,0.0
Biotechnology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,0.0,0.0,0.82,0.0,0.862,0.0,0.0,0.763,0.515,0.0,0.439,0.0,0.0,0.512,0.251,0.427,0.0,0.0,0.0,0.403,0.0,0.602,0.0,0.602,0.685,0.503,0.0,0.851,0.0,0.0
Blockchain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Booking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205,0.0,0.0,0.0,0.0,0.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COVID-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.685,0.0,0.0,0.0,0.439,0.0,0.0,0.0,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRISPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.0,0.439,0.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,0.0,1.205,0.0,0.0,0.0,2.564,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.031,1.136,0.0,0.478,0.0,0.256,0.251,0.427,0.365,0.909,0.403,0.403,0.0,1.205,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0
Calendar,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.0,0.0,0.763,0.0,0.0,0.439,0.0,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Call Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251,0.855,0.0,0.0,0.403,1.21,1.064,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cannabis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,1.923,0.0,0.0,0.0,0.0,0.685,0.0,1.031,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Capture and Removal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.515,0.0,0.439,0.0,0.298,1.023,0.503,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Careers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.685,0.0,0.515,0.0,0.0,0.0,0.0,0.0,0.0,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0
Cashierless Checkout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.82,0.0,0.0,0.0,0.0,0.763,0.0,0.0,0.0,0.0,0.0,0.0,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cell Therapy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0,0.0,0.251,0.427,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cellular Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.763,0.0,0.568,0.0,0.0,0.0,0.0,0.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.602,0.0,0.0,0.513,0.0,0.0,0.0
Chatbot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.527,0.515,0.0,0.0,0.478,0.298,0.256,0.251,0.0,0.365,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chatbots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962,0.0,0.0,0.862,0.0,0.0,0.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Civic Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.0,0.98,0.862,0.0,0.0,1.527,0.0,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clean Meat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Climate,0.0,0.0,0.0,0.0,0.0,0.0,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.703,2.564,2.727,3.846,2.459,2.941,2.586,4.8,1.37,3.053,4.639,2.273,3.07,3.349,3.869,4.859,5.025,2.991,2.92,2.273,0.806,2.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0
ClimateTech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962,0.0,0.98,0.862,0.8,0.685,0.763,0.515,0.568,0.439,0.0,0.595,0.767,1.005,0.855,1.46,0.455,0.0,0.806,0.0,1.205,0.0,0.602,0.0,0.0,0.0,0.851,0.0,0.0
Cloud Computing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,0.0,2.222,0.0,1.515,2.41,0.0,1.923,0.0,1.282,0.909,0.0,0.82,0.98,1.724,0.0,0.0,0.0,0.0,0.568,0.0,0.478,0.595,0.256,1.256,0.855,1.46,0.455,0.806,2.419,0.0,1.205,2.098,1.807,0.0,0.0,0.513,1.702,5.714,0.0
